"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","> 75 anos","Desconhecido"
"Jan-01","0","0","0","1","2","7","13","27","60","265","0"
"Jan-02","0","0","2","0","2","6","18","27","71","268","0"
"Jan-03","2","0","1","1","6","7","20","35","61","266","0"
"Jan-04","1","0","0","1","1","5","20","23","47","229","0"
"Jan-05","0","0","0","0","3","2","15","32","54","253","0"
"Jan-06","2","1","1","1","4","7","12","27","56","249","0"
"Jan-07","1","1","2","0","2","6","13","34","55","251","1"
"Jan-08","2","0","0","0","1","7","18","26","47","233","2"
"Jan-09","1","0","0","2","2","3","14","25","46","244","0"
"Jan-10","0","0","1","2","3","4","14","22","46","234","0"
"Jan-11","0","0","0","2","0","1","22","29","55","248","0"
"Jan-12","1","0","1","0","4","4","12","29","44","237","0"
"Jan-13","1","1","0","0","3","4","19","37","45","243","0"
"Jan-14","1","0","0","2","2","6","23","28","49","268","0"
"Jan-15","0","0","0","1","2","9","8","30","41","247","0"
"Jan-16","0","0","0","1","3","6","9","28","34","205","0"
"Jan-17","0","0","0","2","2","6","16","21","42","238","1"
"Jan-18","1","0","0","1","6","5","17","20","51","227","0"
"Jan-19","0","0","0","1","3","2","14","27","40","246","0"
"Jan-20","1","0","0","1","3","2","17","23","50","248","0"
"Jan-21","1","0","0","0","0","8","15","32","42","230","1"
"Jan-22","1","1","0","0","4","6","15","28","59","239","2"
"Jan-23","0","0","0","0","2","6","12","25","44","218","0"
"Jan-24","0","0","0","0","3","8","14","21","36","256","0"
"Jan-25","1","1","0","0","1","6","10","31","51","246","0"
"Jan-26","1","0","0","0","2","7","17","23","47","224","0"
"Jan-27","0","0","0","1","2","8","11","27","54","269","0"
"Jan-28","2","0","0","0","4","9","14","20","46","244","0"
"Jan-29","1","1","0","0","1","8","14","26","50","228","0"
"Jan-30","0","0","1","1","4","7","11","31","42","238","0"
"Jan-31","0","1","0","1","0","4","12","23","60","263","0"
"Fev-01","1","0","0","1","1","6","13","26","45","239","0"
"Fev-02","1","1","0","1","1","5","16","23","48","250","0"
"Fev-03","0","0","1","1","2","3","10","27","39","253","0"
"Fev-04","2","0","0","5","0","4","17","19","54","233","0"
"Fev-05","0","1","0","0","4","4","10","31","55","230","0"
"Fev-06","0","0","0","1","1","7","21","29","56","251","0"
"Fev-07","1","0","0","2","2","1","12","25","42","248","3"
"Fev-08","2","0","0","0","3","4","9","22","43","242","1"
"Fev-09","0","0","0","2","0","8","16","30","40","220","0"
"Fev-10","0","0","1","0","1","8","26","29","63","253","0"
"Fev-11","2","0","0","1","1","5","12","32","47","248","0"
"Fev-12","0","2","0","0","1","4","21","24","41","238","2"
"Fev-13","1","0","0","2","4","12","18","30","47","255","0"
"Fev-14","0","0","0","3","2","13","14","28","47","269","0"
"Fev-15","1","0","0","3","1","3","16","28","39","255","0"
"Fev-16","0","0","0","1","4","5","13","16","38","230","1"
"Fev-17","1","0","1","2","2","3","17","29","46","235","0"
"Fev-18","0","0","1","0","0","8","9","39","33","225","0"
"Fev-19","2","0","1","0","2","5","18","25","47","230","0"
"Fev-20","2","0","0","0","0","6","7","28","42","255","0"
"Fev-21","0","1","0","1","1","7","22","29","46","224","0"
"Fev-22","0","0","0","0","1","7","10","26","52","239","0"
"Fev-23","0","0","1","2","3","6","16","23","41","222","0"
"Fev-24","1","0","0","3","1","5","11","39","49","244","0"
"Fev-25","2","0","0","2","2","6","13","23","41","254","0"
"Fev-26","0","0","1","1","0","6","15","34","48","227","0"
"Fev-27","0","0","0","0","1","6","14","25","39","289","0"
"Fev-28","2","0","0","0","2","6","16","25","44","213","1"
"Mar-01","1","0","0","0","1","4","13","32","35","247","0"
"Mar-02","0","0","0","2","2","7","25","26","39","233","0"
"Mar-03","1","0","0","2","2","7","11","25","40","230","0"
"Mar-04","2","0","0","1","1","9","18","18","38","195","0"
"Mar-05","1","0","1","1","0","2","19","24","42","204","0"
"Mar-06","0","0","0","0","2","4","13","27","44","241","0"
"Mar-07","2","1","1","4","2","6","14","23","51","211","0"
"Mar-08","2","1","0","0","0","7","16","22","41","245","0"
"Mar-09","1","0","0","1","1","4","12","25","34","232","0"
"Mar-10","1","0","0","1","4","4","11","28","36","214","0"
"Mar-11","1","0","0","0","3","3","16","21","47","227","0"
"Mar-12","2","0","0","1","1","5","14","25","49","219","0"
"Mar-13","0","1","0","1","0","7","13","26","45","233","1"
"Mar-14","1","0","0","0","1","6","12","30","41","226","0"
"Mar-15","0","0","0","1","2","6","16","21","34","210","1"
"Mar-16","1","0","0","1","2","5","11","24","48","204","0"
"Mar-17","2","0","0","1","2","10","11","20","47","210","1"
"Mar-18","2","0","0","0","1","12","10","25","41","211","0"
"Mar-19","3","0","0","0","0","3","13","25","36","208","0"
"Mar-20","1","0","0","1","4","6","18","23","50","234","0"
"Mar-21","1","0","0","0","0","5","15","19","37","204","0"
"Mar-22","0","0","0","0","3","0","13","19","59","193","0"
"Mar-23","0","0","1","1","1","1","13","22","30","188","0"
"Mar-24","0","1","0","0","2","4","6","23","34","217","0"
"Mar-25","1","0","0","0","0","7","7","21","45","231","0"
"Mar-26","1","0","0","1","1","4","13","21","35","185","0"
"Mar-27","1","0","1","2","0","5","13","27","37","200","0"
"Mar-28","0","0","0","2","0","6","15","29","43","193","0"
"Mar-29","0","0","0","1","1","4","18","27","36","201","0"
"Mar-30","0","0","1","1","2","4","12","24","38","209","0"
"Mar-31","1","0","0","0","3","3","9","22","45","207","0"
"Abr-01","1","0","0","2","2","11","15","27","33","239","0"
"Abr-02","0","0","0","2","2","5","7","26","56","242","0"
"Abr-03","0","0","0","0","2","2","17","35","57","218","0"
"Abr-04","1","0","0","1","1","9","14","22","35","176","0"
"Abr-05","0","0","0","1","0","2","6","24","38","223","0"
"Abr-06","1","0","0","1","1","5","13","21","49","224","0"
"Abr-07","0","0","0","3","3","3","8","31","31","224","0"
"Abr-08","1","0","0","0","4","10","9","25","49","221","0"
"Abr-09","0","0","1","0","1","4","11","22","42","213","0"
"Abr-10","0","0","0","0","1","6","8","22","34","222","0"
"Abr-11","0","0","1","0","5","2","16","25","51","191","0"
"Abr-12","1","0","0","0","0","6","11","23","47","199","0"
"Abr-13","0","0","0","0","3","2","12","24","30","204","0"
"Abr-14","1","0","0","1","2","5","9","17","48","223","0"
"Abr-15","0","0","1","1","0","5","14","19","46","217","0"
