"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","> 75 anos","Desconhecido"
"Jan-01","0","0","0","0","0","4","14","29","66","253","0"
"Jan-02","0","0","0","1","2","2","16","38","35","220","0"
"Jan-03","0","0","0","0","2","6","21","26","39","245","0"
"Jan-04","0","0","0","0","2","8","13","24","46","255","0"
"Jan-05","0","1","0","1","1","4","10","43","48","220","1"
"Jan-06","1","0","3","0","1","4","17","18","45","227","0"
"Jan-07","0","1","1","0","1","6","14","25","39","218","0"
"Jan-08","0","0","0","0","2","1","11","26","55","267","0"
"Jan-09","1","0","0","3","2","7","14","22","45","252","0"
"Jan-10","3","0","0","0","2","2","11","29","33","240","0"
"Jan-11","0","0","0","1","2","7","16","31","47","239","0"
"Jan-12","1","0","0","1","1","4","15","32","55","269","0"
"Jan-13","1","1","0","0","1","7","9","25","42","215","0"
"Jan-14","1","0","0","1","1","3","13","34","48","266","0"
"Jan-15","3","0","0","0","3","5","17","26","43","250","0"
"Jan-16","1","0","0","0","0","7","17","30","38","208","0"
"Jan-17","0","0","0","1","0","1","10","20","29","241","0"
"Jan-18","1","0","1","3","2","2","19","28","49","242","0"
"Jan-19","2","0","0","0","2","6","11","36","57","229","0"
"Jan-20","1","0","0","0","1","6","7","34","60","243","0"
"Jan-21","1","2","0","3","2","6","18","38","62","251","0"
"Jan-22","1","0","1","3","2","7","9","30","40","256","0"
"Jan-23","2","0","0","0","3","3","13","28","48","259","0"
"Jan-24","2","0","0","2","3","3","8","30","55","228","0"
"Jan-25","0","0","0","2","3","4","9","37","58","242","0"
"Jan-26","0","0","1","0","0","5","16","28","49","230","0"
"Jan-27","1","0","0","0","1","0","11","31","46","247","0"
"Jan-28","1","0","2","0","2","5","13","33","48","218","0"
"Jan-29","3","0","1","2","2","7","17","21","57","184","1"
"Jan-30","0","0","0","0","0","5","13","34","42","228","0"
"Jan-31","1","2","0","1","1","4","23","41","57","246","0"
"Fev-01","0","0","0","2","1","6","13","34","41","254","0"
"Fev-02","1","0","0","0","0","7","11","30","42","237","0"
"Fev-03","1","0","0","2","2","4","11","20","60","224","0"
"Fev-04","1","0","1","0","2","5","13","20","50","223","0"
"Fev-05","0","0","0","1","1","7","7","30","40","220","0"
"Fev-06","2","0","0","0","2","3","11","24","44","233","1"
"Fev-07","1","0","0","2","1","8","11","24","45","241","0"
"Fev-08","0","0","0","1","0","7","9","30","45","246","0"
"Fev-09","0","0","1","1","1","5","15","22","46","260","0"
"Fev-10","0","0","0","1","0","6","15","28","54","232","0"
"Fev-11","0","2","0","0","1","4","10","28","52","263","0"
"Fev-12","0","0","0","0","0","4","12","32","52","235","0"
"Fev-13","2","0","0","2","2","2","12","25","50","240","0"
"Fev-14","1","0","1","1","0","3","19","15","46","216","0"
"Fev-15","0","0","0","1","5","4","13","15","45","225","0"
"Fev-16","3","2","0","1","2","6","11","27","43","219","0"
"Fev-17","1","0","0","0","3","4","20","19","53","231","0"
"Fev-18","1","0","0","2","2","5","23","28","35","241","0"
"Fev-19","0","0","1","2","1","5","19","30","48","241","0"
"Fev-20","1","0","0","0","1","4","14","25","48","277","0"
"Fev-21","0","1","0","1","4","7","18","34","43","244","0"
"Fev-22","2","0","0","1","2","3","20","33","53","267","0"
"Fev-23","1","0","1","1","1","3","9","13","46","243","0"
"Fev-24","0","0","0","0","1","10","17","23","63","230","0"
"Fev-25","2","0","0","0","1","10","12","16","36","226","1"
"Fev-26","1","0","0","0","0","9","12","17","49","234","0"
"Fev-27","1","0","0","2","0","6","10","27","60","224","0"
"Fev-28","0","0","1","2","1","9","14","23","52","197","1"
"Fev-29","0","0","0","2","1","3","11","30","49","227","0"
"Mar-01","1","0","0","1","0","8","13","28","42","252","0"
"Mar-02","1","0","1","1","1","4","10","32","42","253","0"
"Mar-03","1","0","0","2","1","5","16","31","55","264","0"
"Mar-04","0","0","0","2","0","5","12","27","59","231","0"
"Mar-05","0","1","1","1","2","6","13","34","40","262","0"
"Mar-06","1","1","1","0","2","6","8","24","41","236","0"
"Mar-07","1","0","0","0","4","8","17","19","30","230","1"
"Mar-08","1","0","0","0","1","8","11","26","50","269","2"
"Mar-09","1","0","0","0","0","10","12","29","56","261","0"
"Mar-10","1","0","0","1","0","7","15","28","48","236","0"
"Mar-11","0","0","0","0","5","5","17","25","56","228","0"
"Mar-12","1","0","0","0","2","2","15","31","46","242","0"
"Mar-13","0","0","0","0","1","2","10","32","43","243","0"
"Mar-14","0","0","0","1","6","5","17","21","52","239","0"
"Mar-15","4","0","0","1","0","5","11","28","56","231","1"
"Mar-16","0","0","0","0","2","6","11","22","52","195","0"
"Mar-17","1","0","0","1","1","5","14","16","44","217","0"
"Mar-18","1","1","0","1","1","6","16","33","48","226","2"
"Mar-19","1","0","0","1","1","3","20","25","61","247","1"
"Mar-20","0","0","1","1","2","3","18","26","41","243","0"
"Mar-21","0","0","0","1","1","7","10","27","44","231","0"
"Mar-22","1","0","0","1","1","6","11","27","46","244","0"
"Mar-23","1","0","0","1","2","1","22","27","47","230","0"
"Mar-24","1","0","0","0","2","3","11","22","41","245","0"
"Mar-25","0","0","0","0","0","6","12","21","44","250","0"
"Mar-26","1","1","0","1","1","2","11","34","42","225","0"
"Mar-27","1","0","0","0","1","6","14","26","43","220","0"
"Mar-28","1","0","0","0","1","6","11","16","49","237","0"
"Mar-29","0","0","0","1","3","4","9","29","35","231","0"
"Mar-30","2","0","0","0","1","7","26","22","38","210","0"
"Mar-31","0","0","0","2","0","3","14","27","48","220","0"
"Abr-01","0","0","0","2","0","6","17","35","50","221","0"
"Abr-02","1","0","0","3","1","6","15","14","45","237","0"
"Abr-03","1","1","0","0","2","4","8","18","43","231","0"
"Abr-04","0","1","0","1","0","7","9","26","46","226","0"
"Abr-05","0","1","0","1","2","3","19","26","47","244","0"
"Abr-06","0","0","0","1","1","2","6","25","50","223","0"
"Abr-07","0","1","0","1","2","3","14","25","42","237","0"
"Abr-08","1","0","0","1","1","9","9","21","42","220","0"
"Abr-09","0","0","0","1","0","9","13","29","45","237","0"
"Abr-10","1","1","0","1","2","2","17","23","48","211","0"
"Abr-11","0","0","0","0","1","6","18","28","57","231","0"
"Abr-12","1","0","0","1","2","8","18","25","48","208","0"
"Abr-13","1","0","1","0","2","1","16","20","44","198","0"
"Abr-14","1","0","0","1","0","7","11","24","60","236","0"
"Abr-15","1","0","0","0","1","6","15","22","35","215","0"
"Abr-16","0","0","1","1","3","4","15","24","38","226","1"
"Abr-17","1","0","0","0","1","6","13","23","41","208","0"
"Abr-18","1","0","0","0","1","4","21","19","50","192","0"
"Abr-19","1","0","0","1","2","7","6","21","39","214","0"
"Abr-20","0","0","0","0","1","2","13","24","46","238","0"
"Abr-21","2","0","1","0","0","4","15","16","46","172","0"
"Abr-22","1","0","0","0","3","6","20","16","32","197","0"
"Abr-23","0","0","0","1","1","3","10","24","57","202","0"
"Abr-24","0","1","0","0","2","9","11","24","53","162","0"
"Abr-25","1","0","0","1","2","1","10","18","40","204","0"
"Abr-26","0","0","0","2","1","6","15","37","48","209","0"
"Abr-27","1","1","0","0","0","3","8","29","39","211","0"
"Abr-28","0","1","1","1","1","8","9","23","39","232","0"
"Abr-29","1","0","0","1","2","4","8","16","50","186","0"
"Abr-30","0","0","0","0","4","1","10","26","55","204","0"
"Mai-01","1","0","0","1","2","3","6","26","36","186","0"
"Mai-02","0","0","1","2","1","10","12","21","41","188","0"
"Mai-03","2","0","0","0","0","6","14","24","51","181","0"
"Mai-04","0","0","0","3","0","3","15","39","46","214","0"
"Mai-05","0","0","0","1","1","7","11","14","39","211","0"
"Mai-06","0","1","1","0","0","3","9","33","42","180","1"
"Mai-07","0","0","0","1","1","4","13","21","40","167","1"
"Mai-08","0","0","0","1","0","6","7","23","46","196","0"
"Mai-09","0","0","0","0","1","3","10","18","51","202","0"
"Mai-10","0","0","0","0","1","3","14","17","47","196","0"
"Mai-11","0","0","0","0","1","2","9","24","33","178","3"
"Mai-12","0","0","0","0","1","4","5","27","37","193","0"
"Mai-13","0","0","1","1","3","6","12","24","47","185","0"
"Mai-14","0","0","0","1","1","4","15","27","35","169","0"
"Mai-15","0","0","0","2","0","2","16","19","37","185","1"
"Mai-16","3","0","0","0","2","3","8","27","59","216","0"
"Mai-17","1","1","0","1","3","5","16","25","53","222","0"
"Mai-18","1","0","0","1","2","4","11","24","43","175","0"
"Mai-19","0","0","0","0","1","3","11","25","50","197","0"
"Mai-20","1","0","0","0","6","3","12","30","38","219","0"
"Mai-21","0","0","0","2","1","5","13","29","33","210","0"
"Mai-22","0","0","0","1","2","4","6","20","45","177","0"
"Mai-23","2","0","0","2","1","4","10","23","43","210","0"
"Mai-24","3","0","0","1","1","6","14","31","50","170","0"
"Mai-25","4","1","0","0","1","5","9","24","49","191","0"
"Mai-26","0","0","1","1","2","4","12","29","31","191","0"
"Mai-27","0","1","0","1","1","6","6","28","43","193","0"
"Mai-28","1","0","0","1","1","6","16","31","40","212","0"
"Mai-29","1","0","0","4","0","4","13","26","39","175","0"
"Mai-30","0","0","0","0","3","5","10","30","38","195","0"
"Mai-31","0","0","0","1","0","4","13","22","51","173","0"
"Jun-01","1","0","0","2","0","10","9","31","50","194","0"
"Jun-02","1","0","0","0","0","7","18","35","40","174","0"
"Jun-03","0","0","0","1","3","2","16","28","45","207","0"
"Jun-04","1","0","1","0","1","5","12","26","38","220","0"
"Jun-05","0","0","1","0","1","2","14","16","40","197","0"
"Jun-06","2","0","0","2","2","5","10","16","36","202","0"
"Jun-07","0","0","0","1","6","3","16","26","31","197","0"
"Jun-08","0","0","0","0","1","6","10","22","36","197","0"
"Jun-09","0","0","0","1","2","4","9","23","46","185","0"
"Jun-10","1","0","0","2","0","5","9","24","46","207","0"
"Jun-11","2","1","0","1","0","5","8","21","31","194","0"
"Jun-12","2","0","0","1","1","5","12","32","34","168","0"
"Jun-13","0","0","0","0","2","5","13","11","43","189","0"
"Jun-14","1","0","0","0","1","4","16","27","41","168","1"
"Jun-15","1","1","0","3","1","11","14","24","42","167","0"
"Jun-16","2","1","0","1","0","6","13","20","39","155","0"
"Jun-17","2","0","0","1","3","5","11","21","32","187","0"
"Jun-18","2","0","0","2","1","13","12","25","44","173","1"
"Jun-19","1","0","0","0","3","5","18","15","30","173","0"
"Jun-20","2","0","0","0","0","3","11","27","41","184","0"
"Jun-21","1","1","1","0","1","5","13","31","40","219","0"
"Jun-22","2","0","0","2","1","3","8","17","57","190","0"
"Jun-23","0","0","0","2","0","1","8","23","41","184","0"
"Jun-24","0","0","0","1","0","2","8","22","34","226","0"
"Jun-25","1","0","0","1","1","3","15","25","47","187","0"
"Jun-26","0","0","0","1","1","5","11","14","30","173","0"
"Jun-27","0","1","2","3","2","3","14","18","55","197","0"
"Jun-28","1","0","0","2","0","4","13","18","51","175","1"
"Jun-29","0","0","0","0","0","6","14","18","38","200","0"
"Jun-30","0","2","0","2","1","6","10","21","37","184","0"
"Jul-01","1","0","0","1","1","4","7","23","46","190","0"
"Jul-02","1","0","0","0","1","3","9","33","39","162","0"
"Jul-03","0","0","0","3","1","5","14","24","41","191","0"
"Jul-04","2","0","0","2","0","2","17","20","42","230","0"
"Jul-05","0","0","0","0","2","6","11","29","43","188","0"
"Jul-06","2","0","0","0","0","2","3","22","41","218","0"
"Jul-07","2","0","0","1","1","4","18","22","54","165","1"
"Jul-08","0","0","0","1","0","5","12","25","34","191","0"
"Jul-09","0","0","0","0","1","1","12","15","46","173","0"
"Jul-10","2","0","1","1","1","7","12","22","34","173","1"
"Jul-11","0","0","1","2","3","2","11","24","41","203","0"
"Jul-12","1","0","0","0","0","3","17","20","26","161","0"
"Jul-13","1","0","0","1","1","3","8","26","40","205","0"
"Jul-14","0","0","0","0","0","3","16","19","42","182","0"
"Jul-15","0","0","0","0","1","3","14","33","45","167","0"
"Jul-16","0","0","0","1","0","2","13","31","52","202","0"
"Jul-17","1","0","0","1","0","1","18","20","39","233","0"
"Jul-18","0","0","0","1","1","8","11","18","38","209","0"
"Jul-19","0","0","0","0","2","12","10","21","45","221","0"
"Jul-20","2","0","0","1","1","2","21","35","47","185","0"
"Jul-21","2","0","1","1","0","4","15","27","51","201","1"
"Jul-22","1","0","0","1","2","6","12","21","36","172","0"
"Jul-23","0","0","0","0","0","5","12","32","34","165","0"
"Jul-24","0","0","0","2","3","2","16","18","42","188","0"
"Jul-25","0","0","0","0","3","5","20","26","35","203","0"
