"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","> 75 anos","Desconhecido"
"Fev-15","0","0","0","1","1","3","15","32","48","316","0"
"Fev-16","0","0","0","1","1","3","13","28","53","275","0"
"Fev-17","1","0","0","1","1","5","18","28","40","265","0"
"Fev-18","0","1","0","1","1","4","17","25","56","305","0"
"Fev-19","1","1","0","1","0","5","11","18","55","310","0"
"Fev-20","2","1","0","1","2","4","9","16","65","281","0"
"Fev-21","1","0","2","0","2","5","11","26","50","285","1"
"Fev-22","3","0","0","0","2","5","13","25","47","283","0"
"Fev-23","1","1","1","0","2","5","5","24","61","305","0"
"Fev-24","1","0","0","0","2","5","16","30","52","269","0"
"Fev-25","0","0","0","1","5","10","18","33","55","291","1"
"Fev-26","0","0","1","2","2","6","13","27","50","255","0"
"Fev-27","0","0","0","1","1","2","14","34","74","285","0"
"Fev-28","2","0","1","1","1","3","15","18","52","289","0"
"Mar-01","0","0","0","0","1","7","15","20","39","287","0"
"Mar-02","0","0","1","0","2","4","17","27","56","285","0"
"Mar-03","2","1","0","0","2","5","10","17","63","247","0"
"Mar-04","0","0","0","0","2","4","14","25","55","280","0"
"Mar-05","1","0","0","3","2","4","17","35","48","245","1"
"Mar-06","0","0","0","0","2","8","15","17","38","230","0"
"Mar-07","1","0","2","0","2","3","9","27","32","275","0"
"Mar-08","1","0","0","0","0","4","12","29","40","228","0"
"Mar-09","0","0","1","0","3","5","13","27","47","242","0"
"Mar-10","1","0","1","1","1","4","15","18","34","265","0"
"Mar-11","0","0","0","0","1","4","9","30","42","232","0"
"Mar-12","1","0","0","1","0","3","13","22","52","240","0"
"Mar-13","1","0","0","1","0","8","10","29","53","228","1"
"Mar-14","1","0","1","0","1","6","13","19","57","253","1"
"Mar-15","0","0","0","0","2","2","11","20","42","230","0"
"Mar-16","1","0","0","3","0","3","15","23","38","220","0"
"Mar-17","2","0","0","0","0","6","9","26","46","222","0"
"Mar-18","0","0","0","1","0","6","10","24","45","231","0"
"Mar-19","0","0","0","1","1","1","12","32","53","249","0"
"Mar-20","0","0","0","1","4","4","9","30","40","223","0"
"Mar-21","1","0","0","2","1","5","15","26","61","246","0"
"Mar-22","1","0","0","3","2","6","20","17","37","254","2"
"Mar-23","1","0","1","1","0","6","13","31","46","222","0"
"Mar-24","0","0","0","1","2","4","15","27","39","213","0"
"Mar-25","0","0","0","0","1","5","14","27","30","201","0"
"Mar-26","1","0","0","0","1","7","9","17","37","222","0"
"Mar-27","0","0","0","1","0","7","15","16","42","218","0"
"Mar-28","0","0","0","1","2","3","10","25","42","236","0"
"Mar-29","0","0","0","0","3","6","17","16","37","201","0"
"Mar-30","0","0","0","2","2","3","9","35","45","235","0"
"Mar-31","0","0","0","0","2","4","8","20","43","241","0"
"Abr-01","1","0","0","0","1","4","14","28","28","241","0"
"Abr-02","1","1","0","2","1","6","20","20","56","232","0"
"Abr-03","1","0","0","3","2","4","10","27","42","239","0"
"Abr-04","0","0","0","0","2","4","13","24","40","193","0"
"Abr-05","3","0","0","0","0","4","19","16","40","197","0"
"Abr-06","0","1","0","2","1","2","12","29","40","231","0"
"Abr-07","1","0","0","0","3","9","12","40","43","180","0"
"Abr-08","3","0","0","0","1","7","9","28","39","209","0"
"Abr-09","0","0","1","0","3","2","15","9","36","187","0"
"Abr-10","1","0","0","2","0","3","15","20","35","160","0"
"Abr-11","1","1","0","1","4","2","7","25","45","192","0"
"Abr-12","0","0","0","0","3","2","6","19","42","203","0"
"Abr-13","0","0","1","0","1","7","19","24","50","203","0"
"Abr-14","1","0","1","0","2","4","15","24","48","170","0"
"Abr-15","2","0","0","1","1","6","11","26","41","195","0"
"Abr-16","0","0","0","0","2","6","11","17","39","197","0"
"Abr-17","1","0","0","1","1","5","12","21","48","207","0"
"Abr-18","0","1","1","0","1","5","13","26","42","188","0"
"Abr-19","2","0","1","0","1","7","9","30","35","160","0"
"Abr-20","0","0","0","2","0","4","7","18","32","161","0"
"Abr-21","1","0","0","1","2","5","16","17","33","173","0"
"Abr-22","1","0","0","0","0","1","15","29","37","202","0"
"Abr-23","0","0","0","0","3","2","12","27","41","198","0"
"Abr-24","1","0","0","3","1","7","10","16","41","199","0"
"Abr-25","2","1","1","1","0","6","9","23","45","182","0"
"Abr-26","0","0","0","0","2","6","11","25","33","152","0"
"Abr-27","0","0","0","1","3","5","9","28","41","177","0"
"Abr-28","0","0","0","1","1","4","9","15","30","181","0"
"Abr-29","1","0","0","1","3","4","6","27","38","158","0"
"Abr-30","0","0","0","0","3","5","20","18","42","181","0"
"Mai-01","0","1","0","1","2","9","11","14","37","197","1"
"Mai-02","1","0","1","4","1","9","17","23","32","206","0"
"Mai-03","0","1","0","2","0","4","14","10","35","187","0"
"Mai-04","0","0","1","0","2","9","21","17","43","180","0"
"Mai-05","2","0","0","2","0","4","21","20","34","187","1"
"Mai-06","0","0","0","0","1","5","15","30","38","196","0"
"Mai-07","0","0","1","0","2","3","10","30","43","197","0"
"Mai-08","0","0","0","0","2","7","10","26","41","202","0"
"Mai-09","1","2","0","1","2","1","25","26","37","192","0"
"Mai-10","1","0","0","1","2","7","12","26","38","178","0"
"Mai-11","1","0","0","0","3","3","9","22","48","180","0"
"Mai-12","0","0","0","0","2","4","16","27","51","177","2"
"Mai-13","0","0","0","1","2","3","10","22","42","206","0"
"Mai-14","0","1","1","0","2","3","18","25","36","186","1"
"Mai-15","0","0","0","0","2","5","13","26","45","168","0"
"Mai-16","0","0","1","0","3","5","20","26","30","180","0"
"Mai-17","1","0","1","2","0","4","10","30","51","192","1"
"Mai-18","1","0","0","1","0","4","12","20","33","219","0"
"Mai-19","1","0","0","1","0","3","7","23","36","170","1"
"Mai-20","0","0","0","1","3","3","8","22","35","165","0"
"Mai-21","1","0","0","1","0","5","12","18","46","162","0"
"Mai-22","2","0","0","2","1","3","13","30","47","181","0"
"Mai-23","0","0","0","3","1","3","6","27","47","175","0"
"Mai-24","1","0","0","1","2","5","9","15","36","180","0"
"Mai-25","0","0","0","1","1","6","11","15","38","169","0"
"Mai-26","0","0","0","2","3","8","12","13","54","190","0"
"Mai-27","0","1","0","1","0","2","8","31","46","210","0"
"Mai-28","1","0","0","0","2","3","12","26","40","209","0"
"Mai-29","1","1","2","0","1","5","17","33","41","202","0"
"Mai-30","0","2","0","0","1","4","8","16","59","171","1"
"Mai-31","0","0","1","0","0","5","18","22","37","193","0"
"Jun-01","1","0","0","1","1","3","13","15","37","174","0"
"Jun-02","0","0","0","1","2","3","11","17","44","197","0"
"Jun-03","2","0","0","0","2","3","10","16","39","171","0"
"Jun-04","0","0","0","1","1","2","11","23","31","198","0"
"Jun-05","2","0","0","1","1","4","10","19","38","198","0"
"Jun-06","1","1","0","1","0","7","9","22","49","190","0"
"Jun-07","0","0","0","1","3","4","14","21","28","204","0"
"Jun-08","0","0","0","0","1","3","11","24","42","186","0"
"Jun-09","2","0","0","1","1","7","18","28","43","182","0"
"Jun-10","1","0","0","1","0","4","10","17","32","196","0"
"Jun-11","0","0","1","0","0","7","11","23","46","162","0"
"Jun-12","2","0","1","2","1","3","8","26","50","174","0"
"Jun-13","0","0","0","3","1","6","14","25","35","145","0"
"Jun-14","0","1","0","1","1","7","14","19","37","164","0"
"Jun-15","0","0","0","0","0","6","7","23","41","161","0"
"Jun-16","0","0","0","1","0","5","10","25","37","144","1"
"Jun-17","0","0","1","3","2","5","14","25","39","155","1"
"Jun-18","0","1","0","1","2","5","9","28","40","178","0"
"Jun-19","0","0","0","0","1","7","24","30","40","195","0"
"Jun-20","0","0","0","0","4","8","10","26","46","212","0"
"Jun-21","3","0","1","3","1","1","8","17","48","207","0"
"Jun-22","2","0","0","4","2","8","10","19","48","193","0"
"Jun-23","0","0","0","1","2","3","6","22","36","184","0"
"Jun-24","0","0","0","1","1","3","11","15","42","168","0"
"Jun-25","2","0","1","1","0","2","17","23","31","140","0"
"Jun-26","1","0","0","0","1","5","3","25","27","164","0"
"Jun-27","0","0","0","0","2","4","4","18","42","176","0"
"Jun-28","0","0","1","1","1","5","18","17","48","180","1"
"Jun-29","0","0","0","1","0","2","14","20","42","207","1"
"Jun-30","2","1","0","0","2","4","12","16","39","190","0"
"Jul-01","0","0","0","0","2","5","4","24","28","186","0"
"Jul-02","1","0","0","1","1","11","8","15","40","147","0"
"Jul-03","2","0","0","2","1","4","9","18","45","155","0"
"Jul-04","1","0","0","2","0","5","11","23","28","132","1"
"Jul-05","1","0","0","2","1","6","7","18","31","173","0"
"Jul-06","0","0","1","2","0","7","15","30","41","162","0"
"Jul-07","0","0","0","2","2","3","8","21","48","174","0"
"Jul-08","1","1","1","1","0","4","18","14","35","199","0"
"Jul-09","0","0","0","2","1","8","10","20","39","181","0"
"Jul-10","1","0","0","0","1","4","14","21","41","184","0"
"Jul-11","1","0","0","2","2","4","8","26","36","160","0"
"Jul-12","1","0","1","0","1","7","10","26","33","173","0"
"Jul-13","2","0","1","1","1","4","18","18","39","166","0"
"Jul-14","0","1","2","1","0","6","10","25","46","177","0"
"Jul-15","3","0","0","0","4","4","14","25","43","175","0"
"Jul-16","4","1","0","1","0","2","9","18","36","154","0"
"Jul-17","1","0","1","0","1","5","16","22","52","172","0"
"Jul-18","0","0","1","1","1","6","15","24","31","189","0"
"Jul-19","2","1","0","1","3","3","20","17","47","159","0"
"Jul-20","1","2","0","1","2","3","8","21","38","175","0"
"Jul-21","0","0","1","1","1","7","12","23","36","182","0"
"Jul-22","0","0","0","2","3","4","10","25","55","165","1"
"Jul-23","0","0","1","1","1","2","11","19","56","157","0"
"Jul-24","1","0","0","0","2","9","12","31","41","179","0"
"Jul-25","2","0","1","1","3","5","14","21","27","160","0"
"Jul-26","0","0","0","3","2","2","9","22","27","156","0"
"Jul-27","0","0","0","3","2","6","10","17","46","189","1"
"Jul-28","1","0","0","0","1","5","18","18","36","174","0"
"Jul-29","0","0","1","1","2","5","14","24","46","177","0"
"Jul-30","1","0","0","0","3","4","12","28","44","172","0"
"Jul-31","2","0","0","2","1","2","6","32","30","187","0"
"Ago-01","2","0","1","3","3","5","15","25","34","125","0"
"Ago-02","2","0","0","2","1","3","16","25","43","166","0"
"Ago-03","0","0","0","1","0","2","17","39","43","166","0"
"Ago-04","0","0","0","1","1","5","11","38","39","171","0"
"Ago-05","0","0","1","0","2","5","13","19","42","165","0"
"Ago-06","1","0","0","1","2","9","8","23","48","165","0"
"Ago-07","0","0","0","1","3","5","18","23","44","160","0"
"Ago-08","0","0","0","0","0","7","20","24","32","187","0"
"Ago-09","2","0","1","0","1","3","13","27","42","166","0"
"Ago-10","1","0","2","2","2","4","9","24","35","173","0"
"Ago-11","1","0","0","1","1","7","13","11","23","207","0"
"Ago-12","0","0","0","1","1","5","8","27","28","185","0"
"Ago-13","0","0","0","1","1","3","12","20","37","170","0"
"Ago-14","0","2","0","2","3","3","13","28","35","157","0"
"Ago-15","1","0","0","0","2","3","16","19","41","156","0"
"Ago-16","0","0","1","0","1","6","14","24","43","165","0"
"Ago-17","0","0","0","4","0","6","17","21","30","154","0"
"Ago-18","0","0","0","0","0","7","13","18","44","200","1"
"Ago-19","0","1","0","0","1","4","16","20","35","152","0"
"Ago-20","0","0","1","1","3","6","16","33","33","171","0"
"Ago-21","1","0","1","1","3","4","15","20","30","181","0"
"Ago-22","0","0","0","1","2","6","10","24","40","187","0"
"Ago-23","0","0","0","1","0","4","14","23","47","167","0"
"Ago-24","1","0","0","1","1","4","12","29","32","157","0"
"Ago-25","1","0","1","0","0","3","9","14","22","162","0"
"Ago-26","1","0","0","1","0","3","18","21","37","149","0"
"Ago-27","1","0","0","2","4","0","12","24","34","170","0"
"Ago-28","1","0","0","0","2","7","16","17","36","175","0"
"Ago-29","0","0","0","1","3","7","16","23","43","171","0"
"Ago-30","3","0","0","1","1","4","7","27","41","198","0"
"Ago-31","0","0","0","2","2","4","20","19","36","176","0"
"Set-01","1","0","0","2","0","8","8","24","32","179","0"
"Set-02","0","0","1","0","1","5","11","20","48","185","0"
"Set-03","1","0","0","0","2","4","7","31","39","195","0"
"Set-04","1","0","1","1","0","5","10","20","31","179","0"
"Set-05","0","0","0","1","0","6","13","32","36","168","0"
"Set-06","0","0","0","1","0","6","12","25","42","165","0"
"Set-07","0","0","0","2","2","5","15","29","33","171","0"
"Set-08","0","0","0","1","2","2","13","23","54","173","0"
"Set-09","0","1","0","0","3","6","14","24","40","207","0"
"Set-10","2","1","1","0","3","2","7","24","46","170","1"
"Set-11","0","1","0","0","1","3","12","19","38","165","0"
"Set-12","0","0","0","0","0","1","13","25","42","163","0"
"Set-13","0","0","0","2","2","3","6","27","47","185","0"
"Set-14","0","0","1","0","0","7","8","25","27","170","0"
"Set-15","0","1","0","1","2","5","12","26","38","168","1"
"Set-16","0","0","0","0","1","3","18","21","35","160","1"
"Set-17","0","0","0","0","0","9","8","20","43","156","0"
"Set-18","2","0","0","0","1","6","11","28","43","165","1"
"Set-19","0","0","0","1","1","5","15","29","34","157","0"
"Set-20","2","1","0","0","2","10","6","20","32","169","0"
"Set-21","2","0","3","2","2","10","12","28","35","170","0"
"Set-22","0","0","0","1","3","3","11","22","43","176","0"
"Set-23","1","0","0","0","0","5","13","27","47","196","1"
"Set-24","0","0","0","1","3","7","16","31","39","188","0"
"Set-25","0","0","0","0","2","7","7","23","38","172","0"
"Set-26","0","0","0","0","1","4","12","25","32","162","0"
"Set-27","1","0","0","3","3","5","11","22","31","205","0"
"Set-28","0","0","0","0","2","7","19","30","45","198","0"
"Set-29","1","1","1","1","2","2","10","24","50","177","0"
"Set-30","0","1","0","0","3","3","7","36","41","176","0"
"Out-01","2","0","0","0","3","3","6","25","34","204","0"
"Out-02","0","0","0","0","3","8","11","31","28","205","0"
"Out-03","2","0","1","0","2","3","11","21","38","166","0"
"Out-04","1","0","0","0","2","5","11","18","39","203","0"
"Out-05","0","0","1","0","1","5","13","22","45","189","0"
"Out-06","1","0","0","1","2","6","8","30","32","182","0"
"Out-07","1","0","1","0","5","5","11","26","42","160","0"
"Out-08","0","0","0","1","0","4","13","24","40","177","0"
"Out-09","1","0","0","1","3","3","16","25","36","162","0"
"Out-10","1","0","0","0","1","3","17","22","37","179","0"
"Out-11","1","0","1","1","1","4","6","17","39","177","0"
"Out-12","0","0","1","0","3","5","15","22","40","176","0"
"Out-13","0","0","0","1","0","3","11","17","39","185","0"
"Out-14","0","0","0","0","3","1","7","16","32","164","0"
"Out-15","1","0","0","2","4","5","13","27","52","178","0"
"Out-16","1","0","0","0","2","2","13","36","33","183","0"
"Out-17","1","0","0","1","1","7","9","21","43","171","0"
"Out-18","2","0","0","1","0","4","12","24","38","187","0"
"Out-19","1","0","0","1","2","4","13","16","41","172","0"
"Out-20","0","1","2","1","1","3","11","19","37","189","0"
"Out-21","1","0","0","0","1","6","5","19","50","188","0"
"Out-22","0","0","1","0","0","5","12","30","27","174","0"
"Out-23","1","1","0","0","2","1","14","26","44","187","0"
"Out-24","0","0","0","0","4","6","7","26","41","187","0"
"Out-25","0","0","0","1","0","7","18","19","50","208","0"
"Out-26","0","0","0","0","3","10","18","29","41","181","1"
"Out-27","1","0","0","1","2","5","16","27","41","168","0"
"Out-28","1","0","0","2","2","6","13","25","44","163","0"
"Out-29","0","0","0","3","2","4","11","28","44","193","0"
"Out-30","1","0","0","0","5","11","12","24","41","180","0"
"Out-31","0","0","0","1","0","6","12","26","44","178","0"
"Nov-01","0","0","0","0","2","1","15","17","39","191","0"
"Nov-02","2","1","0","0","3","6","14","28","37","201","0"
"Nov-03","2","0","0","0","2","4","11","20","35","192","0"
"Nov-04","0","0","0","1","3","4","10","25","38","190","0"
"Nov-05","1","0","0","0","0","6","13","26","29","202","0"
"Nov-06","0","1","0","0","3","5","15","27","49","193","0"
"Nov-07","1","1","0","3","2","4","12","24","43","202","0"
"Nov-08","0","0","0","3","2","5","12","27","35","194","0"
"Nov-09","1","0","1","0","1","2","10","26","41","181","0"
"Nov-10","3","0","0","0","5","7","9","28","38","198","0"
"Nov-11","0","0","0","0","2","6","10","24","42","192","1"
"Nov-12","0","0","0","0","1","3","12","20","35","187","0"
"Nov-13","0","0","0","1","0","3","16","24","34","162","0"
"Nov-14","1","0","0","3","2","7","14","31","50","168","0"
"Nov-15","2","1","1","3","1","2","12","20","46","171","0"
"Nov-16","1","0","0","3","1","3","12","21","39","180","0"
"Nov-17","0","0","0","1","6","2","7","30","53","181","0"
"Nov-18","1","0","0","0","1","7","11","26","36","201","0"
"Nov-19","0","0","2","0","2","3","11","29","48","183","1"
"Nov-20","2","0","0","0","1","2","15","21","48","214","0"
"Nov-21","0","0","0","1","3","5","11","17","45","180","0"
"Nov-22","0","0","0","0","0","8","14","17","45","168","0"
"Nov-23","0","0","0","0","1","4","7","23","43","202","0"
"Nov-24","0","1","0","1","0","4","11","20","46","191","0"
"Nov-25","0","0","1","0","1","2","6","21","46","217","1"
"Nov-26","0","0","0","0","2","7","13","31","50","217","0"
"Nov-27","0","0","0","2","1","3","18","26","46","217","0"
"Nov-28","1","0","0","1","1","3","14","14","38","203","0"
"Nov-29","1","0","0","3","2","1","11","23","48","203","0"
"Nov-30","4","2","0","0","0","7","15","24","42","238","0"
"Dez-01","0","1","0","2","2","5","8","19","41","223","0"
"Dez-02","0","1","0","3","1","5","13","22","46","223","0"
"Dez-03","1","0","2","2","1","4","14","25","49","198","0"
"Dez-04","1","0","0","3","1","3","10","25","34","213","0"
"Dez-05","0","0","0","1","0","6","15","18","48","189","0"
"Dez-06","0","0","0","1","1","3","16","24","38","204","0"
"Dez-07","1","0","1","4","0","4","8","25","35","219","0"
"Dez-08","2","0","0","0","1","2","7","33","43","203","0"
"Dez-09","0","0","0","0","0","2","15","24","42","209","0"
"Dez-10","2","0","0","1","1","5","13","16","49","203","1"
"Dez-11","1","0","1","0","2","7","14","13","33","189","0"
"Dez-12","1","0","0","0","1","2","18","24","34","214","0"
"Dez-13","0","0","0","1","3","3","13","19","47","201","0"
"Dez-14","0","1","0","0","2","6","12","20","47","207","0"
"Dez-15","0","0","0","0","1","9","14","29","39","226","1"
"Dez-16","1","0","0","2","1","4","15","27","38","212","0"
"Dez-17","1","0","0","0","1","8","11","19","45","196","0"
"Dez-18","1","1","0","3","3","7","11","17","53","228","0"
"Dez-19","0","1","0","1","3","6","15","26","38","227","0"
"Dez-20","0","0","0","0","0","5","9","23","45","222","0"
"Dez-21","0","0","1","1","2","1","12","17","50","212","0"
"Dez-22","0","0","1","1","2","7","11","30","40","203","0"
"Dez-23","2","0","1","0","1","2","9","20","51","188","0"
"Dez-24","1","0","0","0","3","7","13","25","34","185","1"
"Dez-25","0","0","0","0","5","4","12","29","50","234","0"
"Dez-26","2","0","0","1","6","6","10","20","50","220","0"
"Dez-27","0","0","1","0","2","4","14","26","48","231","0"
"Dez-28","0","0","1","0","1","5","17","28","44","259","0"
"Dez-29","0","1","0","1","1","4","13","22","47","216","1"
"Dez-30","0","0","0","0","2","5","7","39","46","228","0"
"Dez-31","0","1","0","0","2","5","10","28","54","223","0"
