"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","> 75 anos","Desconhecido"
"Jan-01","2","0","0","0","1","7","17","25","46","308","1"
"Jan-02","0","0","2","0","2","8","11","29","66","295","0"
"Jan-03","2","0","1","1","3","5","13","34","56","301","0"
"Jan-04","2","0","1","1","5","6","19","30","59","343","0"
"Jan-05","1","0","0","1","1","4","22","27","55","341","0"
"Jan-06","2","0","1","0","2","6","20","26","57","332","0"
"Jan-07","1","0","0","1","0","4","19","28","65","301","0"
"Jan-08","4","0","0","1","2","6","13","33","58","295","0"
"Jan-09","0","0","1","1","1","5","15","24","56","345","1"
"Jan-10","1","0","0","1","3","7","13","40","57","318","1"
"Jan-11","1","0","1","0","4","6","11","23","51","338","0"
"Jan-12","0","0","0","0","2","6","13","37","63","334","0"
"Jan-13","4","0","0","2","4","6","14","34","67","367","0"
"Jan-14","1","1","0","1","0","7","13","31","74","333","0"
"Jan-15","0","0","0","2","3","11","8","30","53","354","0"
"Jan-16","2","0","0","1","2","6","14","27","50","345","0"
"Jan-17","3","0","1","1","3","3","19","32","46","305","1"
"Jan-18","0","0","0","0","0","1","17","33","58","332","0"
"Jan-19","1","0","0","1","0","10","15","37","55","305","0"
"Jan-20","0","0","0","1","3","5","17","38","55","367","0"
"Jan-21","0","1","0","0","2","5","18","41","51","316","1"
"Jan-22","2","0","0","0","4","5","13","31","61","326","0"
"Jan-23","1","0","0","2","2","6","20","32","49","299","1"
"Jan-24","0","1","0","1","4","6","10","30","61","332","0"
"Jan-25","0","1","0","1","0","5","18","30","53","334","1"
"Jan-26","0","0","0","5","1","7","17","30","54","298","0"
"Jan-27","0","0","0","1","2","7","17","24","62","326","0"
"Jan-28","4","0","0","0","1","6","18","31","61","286","1"
"Jan-29","0","0","0","1","1","6","8","32","58","341","2"
"Jan-30","0","0","1","0","3","6","13","30","53","305","0"
"Jan-31","0","0","0","1","1","5","11","27","47","315","0"
"Fev-01","0","0","0","0","2","7","15","25","54","282","0"
"Fev-02","0","0","1","0","1","1","19","25","54","322","0"
"Fev-03","0","0","1","1","1","7","12","21","62","293","0"
"Fev-04","3","0","0","1","2","5","14","24","56","302","0"
"Fev-05","1","0","0","0","1","4","15","30","47","310","0"
"Fev-06","0","0","1","0","5","6","19","39","49","306","0"
"Fev-07","0","1","0","0","0","5","12","34","55","297","1"
"Fev-08","1","0","0","0","1","4","18","23","43","327","0"
"Fev-09","1","0","0","2","3","7","9","30","63","335","0"
"Fev-10","1","1","1","0","1","6","16","35","52","318","0"
"Fev-11","0","0","0","0","2","6","19","30","51","333","0"
"Fev-12","0","0","0","1","2","4","9","32","66","309","0"
"Fev-13","2","0","1","0","2","4","21","23","47","317","1"
"Fev-14","0","1","0","1","1","11","11","29","45","306","0"
