"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","> 75 anos","Desconhecido"
"Jan-01","1","0","1","2","0","4","14","26","50","273","0"
"Jan-02","0","0","1","0","1","6","6","35","56","280","1"
"Jan-03","0","0","0","2","3","1","15","25","49","271","1"
"Jan-04","1","0","0","0","2","4","11","31","38","284","0"
"Jan-05","0","0","1","1","1","5","15","27","53","263","1"
"Jan-06","0","1","1","1","0","10","17","37","52","290","0"
"Jan-07","0","0","0","1","3","4","12","24","61","309","1"
"Jan-08","1","0","0","1","1","3","15","21","52","282","0"
"Jan-09","0","0","0","1","3","5","11","33","58","305","1"
"Jan-10","1","0","0","1","1","6","14","33","50","331","0"
"Jan-11","2","0","1","0","3","6","12","30","61","293","0"
"Jan-12","0","0","0","1","1","6","20","29","67","307","0"
"Jan-13","2","0","0","1","0","4","11","31","55","312","0"
"Jan-14","2","0","0","1","2","6","19","37","70","346","0"
"Jan-15","2","0","0","1","0","3","16","39","56","297","0"
"Jan-16","1","0","1","4","1","7","15","33","63","319","1"
"Jan-17","0","0","0","0","0","3","15","24","46","324","1"
"Jan-18","2","0","0","1","0","4","9","39","46","315","0"
"Jan-19","0","0","0","1","2","4","11","19","54","312","0"
"Jan-20","1","0","0","1","2","7","16","31","55","301","0"
"Jan-21","1","0","1","0","3","4","16","27","52","304","0"
"Jan-22","0","0","0","2","0","4","17","31","46","337","1"
"Jan-23","0","0","0","1","2","7","22","30","53","328","2"
"Jan-24","2","0","1","0","2","7","13","38","59","335","0"
"Jan-25","1","0","0","1","7","7","9","32","53","330","0"
"Jan-26","2","0","0","3","1","2","11","26","50","320","0"
"Jan-27","1","1","0","0","1","8","13","34","56","319","0"
"Jan-28","2","0","0","2","3","6","10","25","60","326","0"
"Jan-29","2","0","1","0","2","5","11","37","55","333","0"
"Jan-30","5","0","0","1","1","4","14","30","56","314","0"
"Jan-31","0","0","0","1","2","5","12","30","64","317","0"
"Fev-01","1","0","1","2","2","4","15","31","49","296","0"
"Fev-02","0","0","0","1","2","5","19","26","45","300","0"
"Fev-03","0","1","0","0","1","8","18","24","42","275","1"
"Fev-04","0","0","0","1","1","4","12","36","62","264","1"
"Fev-05","1","1","0","0","1","4","15","38","68","287","0"
"Fev-06","1","0","0","1","1","1","15","27","52","330","0"
"Fev-07","0","0","2","0","0","8","11","23","45","306","0"
"Fev-08","1","0","1","0","1","6","15","27","53","279","0"
"Fev-09","1","0","0","1","2","1","21","24","58","295","1"
"Fev-10","0","0","0","2","0","4","17","21","48","287","2"
"Fev-11","2","1","0","1","0","2","23","37","56","326","0"
"Fev-12","1","1","1","3","3","3","10","26","49","291","0"
"Fev-13","1","0","0","0","1","6","12","23","55","268","1"
"Fev-14","0","1","0","0","0","9","23","26","54","276","0"
"Fev-15","2","0","0","1","0","4","12","21","56","295","0"
"Fev-16","1","0","1","5","3","3","19","23","47","276","1"
"Fev-17","0","0","0","0","1","1","22","26","49","264","0"
"Fev-18","0","0","0","1","0","3","7","26","52","279","0"
"Fev-19","1","0","0","1","3","3","15","18","48","305","1"
"Fev-20","2","2","0","1","2","6","10","31","42","237","0"
"Fev-21","1","0","2","1","1","2","13","35","53","269","0"
"Fev-22","0","1","1","3","2","3","16","28","56","236","0"
"Fev-23","1","0","0","0","3","4","7","37","50","278","1"
"Fev-24","1","1","0","1","5","6","8","25","40","268","0"
"Fev-25","0","0","0","2","1","6","11","26","43","264","1"
"Fev-26","0","0","1","1","4","6","13","24","41","270","1"
"Fev-27","0","0","0","0","1","2","11","18","43","256","0"
