"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","> 75 anos","Desconhecido"
"Jan-01","0","0","0","3","1","5","17","33","61","294","0"
"Jan-02","2","0","0","0","1","9","15","30","63","298","0"
"Jan-03","0","0","0","3","4","8","12","34","69","320","0"
"Jan-04","1","0","0","1","1","6","11","35","65","305","0"
"Jan-05","1","0","3","2","1","3","15","25","44","340","0"
"Jan-06","3","0","0","1","1","3","13","30","63","290","0"
"Jan-07","0","0","0","0","3","2","12","17","39","248","1"
"Jan-08","2","1","1","4","3","6","16","20","54","282","0"
"Jan-09","2","1","1","0","3","3","12","29","54","301","0"
"Jan-10","0","0","0","1","1","6","19","34","48","323","0"
"Jan-11","2","0","2","0","1","4","12","25","50","308","1"
"Jan-12","0","0","1","3","1","4","13","26","48","272","0"
"Jan-13","0","0","1","1","1","6","14","35","58","288","1"
"Jan-14","1","0","0","0","0","6","13","34","57","293","0"
"Jan-15","3","0","0","2","1","3","15","36","59","275","0"
"Jan-16","2","0","0","0","1","5","11","36","43","323","0"
"Jan-17","0","0","0","0","1","3","14","25","54","315","0"
"Jan-18","2","0","0","1","2","4","15","15","66","283","1"
"Jan-19","0","0","0","1","1","4","12","31","58","317","0"
"Jan-20","0","0","0","1","1","4","6","27","55","313","0"
"Jan-21","0","0","0","0","1","5","12","20","46","291","0"
"Jan-22","0","1","0","0","1","6","10","32","37","293","0"
"Jan-23","0","0","0","1","0","0","11","26","61","304","0"
"Jan-24","1","0","0","1","4","4","15","35","48","290","0"
"Jan-25","0","0","0","3","1","2","9","25","50","256","0"
"Jan-26","0","1","0","3","3","4","12","31","59","286","0"
"Jan-27","0","0","0","0","3","5","14","36","47","267","0"
"Jan-28","0","0","0","1","1","5","19","31","50","292","0"
"Jan-29","1","0","3","0","3","5","10","35","55","280","0"
"Jan-30","0","0","0","1","2","3","18","25","61","272","1"
"Jan-31","0","0","2","2","1","1","11","33","45","256","0"
"Fev-01","1","0","0","0","1","5","16","20","57","265","0"
"Fev-02","0","0","0","1","1","6","17","27","58","279","0"
"Fev-03","1","0","0","0","0","6","6","27","49","284","0"
"Fev-04","2","0","2","1","0","3","9","28","48","283","0"
"Fev-05","1","0","0","0","2","7","15","38","64","296","1"
"Fev-06","0","0","0","1","3","4","17","26","40","283","0"
"Fev-07","0","1","0","0","1","8","14","27","59","298","0"
"Fev-08","0","0","0","3","3","12","16","26","68","277","0"
"Fev-09","0","0","0","0","3","2","13","31","57","306","0"
"Fev-10","2","0","0","1","2","4","12","21","42","298","0"
"Fev-11","0","0","0","1","2","3","14","26","45","297","0"
"Fev-12","1","0","0","0","1","7","17","34","43","309","0"
"Fev-13","2","1","0","1","1","3","12","23","64","311","0"
"Fev-14","1","0","0","0","2","4","11","43","53","301","0"
"Fev-15","2","0","0","0","0","6","15","33","53","301","0"
"Fev-16","0","0","0","0","1","6","17","26","46","288","1"
"Fev-17","1","0","0","1","4","4","11","29","56","281","0"
"Fev-18","0","0","0","0","0","2","17","29","51","296","0"
"Fev-19","1","0","0","2","1","6","17","37","52","291","0"
"Fev-20","0","0","0","1","2","3","15","30","61","290","0"
"Fev-21","4","1","0","3","4","6","15","25","54","302","1"
"Fev-22","1","0","0","0","1","4","11","36","46","307","0"
"Fev-23","1","1","0","1","4","7","16","28","48","279","0"
"Fev-24","1","0","0","1","3","4","12","32","52","267","1"
"Fev-25","1","0","0","0","0","3","9","33","57","289","0"
"Fev-26","2","1","0","0","2","3","16","26","46","314","0"
"Fev-27","0","1","1","0","0","6","15","25","57","293","1"
"Fev-28","1","0","1","0","0","4","15","27","50","293","0"
"Mar-01","1","1","0","0","1","2","12","24","52","283","0"
"Mar-02","0","0","0","0","0","5","7","21","49","300","1"
"Mar-03","0","0","0","0","6","6","16","26","48","265","1"
"Mar-04","2","0","1","0","3","4","10","23","41","258","0"
"Mar-05","0","0","0","0","1","9","16","25","40","256","0"
"Mar-06","1","1","0","1","3","1","7","35","47","295","0"
"Mar-07","3","0","0","0","1","6","18","20","50","221","0"
"Mar-08","0","0","0","0","1","2","13","18","45","246","1"
"Mar-09","1","0","0","1","1","7","9","26","42","236","0"
"Mar-10","2","0","1","3","2","4","10","22","54","261","0"
"Mar-11","2","2","0","2","1","3","8","27","42","248","0"
"Mar-12","0","0","1","1","2","5","15","39","40","254","0"
"Mar-13","0","0","0","0","2","8","9","30","49","246","0"
"Mar-14","0","0","2","1","3","4","16","32","46","259","0"
"Mar-15","1","1","0","1","5","4","9","19","47","257","0"
"Mar-16","0","0","0","0","1","4","13","34","38","228","0"
"Mar-17","3","0","1","1","1","5","12","19","47","239","0"
"Mar-18","0","0","1","0","1","6","22","30","47","227","1"
"Mar-19","0","0","1","1","1","1","7","28","33","224","1"
"Mar-20","0","0","0","0","1","0","18","20","44","211","0"
"Mar-21","2","1","0","2","1","2","8","25","61","215","0"
"Mar-22","3","0","1","0","0","2","9","26","48","236","0"
"Mar-23","2","0","0","0","2","5","14","21","54","245","0"
"Mar-24","0","0","0","0","2","3","5","19","56","248","0"
"Mar-25","1","2","0","1","1","4","8","26","55","233","0"
"Mar-26","0","0","0","1","2","5","13","30","35","276","0"
"Mar-27","1","2","0","1","1","5","9","24","45","263","0"
"Mar-28","1","1","1","0","1","1","16","31","57","227","0"
"Mar-29","1","0","0","0","1","4","13","31","45","226","0"
"Mar-30","1","0","0","2","1","7","14","23","53","224","0"
"Mar-31","1","1","0","2","2","2","14","26","42","221","0"
"Abr-01","0","0","0","1","0","5","8","27","50","260","0"
"Abr-02","0","0","0","1","3","4","8","32","60","286","0"
"Abr-03","0","0","0","0","1","1","11","30","46","253","0"
"Abr-04","1","0","0","1","1","6","9","28","55","250","1"
"Abr-05","1","0","0","1","3","4","20","29","36","242","0"
"Abr-06","0","0","0","2","3","4","12","12","54","235","0"
"Abr-07","0","0","0","1","0","4","16","26","47","226","1"
"Abr-08","0","0","0","1","3","6","11","19","43","213","0"
"Abr-09","0","0","0","0","1","5","13","15","51","231","0"
"Abr-10","4","0","0","0","4","6","25","21","54","204","0"
"Abr-11","1","0","0","0","1","2","15","24","49","236","1"
"Abr-12","1","0","0","3","1","3","8","32","43","252","0"
"Abr-13","1","0","0","1","0","7","11","26","44","245","0"
"Abr-14","1","0","0","1","3","6","12","23","50","223","1"
"Abr-15","1","0","0","1","0","4","14","23","35","259","0"
"Abr-16","0","1","0","0","0","5","18","21","42","235","0"
"Abr-17","3","1","0","1","1","7","19","21","45","222","0"
"Abr-18","1","0","0","1","4","2","12","19","35","229","0"
"Abr-19","0","0","0","0","0","7","13","26","61","214","0"
"Abr-20","1","0","1","1","1","2","16","19","52","228","0"
"Abr-21","2","1","0","1","0","5","4","23","40","240","0"
"Abr-22","0","1","0","0","0","6","9","24","43","218","0"
"Abr-23","0","0","0","0","3","5","10","29","44","228","0"
"Abr-24","2","0","0","0","1","9","13","30","49","217","0"
"Abr-25","1","0","0","1","0","5","9","28","46","213","0"
"Abr-26","2","0","2","1","1","6","20","21","53","202","0"
"Abr-27","0","0","0","0","1","2","6","21","47","214","1"
"Abr-28","0","1","1","0","2","3","11","25","46","200","0"
"Abr-29","0","0","0","0","0","3","10","23","36","222","1"
"Abr-30","1","1","0","0","1","3","13","23","30","210","0"
"Mai-01","1","0","1","0","1","1","13","19","37","185","1"
"Mai-02","0","0","1","1","3","7","15","20","40","194","0"
"Mai-03","0","0","2","2","4","4","12","27","40","195","0"
"Mai-04","1","0","1","2","2","8","12","21","35","226","0"
"Mai-05","2","1","0","0","0","6","12","17","38","226","1"
"Mai-06","2","0","2","1","3","3","14","21","43","205","1"
"Mai-07","0","0","0","0","0","5","12","34","51","219","0"
"Mai-08","2","0","0","0","0","5","8","22","32","240","1"
"Mai-09","0","0","1","0","1","6","11","33","38","205","1"
"Mai-10","0","0","0","1","0","6","14","24","49","196","0"
"Mai-11","1","1","0","2","1","3","6","22","29","203","0"
"Mai-12","2","1","0","0","0","4","11","18","37","194","0"
"Mai-13","0","0","0","1","1","1","8","14","40","168","0"
"Mai-14","0","0","0","1","3","5","8","30","48","178","0"
"Mai-15","0","0","0","0","0","4","7","30","40","200","1"
"Mai-16","3","1","1","0","2","7","19","26","44","207","0"
"Mai-17","1","0","1","1","1","7","10","29","48","192","0"
"Mai-18","0","0","0","0","2","7","13","35","50","221","0"
"Mai-19","0","0","0","0","3","2","15","21","44","207","1"
"Mai-20","0","0","0","0","0","4","17","30","41","211","1"
"Mai-21","0","0","0","0","1","6","9","26","51","202","0"
"Mai-22","2","1","0","0","1","7","6","22","37","182","0"
"Mai-23","0","0","0","0","0","4","16","22","52","232","0"
"Mai-24","0","0","1","1","1","1","14","27","37","186","0"
"Mai-25","1","0","0","0","2","6","9","16","44","171","0"
"Mai-26","1","0","1","1","2","4","14","20","43","190","0"
"Mai-27","0","0","0","2","3","2","23","25","27","233","0"
"Mai-28","0","0","0","1","4","7","7","21","45","194","0"
"Mai-29","1","0","0","2","2","2","8","25","43","201","0"
"Mai-30","2","0","1","1","1","5","14","26","45","180","0"
"Mai-31","0","0","0","3","0","4","11","20","36","212","0"
"Jun-01","0","1","0","0","1","5","13","23","48","168","0"
"Jun-02","0","0","0","0","2","4","14","21","34","189","0"
"Jun-03","0","0","0","0","1","2","10","27","46","163","0"
"Jun-04","3","0","0","2","1","3","11","21","44","205","0"
"Jun-05","0","0","0","0","5","4","15","20","43","227","0"
"Jun-06","0","0","0","0","4","8","9","19","39","202","0"
"Jun-07","2","0","2","0","2","6","11","21","42","184","0"
"Jun-08","0","1","1","0","1","5","12","32","33","190","0"
"Jun-09","0","0","1","1","2","4","11","18","49","185","0"
"Jun-10","0","0","0","1","1","6","9","22","43","201","0"
"Jun-11","0","1","1","2","2","1","17","25","37","185","0"
"Jun-12","2","0","0","0","3","4","6","32","43","158","0"
"Jun-13","3","0","0","0","0","2","19","18","48","192","0"
"Jun-14","2","0","0","1","3","7","16","19","37","210","0"
"Jun-15","2","0","0","0","3","5","16","27","35","193","0"
"Jun-16","3","0","0","0","1","4","10","22","48","193","1"
"Jun-17","2","0","0","0","1","3","13","28","39","201","0"
"Jun-18","1","1","0","1","4","0","17","30","43","214","0"
"Jun-19","0","0","0","0","5","3","14","29","57","234","0"
"Jun-20","2","0","1","3","3","4","9","26","54","231","0"
"Jun-21","1","0","0","1","5","6","14","19","36","228","0"
"Jun-22","0","0","0","0","0","4","8","17","44","207","1"
"Jun-23","0","1","0","2","1","2","10","24","30","188","1"
"Jun-24","2","0","0","0","3","3","10","18","51","188","1"
"Jun-25","0","0","0","0","0","6","11","34","46","206","0"
"Jun-26","0","0","0","2","3","1","12","21","56","191","0"
"Jun-27","4","1","0","0","1","3","14","18","59","204","0"
"Jun-28","1","0","0","0","3","4","10","18","38","178","0"
