"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","345","4","55"
"Jan-02","279","3","41"
"Jan-03","320","1","45"
"Jan-04","288","1","54"
"Jan-05","324","4","36"
"Jan-06","290","7","29"
"Jan-07","295","3","47"
"Jan-08","328","2","44"
"Jan-09","299","7","50"
"Jan-10","304","0","41"
"Jan-11","312","3","34"
"Jan-12","338","2","26"
"Jan-13","328","6","37"
"Jan-14","312","4","43"
"Jan-15","344","1","42"
"Jan-16","328","6","43"
"Jan-17","347","4","56"
"Jan-18","352","3","52"
"Jan-19","296","3","37"
"Jan-20","380","2","55"
"Jan-21","352","2","46"
"Jan-22","349","5","48"
"Jan-23","353","4","51"
"Jan-24","319","6","58"
"Jan-25","344","4","55"
"Jan-26","348","3","49"
"Jan-27","357","7","40"
"Jan-28","359","3","34"
"Jan-29","344","3","35"
"Jan-30","380","1","40"
"Jan-31","355","3","49"
"Fev-01","398","3","44"
"Fev-02","387","3","49"
"Fev-03","362","5","55"
"Fev-04","373","5","41"
"Fev-05","364","3","41"
"Fev-06","300","1","41"
"Fev-07","359","7","41"
"Fev-08","359","0","34"
"Fev-09","352","2","34"
"Fev-10","367","1","30"
"Fev-11","338","3","39"
"Fev-12","352","5","29"
"Fev-13","319","1","34"
"Fev-14","351","3","42"
"Fev-15","361","2","36"
"Fev-16","321","3","37"
"Fev-17","365","4","44"
"Fev-18","355","2","38"
"Fev-19","344","5","30"
"Fev-20","302","9","52"
"Fev-21","309","1","46"
"Fev-22","309","7","35"
"Fev-23","294","2","36"
"Fev-24","325","1","35"
"Fev-25","322","4","29"
"Fev-26","328","2","40"
"Fev-27","313","6","28"
"Fev-28","289","4","33"
"Mar-01","306","1","46"
"Mar-02","330","2","38"
"Mar-03","320","4","47"
"Mar-04","311","6","25"
"Mar-05","295","2","40"
"Mar-06","271","1","30"
"Mar-07","348","5","38"
"Mar-08","287","5","52"
"Mar-09","315","6","30"
"Mar-10","303","3","45"
"Mar-11","303","2","42"
"Mar-12","281","4","34"
"Mar-13","286","3","54"
"Mar-14","297","4","27"
"Mar-15","287","1","45"
"Mar-16","318","0","34"
"Mar-17","313","3","44"
"Mar-18","300","5","37"
"Mar-19","329","2","36"
"Mar-20","304","1","40"
"Mar-21","326","3","33"
"Mar-22","340","6","37"
"Mar-23","297","3","42"
"Mar-24","303","2","31"
"Mar-25","314","1","51"
"Mar-26","303","3","34"
"Mar-27","307","3","34"
"Mar-28","295","5","36"
"Mar-29","342","6","44"
"Mar-30","321","4","32"
"Mar-31","296","1","30"
"Abr-01","341","4","39"
"Abr-02","313","1","39"
"Abr-03","285","4","23"
"Abr-04","308","2","41"
"Abr-05","297","6","31"
"Abr-06","297","3","37"
"Abr-07","346","0","45"
"Abr-08","299","1","38"
"Abr-09","295","0","25"
"Abr-10","323","6","24"
"Abr-11","313","2","32"
"Abr-12","295","3","45"
"Abr-13","298","1","24"
"Abr-14","317","8","41"
"Abr-15","301","0","24"
"Abr-16","332","4","31"
"Abr-17","333","3","35"
"Abr-18","316","4","43"
"Abr-19","288","7","39"
"Abr-20","282","1","44"
"Abr-21","286","4","30"
"Abr-22","303","1","26"
"Abr-23","273","2","34"
"Abr-24","280","1","42"
"Abr-25","282","3","38"
"Abr-26","318","2","30"
"Abr-27","270","4","31"
"Abr-28","290","7","26"
"Abr-29","319","5","29"
"Abr-30","271","6","31"
"Mai-01","271","3","38"
"Mai-02","254","4","33"
"Mai-03","279","1","34"
"Mai-04","298","4","30"
"Mai-05","266","4","39"
"Mai-06","278","2","36"
"Mai-07","292","2","46"
"Mai-08","280","7","23"
"Mai-09","328","4","39"
"Mai-10","311","1","40"
"Mai-11","313","0","43"
"Mai-12","290","2","41"
"Mai-13","286","1","30"
"Mai-14","344","2","33"
"Mai-15","304","6","33"
"Mai-16","299","4","35"
"Mai-17","297","2","36"
"Mai-18","302","2","31"
"Mai-19","301","5","38"
"Mai-20","307","5","17"
"Mai-21","313","6","35"
"Mai-22","289","1","24"
"Mai-23","297","2","37"
"Mai-24","278","5","28"
"Mai-25","275","2","29"
"Mai-26","272","1","38"
"Mai-27","338","3","48"
"Mai-28","321","5","29"
"Mai-29","301","1","37"
"Mai-30","296","0","35"
"Mai-31","324","3","41"
"Jun-01","290","2","32"
"Jun-02","299","4","32"
"Jun-03","287","3","35"
"Jun-04","326","1","32"
"Jun-05","306","4","33"
"Jun-06","312","4","31"
"Jun-07","312","3","24"
"Jun-08","327","3","41"
"Jun-09","319","1","29"
"Jun-10","320","3","39"
"Jun-11","309","5","37"
"Jun-12","337","3","43"
"Jun-13","357","10","41"
"Jun-14","364","5","54"
"Jun-15","332","8","58"
"Jun-16","327","7","32"
"Jun-17","338","2","47"
"Jun-18","335","3","17"
"Jun-19","310","0","38"
"Jun-20","275","4","37"
"Jun-21","288","4","31"
"Jun-22","287","2","37"
"Jun-23","276","9","22"
"Jun-24","275","3","34"
"Jun-25","258","5","30"
"Jun-26","257","3","38"
"Jun-27","251","2","37"
"Jun-28","253","3","31"
"Jun-29","271","7","41"
"Jun-30","240","3","32"
"Jul-01","300","1","32"
"Jul-02","246","3","41"
"Jul-03","322","2","27"
"Jul-04","293","2","33"
"Jul-05","275","3","28"
"Jul-06","284","2","43"
"Jul-07","294","2","32"
"Jul-08","291","6","29"
"Jul-09","312","2","55"
"Jul-10","339","1","40"
"Jul-11","308","4","43"
"Jul-12","287","3","36"
"Jul-13","331","1","46"
"Jul-14","406","2","51"
"Jul-15","396","6","52"
"Jul-16","368","2","38"
"Jul-17","323","1","40"
"Jul-18","370","3","49"
"Jul-19","323","1","43"
"Jul-20","267","3","35"
"Jul-21","274","4","48"
"Jul-22","259","3","41"
"Jul-23","296","2","32"
"Jul-24","267","5","32"
"Jul-25","298","4","39"
"Jul-26","270","1","47"
"Jul-27","292","2","39"
"Jul-28","302","3","40"
