"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jul-29","295","2","34"
"Jul-30","283","4","48"
"Jul-31","258","3","39"
"Ago-01","286","5","46"
"Ago-02","284","6","57"
"Ago-03","265","5","37"
"Ago-04","278","2","32"
"Ago-05","278","1","33"
"Ago-06","258","4","30"
"Ago-07","257","8","31"
"Ago-08","262","1","30"
"Ago-09","255","3","32"
"Ago-10","248","3","42"
"Ago-11","273","2","26"
"Ago-12","271","5","40"
"Ago-13","274","3","40"
"Ago-14","263","5","26"
"Ago-15","232","4","37"
"Ago-16","246","4","36"
"Ago-17","261","0","35"
"Ago-18","272","7","36"
"Ago-19","264","2","36"
"Ago-20","272","4","33"
"Ago-21","258","6","28"
"Ago-22","284","7","39"
"Ago-23","253","1","40"
"Ago-24","295","0","25"
"Ago-25","243","7","24"
"Ago-26","254","2","29"
"Ago-27","245","7","31"
"Ago-28","229","2","31"
"Ago-29","286","2","24"
"Ago-30","227","4","33"
"Ago-31","270","6","27"
"Set-01","283","2","31"
"Set-02","253","2","30"
"Set-03","256","2","29"
"Set-04","248","3","32"
"Set-05","240","2","33"
"Set-06","241","3","35"
"Set-07","256","4","23"
"Set-08","247","5","31"
"Set-09","279","3","25"
"Set-10","247","2","38"
"Set-11","292","1","42"
"Set-12","291","6","24"
"Set-13","259","3","16"
"Set-14","236","2","40"
"Set-15","284","4","26"
"Set-16","265","5","24"
"Set-17","282","5","26"
"Set-18","263","3","28"
"Set-19","263","4","40"
"Set-20","271","6","40"
"Set-21","302","3","24"
"Set-22","283","3","29"
"Set-23","294","5","28"
"Set-24","258","3","22"
"Set-25","222","2","23"
"Set-26","222","7","25"
"Set-27","221","4","33"
"Set-28","262","0","22"
"Set-29","229","8","26"
"Set-30","222","3","31"
"Out-01","265","6","36"
"Out-02","257","3","37"
"Out-03","288","2","38"
"Out-04","272","3","33"
"Out-05","257","6","27"
"Out-06","257","4","39"
"Out-07","285","4","31"
"Out-08","249","3","29"
"Out-09","271","5","39"
"Out-10","276","12","41"
"Out-11","268","4","40"
"Out-12","281","2","27"
"Out-13","265","4","31"
"Out-14","280","3","42"
"Out-15","244","2","33"
"Out-16","257","2","27"
"Out-17","272","7","38"
"Out-18","266","0","33"
"Out-19","258","4","39"
"Out-20","271","3","28"
"Out-21","243","5","29"
"Out-22","290","1","27"
"Out-23","265","1","27"
"Out-24","281","3","48"
"Out-25","291","1","37"
"Out-26","248","0","28"
"Out-27","307","3","31"
"Out-28","283","2","41"
"Out-29","275","1","22"
"Out-30","258","4","32"
"Out-31","298","3","35"
"Nov-01","279","1","33"
"Nov-02","271","1","35"
"Nov-03","302","3","31"
"Nov-04","286","2","34"
"Nov-05","262","1","32"
"Nov-06","285","1","43"
"Nov-07","296","5","53"
"Nov-08","297","4","33"
"Nov-09","295","3","29"
"Nov-10","302","2","32"
"Nov-11","285","2","33"
"Nov-12","299","2","34"
"Nov-13","288","1","40"
"Nov-14","323","2","46"
"Nov-15","304","2","33"
"Nov-16","311","3","33"
"Nov-17","283","0","43"
"Nov-18","270","4","49"
"Nov-19","280","3","35"
"Nov-20","295","3","41"
"Nov-21","324","3","36"
"Nov-22","326","0","36"
"Nov-23","317","6","38"
"Nov-24","318","3","48"
"Nov-25","291","1","43"
"Nov-26","313","5","47"
"Nov-27","304","4","41"
"Nov-28","345","3","42"
"Nov-29","300","3","40"
"Nov-30","336","3","49"
"Dez-01","354","1","42"
"Dez-02","310","2","60"
"Dez-03","347","1","33"
"Dez-04","348","7","41"
"Dez-05","356","3","70"
"Dez-06","382","3","50"
"Dez-07","374","1","61"
"Dez-08","368","1","48"
"Dez-09","314","4","33"
"Dez-10","322","3","46"
"Dez-11","363","2","41"
"Dez-12","401","3","64"
"Dez-13","394","2","39"
"Dez-14","352","4","46"
"Dez-15","368","1","39"
"Dez-16","352","4","47"
"Dez-17","339","2","49"
"Dez-18","366","2","47"
"Dez-19","365","2","60"
"Dez-20","352","6","40"
"Dez-21","353","6","40"
"Dez-22","342","3","53"
"Dez-23","337","3","50"
"Dez-24","312","0","42"
"Dez-25","333","1","33"
"Dez-26","328","4","48"
"Dez-27","353","2","44"
"Dez-28","290","2","53"
"Dez-29","362","3","33"
"Dez-30","331","5","49"
"Dez-31","322","1","45"
