"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","356","3","62"
"Jan-02","323","3","47"
"Jan-03","334","4","58"
"Jan-04","323","4","41"
"Jan-05","340","4","57"
"Jan-06","340","3","46"
"Jan-07","385","1","53"
"Jan-08","349","0","49"
"Jan-09","337","1","39"
"Jan-10","339","2","57"
"Jan-11","341","5","43"
"Jan-12","325","3","41"
"Jan-13","327","0","43"
"Jan-14","312","4","41"
"Jan-15","316","2","28"
"Jan-16","302","3","57"
"Jan-17","357","2","43"
"Jan-18","333","1","49"
"Jan-19","363","2","49"
"Jan-20","358","5","40"
"Jan-21","325","6","51"
"Jan-22","320","2","41"
"Jan-23","319","6","44"
"Jan-24","329","5","40"
"Jan-25","280","1","44"
"Jan-26","335","1","48"
"Jan-27","327","5","58"
"Jan-28","332","3","44"
"Jan-29","375","1","37"
"Jan-30","337","2","56"
"Jan-31","355","3","52"
"Fev-01","363","3","67"
"Fev-02","350","0","44"
"Fev-03","347","2","44"
"Fev-04","331","2","58"
"Fev-05","372","5","41"
"Fev-06","338","5","47"
"Fev-07","357","1","44"
"Fev-08","342","3","39"
"Fev-09","376","1","31"
"Fev-10","370","2","47"
"Fev-11","394","2","41"
"Fev-12","370","2","50"
"Fev-13","358","1","50"
"Fev-14","351","4","41"
"Fev-15","343","1","45"
"Fev-16","354","3","40"
"Fev-17","340","1","36"
"Fev-18","317","1","35"
"Fev-19","346","2","45"
"Fev-20","326","1","48"
"Fev-21","340","6","34"
"Fev-22","330","0","47"
"Fev-23","332","2","41"
"Fev-24","331","0","40"
"Fev-25","283","2","38"
"Fev-26","301","4","33"
"Fev-27","313","2","49"
"Fev-28","310","4","36"
"Mar-01","332","2","37"
"Mar-02","313","2","51"
"Mar-03","344","4","52"
"Mar-04","296","0","45"
"Mar-05","343","1","36"
"Mar-06","302","5","46"
"Mar-07","343","1","40"
"Mar-08","345","4","40"
"Mar-09","314","2","37"
"Mar-10","315","1","52"
"Mar-11","338","2","37"
"Mar-12","296","5","32"
"Mar-13","326","0","35"
"Mar-14","273","3","32"
"Mar-15","288","4","34"
"Mar-16","311","4","32"
"Mar-17","314","5","31"
"Mar-18","287","1","44"
"Mar-19","279","3","37"
"Mar-20","296","4","26"
"Mar-21","290","4","25"
"Mar-22","275","4","34"
"Mar-23","303","2","19"
"Mar-24","278","2","13"
"Mar-25","279","0","10"
"Mar-26","258","0","8"
"Mar-27","120","0","4"
