"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","355","8","44"
"Jan-02","372","9","32"
"Jan-03","380","6","30"
"Jan-04","413","12","41"
"Jan-05","411","7","34"
"Jan-06","409","9","28"
"Jan-07","395","5","19"
"Jan-08","369","9","34"
"Jan-09","405","4","40"
"Jan-10","400","7","34"
"Jan-11","388","2","45"
"Jan-12","413","2","40"
"Jan-13","452","14","32"
"Jan-14","413","8","40"
"Jan-15","418","3","40"
"Jan-16","413","3","31"
"Jan-17","375","8","31"
"Jan-18","391","7","43"
"Jan-19","369","10","45"
"Jan-20","443","6","37"
"Jan-21","381","8","46"
"Jan-22","402","9","31"
"Jan-23","373","4","35"
"Jan-24","398","12","35"
"Jan-25","406","3","34"
"Jan-26","365","10","37"
"Jan-27","395","7","37"
"Jan-28","366","10","32"
"Jan-29","408","3","38"
"Jan-30","367","6","38"
"Jan-31","376","5","26"
"Fev-01","344","2","39"
"Fev-02","379","9","35"
"Fev-03","358","5","35"
"Fev-04","367","6","34"
"Fev-05","371","4","33"
"Fev-06","381","4","40"
"Fev-07","367","4","34"
"Fev-08","377","5","35"
"Fev-09","397","11","42"
"Fev-10","387","7","37"
"Fev-11","401","9","31"
"Fev-12","387","3","33"
"Fev-13","377","9","32"
"Fev-14","360","6","39"
"Fev-15","392","3","21"
"Fev-16","341","1","32"
"Fev-17","322","3","34"
"Fev-18","379","4","27"
"Fev-19","363","7","32"
"Fev-20","354","6","21"
"Fev-21","347","9","27"
"Fev-22","348","3","27"
"Fev-23","359","5","41"
"Fev-24","337","6","32"
"Fev-25","363","14","37"
"Fev-26","315","15","26"
"Fev-27","375","5","31"
"Fev-28","354","7","21"
"Mar-01","344","5","20"
"Mar-02","356","5","31"
"Mar-03","322","7","18"
"Mar-04","345","4","31"
"Mar-05","314","10","32"
"Mar-06","278","3","29"
"Mar-07","319","3","29"
"Mar-08","276","6","32"
"Mar-09","298","8","32"
"Mar-10","313","6","21"
"Mar-11","272","9","37"
"Mar-12","304","4","24"
"Mar-13","298","7","26"
"Mar-14","318","6","28"
"Mar-15","285","5","17"
"Mar-16","269","8","26"
"Mar-17","268","7","36"
"Mar-18","288","4","25"
"Mar-19","317","7","25"
"Mar-20","273","2","36"
"Mar-21","327","6","24"
"Mar-22","312","9","21"
"Mar-23","299","3","19"
"Mar-24","267","5","29"
"Mar-25","241","7","30"
"Mar-26","260","10","24"
"Mar-27","271","4","24"
"Mar-28","295","7","17"
"Mar-29","256","8","16"
"Mar-30","302","3","26"
"Mar-31","298","5","15"
"Abr-01","287","5","25"
"Abr-02","300","12","27"
"Abr-03","305","7","16"
"Abr-04","250","5","21"
"Abr-05","253","2","24"
"Abr-06","284","2","32"
"Abr-07","258","6","24"
"Abr-08","277","7","12"
"Abr-09","238","7","8"
"Abr-10","211","3","22"
"Abr-11","253","2","23"
"Abr-12","250","4","21"
"Abr-13","271","6","28"
"Abr-14","246","3","16"
"Abr-15","255","3","25"
"Abr-16","257","3","12"
"Abr-17","267","8","21"
"Abr-18","250","3","24"
"Abr-19","223","3","19"
"Abr-20","201","3","20"
"Abr-21","223","3","22"
"Abr-22","261","4","20"
"Abr-23","255","3","25"
"Abr-24","250","6","22"
"Abr-25","242","12","16"
"Abr-26","208","6","15"
"Abr-27","236","7","21"
"Abr-28","218","7","16"
"Abr-29","214","9","15"
"Abr-30","238","13","18"
"Mai-01","251","3","19"
"Mai-02","271","5","18"
"Mai-03","240","3","10"
"Mai-04","243","7","23"
"Mai-05","254","3","14"
"Mai-06","254","5","26"
"Mai-07","262","7","17"
"Mai-08","263","4","21"
"Mai-09","257","10","20"
"Mai-10","244","5","16"
"Mai-11","235","10","21"
"Mai-12","251","5","23"
"Mai-13","257","6","23"
"Mai-14","246","14","13"
"Mai-15","231","2","26"
"Mai-16","234","9","22"
"Mai-17","266","7","19"
"Mai-18","251","4","35"
"Mai-19","207","10","25"
"Mai-20","217","7","13"
"Mai-21","215","5","25"
"Mai-22","257","3","19"
"Mai-23","231","5","26"
"Mai-24","232","5","12"
"Mai-25","215","6","20"
"Mai-26","250","8","24"
"Mai-27","278","6","15"
"Mai-28","270","4","19"
"Mai-29","276","4","23"
"Mai-30","233","6","23"
"Mai-31","262","3","11"
"Jun-01","220","3","22"
"Jun-02","251","6","18"
"Jun-03","218","5","20"
"Jun-04","242","5","20"
"Jun-05","252","7","14"
"Jun-06","261","2","17"
"Jun-07","245","4","26"
"Jun-08","246","5","16"
"Jun-09","256","10","16"
"Jun-10","235","6","20"
"Jun-11","226","5","19"
"Jun-12","226","5","36"
"Jun-13","210","6","13"
"Jun-14","214","4","26"
"Jun-15","217","6","15"
"Jun-16","198","6","19"
"Jun-17","208","9","28"
"Jun-18","234","9","21"
"Jun-19","268","8","21"
"Jun-20","278","8","20"
"Jun-21","260","6","23"
"Jun-22","252","10","24"
"Jun-23","227","5","22"
"Jun-24","220","3","18"
"Jun-25","194","4","19"
"Jun-26","211","1","14"
"Jun-27","222","8","16"
"Jun-28","248","6","18"
"Jun-29","257","1","29"
"Jun-30","230","8","28"
"Jul-01","233","5","11"
"Jul-02","200","6","18"
"Jul-03","213","4","19"
"Jul-04","172","8","23"
"Jul-05","215","2","22"
"Jul-06","235","5","18"
"Jul-07","232","8","18"
"Jul-08","250","11","13"
"Jul-09","236","7","18"
"Jul-10","247","5","14"
"Jul-11","222","4","13"
"Jul-12","219","5","28"
"Jul-13","223","8","19"
"Jul-14","241","7","20"
"Jul-15","240","4","24"
"Jul-16","197","8","20"
"Jul-17","251","2","17"
"Jul-18","241","9","18"
"Jul-19","221","13","19"
"Jul-20","227","5","19"
"Jul-21","242","3","18"
"Jul-22","235","6","24"
"Jul-23","218","5","25"
"Jul-24","243","14","18"
"Jul-25","219","4","11"
"Jul-26","193","10","18"
"Jul-27","240","10","24"
"Jul-28","230","5","18"
"Jul-29","242","8","20"
"Jul-30","236","4","24"
"Jul-31","244","3","15"
"Ago-01","189","5","19"
"Ago-02","235","0","23"
"Ago-03","235","9","24"
"Ago-04","230","8","28"
"Ago-05","218","6","23"
"Ago-06","229","5","23"
"Ago-07","228","9","17"
"Ago-08","245","4","21"
"Ago-09","237","5","13"
"Ago-10","226","8","18"
"Ago-11","234","11","19"
"Ago-12","233","5","17"
"Ago-13","221","4","19"
"Ago-14","216","4","23"
"Ago-15","216","3","19"
"Ago-16","224","6","24"
"Ago-17","208","10","14"
"Ago-18","248","6","29"
"Ago-19","201","5","23"
"Ago-20","230","16","18"
"Ago-21","237","5","14"
"Ago-22","238","9","23"
"Ago-23","222","6","28"
"Ago-24","209","6","22"
"Ago-25","194","3","15"
"Ago-26","210","4","16"
"Ago-27","223","4","20"
"Ago-28","228","5","21"
"Ago-29","239","8","17"
"Ago-30","260","4","18"
"Ago-31","226","6","27"
"Set-01","233","4","17"
"Set-02","240","3","28"
"Set-03","251","9","19"
"Set-04","228","5","15"
"Set-05","227","6","23"
"Set-06","227","6","18"
"Set-07","236","5","16"
"Set-08","245","4","19"
"Set-09","258","8","29"
"Set-10","229","8","20"
"Set-11","215","4","20"
"Set-12","223","4","17"
"Set-13","240","9","23"
"Set-14","215","4","19"
"Set-15","224","7","23"
"Set-16","214","8","17"
"Set-17","211","6","19"
"Set-18","232","8","17"
"Set-19","219","5","18"
"Set-20","211","8","23"
"Set-21","224","10","30"
"Set-22","239","5","15"
"Set-23","261","5","24"
"Set-24","249","9","27"
"Set-25","219","4","26"
"Set-26","211","5","20"
"Set-27","253","8","20"
"Set-28","266","6","29"
"Set-29","241","3","25"
"Set-30","245","4","18"
"Out-01","251","3","23"
"Out-02","247","8","31"
"Out-03","221","5","18"
"Out-04","256","3","20"
"Out-05","247","4","25"
"Out-06","231","7","24"
"Out-07","228","6","17"
"Out-08","233","7","19"
"Out-09","222","8","17"
"Out-10","239","2","19"
"Out-11","224","6","17"
"Out-12","225","7","30"
"Out-13","232","1","23"
"Out-14","202","4","17"
"Out-15","242","7","33"
"Out-16","244","2","24"
"Out-17","228","6","20"
"Out-18","240","1","27"
"Out-19","228","2","20"
"Out-20","237","2","25"
"Out-21","238","5","27"
"Out-22","219","3","27"
"Out-23","254","4","18"
"Out-24","244","7","20"
"Out-25","279","7","17"
"Out-26","248","8","27"
"Out-27","221","7","33"
"Out-28","227","5","24"
"Out-29","246","9","30"
"Out-30","246","6","22"
"Out-31","242","5","20"
"Nov-01","236","6","23"
"Nov-02","264","6","22"
"Nov-03","243","6","17"
"Nov-04","248","7","16"
"Nov-05","243","6","28"
"Nov-06","269","5","19"
"Nov-07","260","4","28"
"Nov-08","255","4","19"
"Nov-09","232","6","25"
"Nov-10","251","4","33"
"Nov-11","247","8","22"
"Nov-12","232","6","20"
"Nov-13","217","5","18"
"Nov-14","255","1","20"
"Nov-15","239","3","17"
"Nov-16","235","3","22"
"Nov-17","249","7","24"
"Nov-18","255","6","22"
"Nov-19","249","4","26"
"Nov-20","278","5","20"
"Nov-21","243","5","14"
"Nov-22","226","4","22"
"Nov-23","243","7","30"
"Nov-24","244","7","23"
"Nov-25","270","6","19"
"Nov-26","275","10","35"
"Nov-27","285","6","22"
"Nov-28","243","4","28"
"Nov-29","272","3","17"
"Nov-30","300","2","30"
"Dez-01","273","7","21"
"Dez-02","287","7","20"
"Dez-03","264","6","26"
"Dez-04","261","4","25"
"Dez-05","245","5","27"
"Dez-06","257","6","24"
"Dez-07","261","9","27"
"Dez-08","270","5","16"
"Dez-09","265","2","25"
"Dez-10","268","1","22"
"Dez-11","232","7","21"
"Dez-12","269","2","23"
"Dez-13","257","6","24"
"Dez-14","267","4","24"
"Dez-15","287","4","28"
"Dez-16","276","5","19"
"Dez-17","257","4","20"
"Dez-18","280","5","39"
"Dez-19","281","6","30"
