"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","360","7","47"
"Jan-02","372","6","40"
"Jan-03","398","8","44"
"Jan-04","378","2","45"
"Jan-05","390","6","38"
"Jan-06","367","0","37"
"Jan-07","292","6","24"
"Jan-08","335","4","50"
"Jan-09","354","4","48"
"Jan-10","384","6","42"
"Jan-11","369","3","33"
"Jan-12","320","5","43"
"Jan-13","358","4","43"
"Jan-14","351","5","48"
"Jan-15","348","4","42"
"Jan-16","383","7","31"
"Jan-17","367","2","43"
"Jan-18","361","2","26"
"Jan-19","377","11","36"
"Jan-20","366","5","36"
"Jan-21","344","3","28"
"Jan-22","346","3","31"
"Jan-23","366","6","31"
"Jan-24","360","6","32"
"Jan-25","305","8","33"
"Jan-26","370","3","26"
"Jan-27","328","5","39"
"Jan-28","357","5","37"
"Jan-29","339","10","43"
"Jan-30","350","1","32"
"Jan-31","324","4","23"
"Fev-01","327","3","35"
"Fev-02","351","5","33"
"Fev-03","330","1","42"
"Fev-04","338","3","35"
"Fev-05","362","5","57"
"Fev-06","331","9","34"
"Fev-07","373","5","30"
"Fev-08","357","3","45"
"Fev-09","370","4","38"
"Fev-10","355","2","25"
"Fev-11","354","2","32"
"Fev-12","370","7","35"
"Fev-13","376","5","37"
"Fev-14","374","3","38"
"Fev-15","364","2","44"
"Fev-16","355","0","30"
"Fev-17","352","5","30"
"Fev-18","366","2","27"
"Fev-19","361","8","38"
"Fev-20","366","6","30"
"Fev-21","368","2","45"
"Fev-22","371","4","31"
"Fev-23","342","3","40"
"Fev-24","336","5","32"
"Fev-25","355","4","33"
"Fev-26","368","2","40"
"Fev-27","364","3","32"
"Fev-28","359","8","24"
"Mar-01","341","4","31"
"Mar-02","353","4","26"
"Mar-03","331","4","33"
"Mar-04","302","1","39"
"Mar-05","317","3","27"
"Mar-06","347","8","36"
"Mar-07","289","2","28"
"Mar-08","304","1","21"
"Mar-09","301","2","20"
"Mar-10","327","6","26"
"Mar-11","301","4","30"
"Mar-12","320","1","36"
"Mar-13","305","3","36"
"Mar-14","328","6","29"
"Mar-15","311","6","27"
"Mar-16","280","6","32"
"Mar-17","300","5","23"
"Mar-18","307","5","23"
"Mar-19","267","3","27"
"Mar-20","267","2","25"
"Mar-21","285","2","30"
"Mar-22","302","2","21"
"Mar-23","307","3","33"
"Mar-24","305","1","27"
"Mar-25","298","4","29"
"Mar-26","321","4","37"
"Mar-27","319","7","25"
"Mar-28","313","3","20"
"Mar-29","288","4","29"
"Mar-30","287","4","34"
"Mar-31","277","3","31"
"Abr-01","315","4","32"
"Abr-02","345","5","44"
"Abr-03","314","6","22"
"Abr-04","308","3","41"
"Abr-05","295","4","37"
"Abr-06","298","2","22"
"Abr-07","289","2","30"
"Abr-08","261","5","30"
"Abr-09","284","5","27"
"Abr-10","279","6","33"
"Abr-11","301","8","20"
"Abr-12","311","2","30"
"Abr-13","310","3","22"
"Abr-14","288","5","27"
"Abr-15","314","2","21"
"Abr-16","287","2","33"
"Abr-17","284","7","29"
"Abr-18","274","8","21"
"Abr-19","282","5","34"
"Abr-20","278","4","39"
"Abr-21","290","3","23"
"Abr-22","265","6","30"
"Abr-23","291","4","24"
"Abr-24","291","0","30"
"Abr-25","274","4","25"
"Abr-26","272","5","31"
"Abr-27","271","1","20"
"Abr-28","263","3","23"
"Abr-29","272","4","19"
"Abr-30","254","5","23"
"Mai-01","237","4","18"
"Mai-02","245","6","30"
"Mai-03","251","9","26"
"Mai-04","279","3","26"
"Mai-05","278","3","22"
"Mai-06","260","7","28"
"Mai-07","288","6","27"
"Mai-08","278","6","26"
"Mai-09","266","4","26"
"Mai-10","253","6","31"
"Mai-11","243","7","18"
"Mai-12","244","7","16"
"Mai-13","209","7","17"
"Mai-14","237","5","31"
"Mai-15","247","6","29"
"Mai-16","271","6","33"
"Mai-17","263","4","23"
"Mai-18","296","6","26"
"Mai-19","264","5","24"
"Mai-20","274","7","23"
"Mai-21","264","7","24"
"Mai-22","229","3","26"
"Mai-23","293","3","30"
"Mai-24","247","3","18"
"Mai-25","225","4","20"
"Mai-26","252","3","21"
"Mai-27","279","7","29"
"Mai-28","247","4","28"
"Mai-29","249","5","30"
"Mai-30","253","5","17"
"Mai-31","264","3","19"
"Jun-01","225","4","30"
"Jun-02","233","8","23"
"Jun-03","229","3","17"
"Jun-04","268","2","20"
"Jun-05","284","4","26"
"Jun-06","249","5","27"
"Jun-07","239","5","26"
"Jun-08","252","5","18"
"Jun-09","249","3","19"
"Jun-10","255","7","21"
"Jun-11","239","5","27"
"Jun-12","225","5","18"
"Jun-13","248","4","30"
"Jun-14","265","5","25"
"Jun-15","256","6","19"
"Jun-16","262","5","15"
"Jun-17","257","3","27"
"Jun-18","276","4","31"
"Jun-19","311","5","26"
"Jun-20","300","5","28"
"Jun-21","278","8","24"
"Jun-22","259","3","19"
"Jun-23","237","6","16"
"Jun-24","248","4","24"
"Jun-25","268","4","31"
"Jun-26","248","5","33"
"Jun-27","271","5","28"
"Jun-28","223","7","22"
"Jun-29","233","6","23"
"Jun-30","253","6","17"
"Jul-01","229","5","22"
"Jul-02","230","6","25"
"Jul-03","225","7","28"
"Jul-04","227","6","15"
"Jul-05","231","2","17"
"Jul-06","214","4","22"
"Jul-07","217","6","31"
"Jul-08","226","11","23"
"Jul-09","196","5","22"
"Jul-10","221","5","32"
"Jul-11","267","6","18"
"Jul-12","255","2","33"
"Jul-13","215","1","27"
"Jul-14","225","5","14"
"Jul-15","212","1","23"
"Jul-16","211","8","23"
