"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","328","5","43"
"Jan-02","335","5","40"
"Jan-03","335","3","36"
"Jan-04","312","6","46"
"Jan-05","297","3","33"
"Jan-06","313","10","41"
"Jan-07","337","3","42"
"Jan-08","340","2","43"
"Jan-09","331","3","46"
"Jan-10","336","3","38"
"Jan-11","343","3","32"
"Jan-12","358","4","43"
"Jan-13","369","2","34"
"Jan-14","345","4","48"
"Jan-15","386","3","37"
"Jan-16","344","3","40"
"Jan-17","359","3","27"
"Jan-18","347","2","39"
"Jan-19","348","2","31"
"Jan-20","331","4","40"
"Jan-21","313","4","39"
"Jan-22","339","1","39"
"Jan-23","363","2","37"
"Jan-24","338","5","37"
"Jan-25","375","2","36"
"Jan-26","342","2","30"
"Jan-27","376","5","31"
"Jan-28","345","5","25"
"Jan-29","333","8","26"
"Jan-30","348","4","26"
"Jan-31","345","7","40"
"Fev-01","346","7","29"
"Fev-02","346","3","34"
"Fev-03","360","3","35"
"Fev-04","341","7","31"
"Fev-05","325","3","28"
"Fev-06","310","1","33"
"Fev-07","321","2","29"
"Fev-08","307","2","28"
"Fev-09","302","3","25"
"Fev-10","290","3","38"
"Fev-11","284","4","36"
"Fev-12","304","7","25"
"Fev-13","292","6","35"
"Fev-14","288","3","25"
"Fev-15","289","7","35"
"Fev-16","280","2","29"
"Fev-17","323","4","35"
"Fev-18","274","7","32"
"Fev-19","294","3","43"
"Fev-20","281","3","33"
"Fev-21","309","4","37"
"Fev-22","317","8","27"
"Fev-23","290","3","37"
"Fev-24","289","6","38"
"Fev-25","298","3","27"
"Fev-26","278","4","34"
"Fev-27","320","4","33"
"Fev-28","286","2","29"
"Fev-29","290","2","27"
"Mar-01","301","2","30"
"Mar-02","273","3","36"
"Mar-03","281","7","40"
"Mar-04","268","2","30"
"Mar-05","268","1","36"
"Mar-06","275","3","36"
"Mar-07","289","3","29"
"Mar-08","270","3","28"
"Mar-09","302","5","30"
"Mar-10","302","4","33"
"Mar-11","316","5","27"
"Mar-12","305","4","35"
"Mar-13","313","2","31"
"Mar-14","324","2","12"
"Mar-15","269","3","40"
"Mar-16","311","4","30"
"Mar-17","311","5","23"
"Mar-18","285","7","40"
"Mar-19","326","4","39"
"Mar-20","324","3","38"
"Mar-21","318","4","31"
"Mar-22","294","4","37"
"Mar-23","285","2","40"
"Mar-24","339","6","33"
"Mar-25","319","5","36"
"Mar-26","349","1","39"
"Mar-27","325","4","39"
"Mar-28","313","4","43"
"Mar-29","317","3","46"
"Mar-30","321","2","46"
"Mar-31","340","2","36"
"Abr-01","336","3","42"
"Abr-02","340","2","34"
"Abr-03","348","2","38"
"Abr-04","365","6","50"
"Abr-05","306","0","36"
"Abr-06","334","2","41"
"Abr-07","347","6","32"
"Abr-08","351","5","35"
"Abr-09","344","2","37"
"Abr-10","318","5","36"
"Abr-11","306","1","42"
"Abr-12","329","9","33"
"Abr-13","318","4","48"
"Abr-14","305","4","31"
"Abr-15","306","1","33"
"Abr-16","312","2","35"
"Abr-17","321","5","25"
"Abr-18","298","2","29"
"Abr-19","279","6","23"
"Abr-20","324","3","26"
"Abr-21","289","2","20"
"Abr-22","306","3","17"
"Abr-23","290","7","39"
"Abr-24","289","4","33"
"Abr-25","305","3","30"
"Abr-26","295","4","19"
"Abr-27","268","3","37"
"Abr-28","295","4","25"
"Abr-29","246","8","24"
"Abr-30","265","2","35"
"Mai-01","301","5","31"
"Mai-02","271","6","28"
"Mai-03","283","6","29"
"Mai-04","273","5","33"
"Mai-05","286","5","33"
"Mai-06","283","4","30"
"Mai-07","294","6","33"
"Mai-08","293","1","24"
"Mai-09","270","9","25"
"Mai-10","239","5","23"
"Mai-11","266","3","21"
"Mai-12","290","4","35"
"Mai-13","229","7","30"
"Mai-14","263","4","30"
"Mai-15","249","5","16"
"Mai-16","261","5","37"
"Mai-17","266","2","36"
"Mai-18","254","5","33"
"Mai-19","261","8","27"
"Mai-20","258","4","34"
"Mai-21","255","6","24"
"Mai-22","243","6","34"
"Mai-23","263","3","38"
"Mai-24","263","10","40"
"Mai-25","319","2","31"
"Mai-26","290","10","33"
"Mai-27","305","3","34"
"Mai-28","272","1","35"
"Mai-29","323","3","31"
"Mai-30","284","2","33"
"Mai-31","278","7","32"
"Jun-01","256","3","44"
"Jun-02","267","4","25"
"Jun-03","253","4","21"
"Jun-04","271","5","29"
"Jun-05","280","3","20"
"Jun-06","243","4","24"
"Jun-07","239","3","30"
"Jun-08","246","1","31"
"Jun-09","209","2","30"
"Jun-10","236","2","25"
"Jun-11","241","5","29"
"Jun-12","252","6","29"
"Jun-13","236","4","27"
"Jun-14","227","1","31"
"Jun-15","242","2","30"
"Jun-16","228","9","31"
"Jun-17","308","8","26"
"Jun-18","223","9","31"
"Jun-19","233","5","28"
"Jun-20","234","7","35"
"Jun-21","215","5","31"
"Jun-22","265","9","51"
"Jun-23","287","9","27"
"Jun-24","280","1","22"
"Jun-25","272","3","36"
"Jun-26","273","6","17"
"Jun-27","257","9","33"
"Jun-28","236","6","24"
"Jun-29","277","5","30"
"Jun-30","257","4","28"
"Jul-01","254","6","23"
"Jul-02","265","7","35"
"Jul-03","267","5","30"
"Jul-04","237","8","21"
"Jul-05","271","5","25"
"Jul-06","259","7","36"
"Jul-07","278","3","37"
"Jul-08","292","6","36"
"Jul-09","294","3","39"
"Jul-10","302","3","29"
"Jul-11","264","2","31"
"Jul-12","285","2","33"
"Jul-13","299","3","36"
"Jul-14","355","10","36"
"Jul-15","278","4","35"
"Jul-16","347","4","48"
"Jul-17","343","3","29"
"Jul-18","370","4","37"
"Jul-19","358","1","52"
"Jul-20","331","1","50"
"Jul-21","336","8","27"
"Jul-22","324","4","36"
"Jul-23","310","4","37"
"Jul-24","313","1","37"
"Jul-25","284","5","31"
"Jul-26","255","8","38"
"Jul-27","300","5","26"
"Jul-28","290","3","26"
"Jul-29","280","2","30"
"Jul-30","304","4","38"
"Jul-31","280","6","38"
"Ago-01","279","4","30"
"Ago-02","240","1","28"
"Ago-03","266","7","39"
"Ago-04","271","0","19"
"Ago-05","256","5","42"
"Ago-06","286","6","25"
"Ago-07","258","4","30"
"Ago-08","262","2","43"
"Ago-09","237","8","24"
"Ago-10","245","4","40"
"Ago-11","272","2","29"
"Ago-12","264","0","24"
"Ago-13","220","8","35"
"Ago-14","231","5","24"
"Ago-15","260","4","22"
"Ago-16","227","3","20"
"Ago-17","229","5","38"
"Ago-18","260","0","32"
"Ago-19","252","6","28"
"Ago-20","285","3","22"
"Ago-21","241","3","36"
"Ago-22","255","4","30"
"Ago-23","245","8","34"
"Ago-24","250","6","35"
"Ago-25","270","1","31"
"Ago-26","281","3","21"
"Ago-27","272","2","29"
"Ago-28","274","3","36"
"Ago-29","244","2","32"
"Ago-30","242","1","40"
"Ago-31","228","4","25"
"Set-01","261","5","40"
"Set-02","248","6","23"
"Set-03","258","3","30"
"Set-04","281","7","42"
"Set-05","272","6","39"
"Set-06","261","2","28"
"Set-07","273","1","33"
"Set-08","268","5","37"
"Set-09","287","2","29"
"Set-10","275","11","39"
"Set-11","279","4","40"
"Set-12","298","2","22"
"Set-13","291","4","40"
"Set-14","275","4","29"
"Set-15","287","3","32"
"Set-16","314","6","34"
"Set-17","284","4","22"
"Set-18","250","11","22"
"Set-19","245","5","23"
"Set-20","243","4","33"
"Set-21","228","6","28"
"Set-22","214","9","35"
"Set-23","253","1","24"
"Set-24","258","0","25"
"Set-25","239","2","31"
"Set-26","248","3","19"
"Set-27","242","3","21"
"Set-28","286","4","31"
"Set-29","257","4","35"
"Set-30","291","5","29"
"Out-01","263","10","23"
"Out-02","277","4","29"
"Out-03","278","1","27"
"Out-04","265","2","28"
"Out-05","284","5","33"
"Out-06","290","4","30"
"Out-07","270","6","31"
"Out-08","287","3","36"
"Out-09","238","5","32"
"Out-10","257","5","40"
"Out-11","261","4","32"
"Out-12","287","2","32"
"Out-13","275","0","31"
"Out-14","270","8","35"
"Out-15","288","3","37"
"Out-16","269","5","36"
"Out-17","302","3","26"
"Out-18","270","1","38"
"Out-19","275","4","37"
"Out-20","287","1","42"
"Out-21","262","4","27"
"Out-22","307","3","25"
"Out-23","264","3","26"
"Out-24","272","2","28"
"Out-25","327","4","32"
"Out-26","266","3","43"
"Out-27","298","0","32"
"Out-28","307","1","38"
"Out-29","297","8","30"
"Out-30","320","4","39"
"Out-31","358","2","37"
"Nov-01","347","2","31"
"Nov-02","313","8","41"
"Nov-03","341","2","32"
"Nov-04","349","2","40"
"Nov-05","298","3","37"
"Nov-06","337","4","42"
"Nov-07","308","1","30"
"Nov-08","344","2","32"
"Nov-09","366","6","44"
"Nov-10","350","10","33"
"Nov-11","335","2","29"
"Nov-12","316","3","30"
"Nov-13","350","2","33"
"Nov-14","350","4","28"
"Nov-15","415","0","32"
"Nov-16","353","6","39"
"Nov-17","350","3","36"
"Nov-18","378","5","39"
"Nov-19","313","5","39"
"Nov-20","355","6","30"
"Nov-21","351","2","30"
"Nov-22","337","4","32"
"Nov-23","378","3","40"
"Nov-24","328","5","33"
"Nov-25","341","2","38"
"Nov-26","345","4","30"
"Nov-27","381","1","25"
"Nov-28","315","4","39"
"Nov-29","355","2","37"
"Nov-30","349","5","42"
"Dez-01","370","4","39"
"Dez-02","352","4","31"
"Dez-03","363","4","45"
"Dez-04","368","5","42"
"Dez-05","394","3","27"
"Dez-06","371","3","31"
"Dez-07","365","3","40"
"Dez-08","353","5","32"
"Dez-09","387","8","37"
"Dez-10","405","4","47"
"Dez-11","399","6","48"
"Dez-12","397","3","41"
"Dez-13","420","1","32"
"Dez-14","421","3","47"
"Dez-15","370","2","39"
"Dez-16","356","2","38"
"Dez-17","361","2","48"
"Dez-18","376","2","36"
"Dez-19","368","2","47"
"Dez-20","355","2","41"
"Dez-21","365","3","38"
"Dez-22","374","7","33"
"Dez-23","378","4","36"
"Dez-24","321","3","33"
"Dez-25","367","3","36"
"Dez-26","346","4","39"
"Dez-27","356","7","54"
"Dez-28","403","6","47"
"Dez-29","404","3","46"
"Dez-30","391","4","50"
"Dez-31","402","4","37"
