"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Mar-10","3","0","0","0","2","4","11","40","38","99","142","0"
"Mar-11","1","0","0","0","1","3","11","35","56","102","139","0"
"Mar-12","1","0","0","1","2","3","10","26","50","87","164","0"
"Mar-13","0","0","0","0","0","7","16","29","48","103","143","0"
"Mar-14","0","0","0","0","2","4","12","27","61","97","135","0"
"Mar-15","0","0","0","2","1","5","16","25","39","81","143","0"
"Mar-16","0","0","1","0","1","2","16","23","44","101","157","0"
"Mar-17","0","0","0","1","3","6","16","17","47","110","139","0"
"Mar-18","1","0","0","1","0","5","9","21","48","106","141","0"
"Mar-19","0","0","0","1","0","3","15","21","62","94","172","1"
"Mar-20","1","0","0","0","0","2","12","25","59","94","172","0"
"Mar-21","1","0","0","0","1","6","17","26","50","93","159","0"
"Mar-22","1","0","0","0","2","1","10","27","43","112","137","2"
"Mar-23","0","0","0","0","1","3","20","18","52","89","143","1"
"Mar-24","1","0","1","1","4","7","13","29","50","102","169","1"
"Mar-25","1","0","0","1","2","5","15","20","52","116","148","0"
"Mar-26","1","0","0","1","4","0","15","24","56","100","186","2"
"Mar-27","0","0","0","0","2","8","15","23","55","116","149","0"
"Mar-28","1","0","0","2","1","7","7","18","49","113","162","0"
"Mar-29","1","0","1","0","0","3","13","34","42","99","173","0"
"Mar-30","0","0","0","0","3","6","13","26","55","99","167","0"
"Mar-31","0","1","0","3","2","4","15","19","49","131","154","0"
"Abr-01","0","0","0","1","2","4","13","27","60","101","173","0"
"Abr-02","0","0","0","0","0","3","15","26","52","112","168","0"
"Abr-03","0","0","0","0","3","3","12","29","47","118","176","0"
"Abr-04","0","0","0","3","2","7","23","41","50","96","199","0"
"Abr-05","0","1","0","0","1","4","14","27","47","94","152","2"
"Abr-06","0","0","1","0","2","2","13","25","54","103","177","0"
"Abr-07","0","0","2","0","3","6","10","37","60","110","157","0"
"Abr-08","1","0","1","0","2","7","7","31","53","122","166","1"
"Abr-09","0","0","0","1","1","4","18","36","57","106","160","0"
"Abr-10","3","0","0","0","2","5","8","39","51","92","158","1"
"Abr-11","1","0","0","0","0","4","13","20","42","110","159","0"
"Abr-12","2","0","0","2","1","7","9","21","46","114","169","0"
"Abr-13","1","0","0","0","2","6","17","30","45","112","157","0"
"Abr-14","1","0","0","2","2","2","8","17","49","120","139","0"
"Abr-15","0","0","0","0","2","4","14","28","47","89","156","0"
"Abr-16","1","0","0","0","4","4","8","29","50","107","143","3"
"Abr-17","0","0","1","0","2","4","11","24","44","108","157","0"
"Abr-18","0","0","0","1","0","3","6","30","50","97","141","1"
"Abr-19","1","0","0","0","2","3","10","27","34","86","145","0"
"Abr-20","1","0","0","1","1","0","9","24","45","110","162","0"
"Abr-21","0","0","1","3","2","5","11","16","52","72","149","0"
"Abr-22","0","0","0","1","1","7","8","16","48","95","150","0"
"Abr-23","0","0","0","1","1","8","12","30","52","82","149","1"
"Abr-24","1","0","0","1","1","3","10","19","45","91","155","0"
"Abr-25","0","0","1","0","3","3","16","26","49","87","153","0"
"Abr-26","1","0","0","0","0","2","7","35","46","98","129","0"
"Abr-27","0","0","0","1","1","5","9","20","51","97","124","0"
"Abr-28","1","0","0","0","3","2","8","13","59","100","138","0"
"Abr-29","2","3","0","2","1","4","8","18","38","64","138","0"
"Abr-30","0","1","0","3","1","5","18","20","40","89","125","0"
"Mai-01","0","0","0","0","0","4","14","24","46","93","156","0"
"Mai-02","0","0","0","0","1","5","8","25","44","88","134","0"
"Mai-03","0","0","1","0","0","2","13","28","38","101","135","0"
"Mai-04","0","0","0","1","1","9","16","25","45","82","132","0"
"Mai-05","1","0","0","0","0","4","14","23","42","92","148","0"
"Mai-06","0","0","0","1","0","3","13","26","54","83","137","0"
"Mai-07","1","0","1","0","3","5","16","21","42","103","140","1"
"Mai-08","0","0","0","0","0","2","10","33","43","86","144","0"
"Mai-09","0","0","0","3","2","3","6","21","44","83","142","0"
"Mai-10","0","1","1","0","2","6","6","25","42","81","103","0"
"Mai-11","0","0","0","0","2","5","21","26","26","83","127","0"
"Mai-12","0","0","0","0","1","5","11","26","45","111","130","0"
"Mai-13","1","0","0","0","0","5","5","17","42","93","102","1"
"Mai-14","1","0","0","0","1","7","4","26","42","85","131","0"
"Mai-15","1","0","0","0","1","4","10","18","32","84","120","0"
"Mai-16","0","0","0","2","2","5","6","29","47","82","130","0"
"Mai-17","2","0","0","2","1","3","10","19","42","99","126","0"
"Mai-18","1","0","0","1","1","5","18","30","44","84","108","0"
"Mai-19","2","0","1","2","0","2","14","24","44","77","130","0"
"Mai-20","0","1","0","3","2","3","14","24","36","87","126","0"
"Mai-21","2","1","0","1","1","5","8","21","29","79","138","0"
"Mai-22","1","0","0","2","2","4","12","27","44","77","114","0"
"Mai-23","1","1","0","2","1","4","16","22","44","82","131","0"
"Mai-24","1","0","1","0","3","7","12","24","32","90","143","0"
"Mai-25","1","0","0","1","4","4","19","28","65","92","137","1"
"Mai-26","0","0","0","1","3","5","17","38","54","84","131","0"
"Mai-27","3","0","0","1","1","5","16","23","54","101","138","0"
"Mai-28","0","0","0","0","1","3","12","31","47","83","131","0"
"Mai-29","1","0","0","1","3","6","16","24","47","95","164","0"
"Mai-30","0","0","0","1","1","3","16","20","37","85","156","0"
"Mai-31","0","0","0","2","1","10","7","19","51","97","130","0"
"Jun-01","0","0","0","1","1","6","15","18","52","85","125","0"
"Jun-02","1","0","0","2","0","7","10","24","48","85","119","0"
"Jun-03","1","0","1","3","2","2","13","24","39","68","125","0"
"Jun-04","1","0","0","2","2","6","15","20","41","94","124","0"
"Jun-05","0","0","0","0","1","4","16","23","47","90","122","0"
"Jun-06","1","0","0","1","0","3","11","29","48","77","101","0"
"Jun-07","0","0","0","0","2","2","13","24","36","76","119","0"
"Jun-08","1","0","0","2","0","3","8","24","32","86","122","0"
"Jun-09","0","0","0","0","1","4","17","25","36","63","95","0"
"Jun-10","1","0","0","1","1","2","5","28","42","78","105","0"
"Jun-11","0","0","0","0","0","5","13","25","44","79","109","0"
"Jun-12","2","0","0","0","1","8","15","27","24","91","119","0"
"Jun-13","1","0","0","2","0","4","8","32","39","69","112","0"
"Jun-14","0","0","0","2","3","5","16","17","42","67","107","0"
"Jun-15","0","0","0","2","0","4","12","29","45","69","113","0"
"Jun-16","1","0","0","2","1","1","11","19","45","75","113","0"
"Jun-17","0","1","0","0","4","9","11","38","58","99","122","0"
"Jun-18","0","0","1","1","1","8","9","18","36","83","106","0"
"Jun-19","2","1","1","2","0","4","8","22","47","65","114","0"
"Jun-20","0","0","0","0","4","4","15","22","37","75","119","0"
"Jun-21","0","1","0","1","2","3","5","26","32","76","105","0"
"Jun-22","1","0","1","1","1","2","16","31","61","87","124","0"
"Jun-23","1","0","0","1","2","5","14","24","60","88","128","0"
"Jun-24","0","0","0","1","1","8","7","25","49","84","127","1"
"Jun-25","2","0","0","1","0","2","15","41","58","73","117","2"
"Jun-26","0","0","0","1","0","1","10","20","46","91","127","0"
"Jun-27","0","0","0","1","2","5","14","20","52","87","118","0"
"Jun-28","1","0","0","2","1","3","9","23","33","80","114","0"
"Jun-29","1","0","0","0","1","3","15","30","41","101","119","1"
"Jun-30","0","1","0","0","3","4","12","28","59","85","97","0"
"Jul-01","0","0","0","0","1","6","24","27","39","68","118","0"
"Jul-02","0","0","0","2","1","9","12","20","45","89","129","0"
"Jul-03","1","0","0","1","2","5","16","32","46","82","117","0"
"Jul-04","0","0","0","0","4","7","8","22","37","86","102","0"
"Jul-05","0","0","0","3","4","2","9","30","37","98","118","0"
"Jul-06","1","0","0","1","2","1","13","21","41","83","139","0"
"Jul-07","2","0","0","0","3","3","15","19","42","91","143","0"
"Jul-08","1","0","0","2","4","4","15","19","43","87","158","1"
"Jul-09","1","0","1","2","2","7","4","28","49","90","152","0"
"Jul-10","0","0","0","0","1","3","14","35","43","96","142","0"
"Jul-11","0","1","1","1","1","3","12","24","43","83","128","0"
"Jul-12","0","0","3","1","1","5","8","25","48","109","120","0"
"Jul-13","0","0","0","2","4","7","13","26","43","99","143","1"
"Jul-14","0","0","0","2","0","7","14","33","48","117","180","0"
"Jul-15","0","0","0","0","1","1","16","25","43","87","144","0"
"Jul-16","0","1","0","0","3","4","16","28","41","117","188","1"
"Jul-17","0","0","0","3","1","8","12","36","51","107","157","0"
"Jul-18","1","1","0","1","4","2","10","25","53","111","202","1"
"Jul-19","0","1","0","4","0","7","13","26","49","130","181","0"
"Jul-20","1","0","0","0","2","5","19","27","52","122","154","0"
"Jul-21","2","0","0","3","2","8","9","29","40","96","182","0"
"Jul-22","1","0","0","2","0","5","12","24","44","101","175","0"
"Jul-23","1","1","0","1","0","3","11","24","51","109","149","1"
"Jul-24","2","0","0","3","1","6","18","20","50","103","147","1"
"Jul-25","1","0","1","0","1","3","15","21","42","100","136","0"
"Jul-26","1","0","1","1","0","2","10","21","42","83","140","0"
"Jul-27","0","0","0","2","3","3","23","25","46","97","132","0"
"Jul-28","0","0","0","2","3","5","9","22","46","99","133","0"
"Jul-29","0","0","0","2","2","4","13","20","51","89","131","0"
"Jul-30","3","0","0","2","1","6","10","30","45","100","149","0"
"Jul-31","0","1","0","0","2","8","12","19","43","88","151","0"
"Ago-01","0","0","1","0","1","6","15","29","52","83","126","0"
"Ago-02","0","0","0","0","0","7","7","27","47","72","109","0"
"Ago-03","0","0","1","0","1","4","11","32","49","87","127","0"
"Ago-04","0","0","0","0","0","6","13","21","39","66","145","0"
"Ago-05","1","1","0","2","0","3","13","25","51","83","124","0"
"Ago-06","2","0","0","2","0","3","9","22","45","102","132","0"
"Ago-07","1","0","0","2","1","2","15","19","41","75","136","0"
"Ago-08","1","0","0","3","1","2","15","24","37","101","123","0"
"Ago-09","3","0","0","0","1","8","9","18","40","76","114","0"
"Ago-10","0","0","0","2","0","4","7","19","47","97","113","0"
"Ago-11","1","0","0","1","0","2","20","31","43","87","117","1"
"Ago-12","0","0","0","0","1","4","9","30","53","76","115","0"
"Ago-13","1","0","0","2","1","4","11","26","37","73","108","0"
"Ago-14","0","0","1","0","0","5","14","18","34","79","109","0"
"Ago-15","1","0","1","1","0","5","10","21","49","83","115","0"
"Ago-16","1","1","0","1","1","9","4","19","36","73","105","0"
"Ago-17","0","0","1","0","2","3","6","35","38","70","117","0"
"Ago-18","2","0","0","0","3","3","10","26","35","74","139","0"
"Ago-19","1","0","0","0","2","5","14","26","35","77","126","0"
"Ago-20","0","0","0","1","1","5","22","22","47","94","118","0"
"Ago-21","1","0","0","2","2","4","8","25","38","86","114","0"
"Ago-22","2","0","1","2","4","3","10","27","41","70","129","0"
"Ago-23","0","0","1","0","4","1","14","16","52","78","120","1"
"Ago-24","0","0","1","2","3","3","10","25","45","74","128","0"
"Ago-25","0","0","0","0","2","4","11","24","59","81","121","0"
"Ago-26","0","0","1","1","4","2","7","25","52","84","129","0"
"Ago-27","0","1","0","1","1","5","16","23","49","83","124","0"
"Ago-28","2","0","0","1","3","4","13","24","39","96","131","0"
"Ago-29","0","1","0","0","2","5","12","24","38","77","119","0"
"Ago-30","0","0","0","2","1","6","9","34","36","71","124","0"
"Ago-31","0","0","0","0","3","1","15","21","41","90","86","0"
"Set-01","1","0","0","1","1","2","12","37","45","88","119","0"
"Set-02","1","0","0","2","0","3","10","17","42","103","99","0"
"Set-03","0","0","0","2","1","4","10","26","39","98","111","0"
"Set-04","1","0","0","0","5","7","6","28","51","96","136","0"
"Set-05","0","0","1","2","1","5","9","23","50","91","135","0"
"Set-06","1","1","0","0","1","0","8","21","43","75","141","0"
"Set-07","0","0","2","1","2","6","9","22","49","85","131","0"
"Set-08","1","0","0","0","0","4","13","37","40","84","130","1"
"Set-09","0","0","0","0","0","5","13","28","51","90","130","1"
"Set-10","1","1","0","0","3","6","16","23","46","96","133","0"
"Set-11","1","0","0","1","1","7","11","30","46","101","125","0"
"Set-12","1","0","0","1","2","4","14","28","47","89","136","0"
"Set-13","0","0","2","2","3","4","13","28","59","97","127","0"
"Set-14","0","0","0","0","0","3","16","19","37","89","144","0"
"Set-15","0","0","0","0","0","4","16","28","52","94","128","0"
"Set-16","0","0","1","2","1","6","15","30","49","99","151","0"
"Set-17","0","0","0","1","0","7","12","26","52","99","113","0"
"Set-18","0","1","0","2","1","0","7","22","44","79","127","0"
"Set-19","0","0","1","2","1","4","6","27","36","71","125","0"
"Set-20","0","0","0","0","3","5","11","25","44","79","113","0"
"Set-21","0","0","0","1","1","6","5","22","57","57","113","0"
"Set-22","0","0","0","0","1","6","17","23","49","70","92","0"
"Set-23","1","0","0","1","1","4","15","28","39","82","107","0"
"Set-24","2","1","1","1","0","6","9","26","32","90","115","0"
"Set-25","3","0","0","1","1","4","15","26","46","74","101","1"
"Set-26","1","0","0","0","1","2","7","22","43","67","127","0"
"Set-27","1","0","0","0","3","5","0","29","35","79","114","0"
"Set-28","1","0","1","0","1","1","17","28","43","105","124","0"
"Set-29","0","0","0","2","0","5","16","22","44","73","134","0"
"Set-30","0","0","0","1","1","4","15","26","44","104","130","0"
"Out-01","0","0","1","2","1","3","8","21","61","102","96","1"
"Out-02","1","1","0","0","0","3","14","16","47","97","131","0"
"Out-03","0","0","1","0","1","3","16","17","60","67","141","0"
"Out-04","1","0","0","0","1","4","18","27","39","88","117","0"
"Out-05","1","1","0","0","1","5","13","30","48","84","138","1"
"Out-06","1","0","0","0","1","6","12","29","47","91","137","0"
"Out-07","0","0","0","0","1","5","11","28","47","92","123","0"
"Out-08","1","0","0","2","2","7","9","27","45","101","132","0"
"Out-09","0","0","0","2","2","7","19","30","37","79","99","0"
"Out-10","0","2","0","2","3","3","15","29","48","63","137","0"
"Out-11","0","0","1","0","3","6","13","21","43","97","113","0"
"Out-12","1","0","0","1","1","2","16","27","52","87","134","0"
"Out-13","1","0","0","0","0","6","16","16","51","76","140","0"
"Out-14","2","0","0","2","4","4","16","29","50","80","126","0"
"Out-15","0","0","0","1","1","4","15","29","63","88","127","0"
"Out-16","0","0","0","2","2","8","21","24","41","86","126","0"
"Out-17","1","0","0","1","3","1","8","33","55","98","131","0"
"Out-18","2","0","0","1","5","2","7","26","42","98","126","0"
"Out-19","0","0","0","1","1","3","12","19","41","103","136","0"
"Out-20","1","0","1","0","2","3","11","24","62","100","126","0"
"Out-21","1","0","0","1","3","2","11","31","35","89","120","0"
"Out-22","0","0","0","1","2","2","14","28","53","92","143","0"
"Out-23","0","0","0","2","1","3","15","25","38","73","136","0"
"Out-24","1","0","0","2","3","1","11","25","39","87","133","0"
"Out-25","0","0","0","1","3","4","7","28","57","117","146","0"
"Out-26","0","0","0","2","1","2","13","30","40","89","135","0"
"Out-27","0","0","0","1","2","6","14","35","54","93","124","1"
"Out-28","2","0","0","1","1","6","9","26","54","100","147","0"
"Out-29","0","0","0","1","1","5","10","29","57","91","140","1"
"Out-30","0","0","0","1","1","3","9","29","46","112","162","0"
"Out-31","1","0","1","1","2","6","14","23","63","131","155","0"
"Nov-01","0","0","0","0","0","5","10","24","60","101","180","0"
"Nov-02","1","0","0","1","2","5","14","28","51","101","159","0"
"Nov-03","0","0","0","0","1","8","16","34","53","100","163","0"
"Nov-04","0","0","0","2","0","2","16","28","61","143","139","0"
"Nov-05","1","0","0","0","1","5","15","26","53","86","151","0"
"Nov-06","0","0","0","0","1","5","13","33","56","101","174","0"
"Nov-07","0","0","0","0","1","2","12","25","45","112","142","0"
"Nov-08","0","0","0","0","2","1","16","36","54","112","157","0"
"Nov-09","0","1","1","2","1","5","13","33","58","121","181","0"
"Nov-10","0","0","0","0","6","1","17","29","49","123","168","0"
"Nov-11","0","0","1","0","2","6","14","27","59","112","145","0"
"Nov-12","0","0","0","1","1","5","14","27","63","97","141","0"
"Nov-13","1","1","0","1","2","2","15","41","50","104","168","0"
"Nov-14","0","0","0","0","2","4","8","34","54","123","157","0"
"Nov-15","0","0","0","0","3","5","11","39","58","136","195","0"
"Nov-16","0","0","0","0","0","7","14","23","60","127","166","1"
"Nov-17","2","0","0","1","1","1","11","38","55","106","173","1"
"Nov-18","0","0","0","2","2","4","16","38","59","128","173","0"
"Nov-19","0","0","0","0","2","5","15","31","64","100","140","0"
"Nov-20","1","0","0","0","1","7","10","26","43","126","177","0"
"Nov-21","0","0","0","0","2","6","11","36","47","118","163","0"
"Nov-22","0","0","0","0","2","3","15","35","56","108","154","0"
"Nov-23","0","0","0","1","0","5","12","32","64","127","179","1"
"Nov-24","0","0","0","0","2","2","12","27","59","121","143","0"
"Nov-25","1","0","0","0","1","5","17","29","58","129","141","0"
"Nov-26","0","0","1","0","3","1","16","18","50","120","170","0"
"Nov-27","2","0","1","1","2","2","17","25","57","119","180","1"
"Nov-28","0","0","0","1","0","3","16","18","56","106","158","0"
"Nov-29","4","0","1","2","5","1","17","21","57","129","157","0"
"Nov-30","1","1","0","1","4","3","10","34","59","110","173","0"
"Dez-01","1","0","0","2","0","7","11","32","56","102","202","0"
"Dez-02","1","0","1","1","2","3","12","30","66","124","147","0"
"Dez-03","0","0","0","1","1","3","15","33","72","112","175","0"
"Dez-04","0","0","0","1","1","4","16","26","63","124","180","0"
"Dez-05","0","0","0","1","4","2","13","26","61","135","182","0"
"Dez-06","0","0","0","1","1","3","7","31","49","120","193","0"
"Dez-07","0","0","0","0","0","2","14","21","51","124","195","1"
"Dez-08","0","0","0","0","1","3","13","33","55","112","173","0"
"Dez-09","0","0","0","0","3","5","7","29","61","124","203","0"
"Dez-10","0","1","1","0","0","8","12","35","70","131","198","0"
"Dez-11","0","1","0","1","3","5","7","42","60","134","200","0"
"Dez-12","0","0","0","1","2","6","10","40","55","143","184","0"
"Dez-13","3","0","0","1","2","2","15","38","62","124","206","0"
"Dez-14","2","0","0","1","2","3","15","35","61","147","205","0"
"Dez-15","0","0","0","1","4","4","16","27","45","124","190","0"
"Dez-16","1","1","0","1","1","3","13","25","51","120","180","0"
"Dez-17","0","0","0","2","0","7","13","35","69","101","184","0"
"Dez-18","0","0","1","0","4","6","11","31","59","135","167","0"
"Dez-19","0","1","0","0","1","7","24","18","47","131","188","0"
"Dez-20","0","1","0","1","1","6","13","23","55","118","180","0"
"Dez-21","0","0","0","1","1","7","16","35","55","117","173","1"
"Dez-22","0","0","0","0","1","4","16","21","51","120","201","0"
"Dez-23","1","0","0","2","3","3","12","34","52","116","195","0"
"Dez-24","1","0","1","0","1","6","9","34","48","92","164","1"
"Dez-25","0","0","0","0","1","4","13","30","60","111","186","1"
"Dez-26","0","0","0","0","0","3","10","28","70","117","161","0"
"Dez-27","0","0","0","1","2","3","10","37","59","115","190","0"
"Dez-28","0","0","0","1","3","6","19","30","72","141","183","1"
"Dez-29","0","0","0","2","1","5","11","26","78","127","203","0"
"Dez-30","0","0","0","1","3","4","12","35","65","121","204","0"
"Dez-31","0","0","1","1","0","3","14","34","62","121","207","0"
