"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Jan-01","1","0","0","0","6","3","13","19","47","104","182","1"
"Jan-02","0","0","1","2","3","5","14","25","62","125","142","1"
"Jan-03","0","0","1","2","2","3","10","27","50","97","182","0"
"Jan-04","4","0","0","1","6","4","16","31","45","104","153","0"
"Jan-05","0","1","0","2","0","5","15","25","49","98","138","0"
"Jan-06","0","0","1","2","1","2","14","32","55","95","162","0"
"Jan-07","0","0","2","0","2","5","11","33","60","101","168","0"
"Jan-08","0","1","0","2","1","6","12","37","44","102","180","0"
"Jan-09","2","0","0","0","0","4","14","29","53","114","164","0"
"Jan-10","1","0","0","1","1","3","15","29","46","118","163","0"
"Jan-11","1","0","0","0","2","5","11","32","62","107","158","0"
"Jan-12","0","0","1","1","2","3","12","28","56","115","186","1"
"Jan-13","1","0","0","0","1","2","16","39","56","112","178","0"
"Jan-14","0","1","0","2","3","6","11","36","54","110","173","1"
"Jan-15","2","0","0","2","2","3","16","26","54","125","196","0"
"Jan-16","0","0","0","0","1","4","8","29","42","106","197","0"
"Jan-17","0","0","0","0","0","7","14","33","44","106","185","0"
"Jan-18","0","0","1","1","1","6","16","27","64","107","164","1"
"Jan-19","2","0","0","0","2","4","15","28","54","99","177","0"
"Jan-20","0","0","0","1","3","4","12","22","56","99","178","0"
"Jan-21","1","0","0","1","2","4","13","20","45","113","157","0"
"Jan-22","1","0","0","0","1","1","13","21","72","101","167","2"
"Jan-23","1","0","0","0","1","5","14","32","49","111","189","0"
"Jan-24","0","1","0","1","0","2","11","31","56","123","155","0"
"Jan-25","0","0","1","1","1","3","14","37","68","112","176","0"
"Jan-26","0","0","1","1","1","5","11","35","44","118","157","1"
"Jan-27","0","1","0","0","5","7","16","35","50","120","177","1"
"Jan-28","3","0","0","1","2","4","12","20","70","109","154","0"
"Jan-29","1","0","0","4","1","6","13","25","68","100","148","1"
"Jan-30","1","0","0","1","0","1","12","30","53","111","169","0"
"Jan-31","0","1","0","0","3","1","13","35","58","106","175","0"
"Fev-01","1","0","0","2","3","4","17","14","59","107","175","0"
"Fev-02","1","0","0","1","2","4","8","26","65","107","167","2"
"Fev-03","2","0","0","0","2","2","19","41","42","112","178","0"
"Fev-04","0","0","0","0","2","3","13","25","56","88","192","0"
"Fev-05","0","0","0","1","2","7","9","28","46","99","164","0"
"Fev-06","0","1","0","1","1","5","13","24","44","109","146","0"
"Fev-07","2","0","0","0","2","7","13","29","36","94","168","1"
"Fev-08","2","0","1","1","1","6","14","30","49","93","140","0"
"Fev-09","0","0","0","0","1","7","3","21","40","104","153","1"
"Fev-10","1","0","1","0","2","3","9","39","36","98","142","0"
"Fev-11","2","0","1","0","2","2","8","28","41","82","158","0"
"Fev-12","1","1","0","1","1","4","11","21","62","98","136","0"
"Fev-13","1","0","0","1","2","2","10","21","51","99","146","0"
"Fev-14","1","0","0","0","1","2","11","32","41","89","138","1"
"Fev-15","0","0","0","0","3","5","14","27","48","93","141","0"
"Fev-16","1","0","0","0","0","1","8","32","39","77","153","0"
"Fev-17","1","0","0","1","2","2","18","29","52","101","156","0"
"Fev-18","1","0","1","0","3","4","11","27","45","96","125","0"
"Fev-19","2","1","0","0","2","3","11","26","55","99","140","1"
"Fev-20","1","0","1","1","3","3","13","26","39","82","148","0"
"Fev-21","0","0","0","4","1","6","17","28","54","99","141","0"
"Fev-22","0","0","0","2","0","5","9","33","45","103","155","0"
"Fev-23","0","0","0","1","1","7","9","30","40","94","147","1"
"Fev-24","0","0","0","2","3","3","11","36","43","100","133","2"
"Fev-25","0","0","0","2","1","4","12","28","49","86","145","1"
"Fev-26","1","0","0","1","1","5","11","26","50","91","129","1"
"Fev-27","0","1","0","2","2","4","15","34","49","101","149","0"
"Fev-28","1","0","0","1","1","2","16","25","38","102","131","0"
"Fev-29","0","0","0","0","0","2","20","17","43","94","143","0"
"Mar-01","1","2","0","0","2","4","9","15","48","112","140","0"
"Mar-02","0","0","1","2","2","2","6","26","50","82","141","0"
"Mar-03","1","0","0","2","0","6","12","22","43","105","137","0"
"Mar-04","1","0","1","1","1","2","12","27","44","83","128","0"
"Mar-05","0","0","0","2","1","4","7","26","53","71","141","0"
"Mar-06","0","1","0","2","3","4","9","25","38","105","127","0"
"Mar-07","0","0","0","1","2","4","9","29","54","97","125","0"
"Mar-08","0","0","0","0","3","2","7","24","37","83","144","1"
"Mar-09","0","0","0","2","4","3","20","25","45","89","149","0"
