"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jun-30","215","4","25"
"Jul-01","210","4","27"
"Jul-02","220","1","23"
"Jul-03","252","7","29"
"Jul-04","258","4","26"
"Jul-05","233","2","29"
"Jul-06","220","5","27"
"Jul-07","230","2","28"
"Jul-08","204","3","21"
"Jul-09","208","4","21"
"Jul-10","235","3","12"
"Jul-11","205","7","21"
"Jul-12","213","9","25"
"Jul-13","275","6","18"
"Jul-14","228","8","21"
"Jul-15","243","3","23"
"Jul-16","223","6","31"
"Jul-17","244","3","30"
"Jul-18","231","6","16"
"Jul-19","248","4","23"
"Jul-20","233","4","22"
"Jul-21","208","3","22"
"Jul-22","211","3","27"
"Jul-23","230","5","21"
"Jul-24","242","3","19"
"Jul-25","222","2","24"
"Jul-26","242","3","25"
"Jul-27","228","7","18"
"Jul-28","219","5","21"
"Jul-29","232","4","28"
"Jul-30","244","5","19"
"Jul-31","235","2","21"
"Ago-01","193","4","19"
"Ago-02","228","6","26"
"Ago-03","227","2","35"
"Ago-04","245","6","26"
"Ago-05","224","6","21"
"Ago-06","219","4","19"
"Ago-07","227","8","26"
"Ago-08","210","7","24"
"Ago-09","204","5","19"
"Ago-10","210","3","28"
"Ago-11","221","2","21"
"Ago-12","220","3","21"
"Ago-13","254","11","23"
"Ago-14","245","7","27"
"Ago-15","210","5","31"
"Ago-16","230","3","25"
"Ago-17","216","4","19"
"Ago-18","250","4","19"
"Ago-19","222","3","21"
"Ago-20","228","4","26"
"Ago-21","265","7","27"
"Ago-22","279","9","27"
"Ago-23","242","4","26"
"Ago-24","269","1","17"
"Ago-25","261","6","20"
"Ago-26","236","9","25"
"Ago-27","210","6","28"
"Ago-28","222","7","17"
"Ago-29","236","4","8"
"Ago-30","230","6","14"
"Ago-31","222","5","18"
"Set-01","221","3","17"
"Set-02","217","3","19"
"Set-03","226","2","16"
"Set-04","270","7","24"
"Set-05","220","8","23"
"Set-06","189","2","19"
"Set-07","244","4","17"
"Set-08","231","6","28"
"Set-09","213","11","31"
"Set-10","211","7","26"
"Set-11","235","10","21"
"Set-12","238","7","24"
"Set-13","228","9","24"
"Set-14","248","7","16"
"Set-15","221","4","25"
"Set-16","235","2","18"
"Set-17","220","3","15"
"Set-18","210","8","28"
"Set-19","233","5","18"
"Set-20","216","6","24"
"Set-21","240","7","18"
"Set-22","216","7","32"
"Set-23","245","9","23"
"Set-24","232","5","18"
"Set-25","255","4","16"
"Set-26","235","9","19"
"Set-27","224","2","33"
"Set-28","248","5","27"
"Set-29","271","5","25"
"Set-30","254","1","27"
"Out-01","264","6","26"
"Out-02","269","4","27"
"Out-03","302","7","22"
"Out-04","263","8","15"
"Out-05","272","4","13"
"Out-06","241","7","17"
"Out-07","223","6","33"
"Out-08","244","2","16"
"Out-09","253","3","22"
"Out-10","261","6","21"
"Out-11","251","5","23"
"Out-12","265","8","33"
"Out-13","214","3","16"
"Out-14","231","3","14"
"Out-15","222","2","22"
"Out-16","286","5","56"
"Out-17","256","5","25"
"Out-18","274","2","24"
"Out-19","241","3","16"
"Out-20","270","4","25"
"Out-21","232","3","25"
"Out-22","251","2","20"
"Out-23","260","7","30"
"Out-24","231","2","24"
"Out-25","247","6","20"
"Out-26","226","5","18"
"Out-27","274","3","23"
"Out-28","247","3","20"
"Out-29","260","6","24"
"Out-30","240","6","30"
"Out-31","247","8","16"
"Nov-01","240","7","22"
"Nov-02","253","6","32"
"Nov-03","267","3","14"
"Nov-04","250","2","17"
"Nov-05","233","0","34"
"Nov-06","240","7","22"
"Nov-07","227","2","21"
"Nov-08","222","4","26"
"Nov-09","236","4","26"
"Nov-10","256","5","35"
"Nov-11","251","3","25"
"Nov-12","263","1","42"
"Nov-13","277","4","35"
"Nov-14","257","5","22"
"Nov-15","302","7","26"
"Nov-16","301","8","24"
"Nov-17","285","7","29"
"Nov-18","257","5","24"
"Nov-19","252","7","30"
"Nov-20","302","5","40"
"Nov-21","272","5","19"
"Nov-22","289","9","25"
"Nov-23","288","3","24"
"Nov-24","279","4","29"
"Nov-25","271","1","23"
"Nov-26","257","2","30"
"Nov-27","278","4","35"
"Nov-28","324","5","22"
"Nov-29","262","3","23"
"Nov-30","282","7","25"
"Dez-01","257","3","34"
"Dez-02","282","1","39"
"Dez-03","285","5","25"
"Dez-04","314","4","30"
"Dez-05","297","6","26"
"Dez-06","316","2","39"
"Dez-07","324","7","36"
"Dez-08","318","3","23"
"Dez-09","322","4","30"
"Dez-10","338","2","31"
"Dez-11","324","4","27"
"Dez-12","309","3","43"
"Dez-13","319","6","34"
"Dez-14","309","5","31"
"Dez-15","315","4","40"
"Dez-16","308","5","24"
"Dez-17","308","7","32"
"Dez-18","330","6","44"
"Dez-19","294","5","33"
"Dez-20","304","4","37"
"Dez-21","344","4","43"
"Dez-22","317","5","40"
"Dez-23","322","10","31"
"Dez-24","320","1","23"
"Dez-25","313","6","42"
"Dez-26","345","6","53"
"Dez-27","379","1","46"
"Dez-28","376","8","37"
"Dez-29","349","5","35"
"Dez-30","316","4","32"
"Dez-31","351","3","36"
