"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","432","5","38"
"Jan-02","512","7","59"
"Jan-03","429","6","44"
"Jan-04","440","11","50"
"Jan-05","442","8","43"
"Jan-06","417","7","37"
"Jan-07","392","4","25"
"Jan-08","412","4","28"
"Jan-09","399","1","41"
"Jan-10","436","6","28"
"Jan-11","390","6","27"
"Jan-12","400","6","39"
"Jan-13","396","6","40"
"Jan-14","348","4","32"
"Jan-15","346","2","20"
"Jan-16","351","9","34"
"Jan-17","378","5","30"
"Jan-18","360","4","28"
"Jan-19","384","2","38"
"Jan-20","384","4","34"
"Jan-21","392","4","34"
"Jan-22","372","2","40"
"Jan-23","419","5","40"
"Jan-24","441","5","39"
"Jan-25","352","3","27"
"Jan-26","399","4","38"
"Jan-27","406","3","35"
"Jan-28","361","6","30"
"Jan-29","348","7","34"
"Jan-30","368","5","34"
"Jan-31","367","7","34"
"Fev-01","375","3","33"
"Fev-02","354","2","29"
"Fev-03","348","3","26"
"Fev-04","340","8","38"
"Fev-05","335","7","26"
"Fev-06","313","7","25"
"Fev-07","323","5","23"
"Fev-08","293","7","22"
"Fev-09","296","1","31"
"Fev-10","334","4","29"
"Fev-11","343","5","34"
"Fev-12","337","1","32"
"Fev-13","334","3","31"
"Fev-14","281","4","19"
"Fev-15","302","3","32"
"Fev-16","296","3","26"
"Fev-17","293","6","31"
"Fev-18","332","3","24"
"Fev-19","318","7","28"
"Fev-20","303","9","34"
"Fev-21","294","6","29"
"Fev-22","259","5","24"
"Fev-23","306","2","27"
"Fev-24","319","3","22"
"Fev-25","284","2","26"
"Fev-26","270","2","20"
"Fev-27","272","2","30"
"Fev-28","296","4","29"
"Mar-01","266","5","30"
"Mar-02","266","4","20"
"Mar-03","286","3","22"
"Mar-04","273","5","18"
"Mar-05","269","5","34"
"Mar-06","282","6","24"
"Mar-07","262","4","28"
"Mar-08","287","6","23"
"Mar-09","289","4","28"
"Mar-10","297","3","24"
"Mar-11","254","3","30"
"Mar-12","264","7","25"
"Mar-13","251","2","20"
"Mar-14","285","5","14"
"Mar-15","279","2","26"
"Mar-16","311","3","29"
"Mar-17","285","8","30"
"Mar-18","284","3","24"
"Mar-19","268","6","23"
"Mar-20","285","1","24"
"Mar-21","284","2","29"
"Mar-22","271","6","15"
"Mar-23","252","8","29"
"Mar-24","253","3","32"
"Mar-25","259","4","20"
"Mar-26","272","7","26"
"Mar-27","266","4","27"
"Mar-28","283","6","29"
"Mar-29","256","7","22"
"Mar-30","249","2","25"
"Mar-31","272","6","25"
"Abr-01","247","8","19"
"Abr-02","234","1","29"
"Abr-03","269","6","26"
"Abr-04","296","6","32"
"Abr-05","263","5","18"
"Abr-06","275","7","18"
"Abr-07","277","3","14"
"Abr-08","255","1","20"
"Abr-09","267","3","20"
"Abr-10","286","2","29"
"Abr-11","283","2","22"
"Abr-12","278","6","31"
"Abr-13","243","4","15"
"Abr-14","265","2","28"
"Abr-15","252","5","19"
"Abr-16","245","8","20"
"Abr-17","262","7","39"
"Abr-18","229","5","17"
"Abr-19","221","9","24"
"Abr-20","237","3","25"
"Abr-21","229","4","11"
"Abr-22","226","5","20"
"Abr-23","246","5","11"
"Abr-24","260","3","27"
"Abr-25","265","8","24"
"Abr-26","210","7","23"
"Abr-27","239","3","17"
"Abr-28","269","9","24"
"Abr-29","232","6","20"
"Abr-30","240","4","16"
"Mai-01","287","4","29"
"Mai-02","227","7","17"
"Mai-03","271","4","26"
"Mai-04","272","3","19"
"Mai-05","274","5","22"
"Mai-06","243","3","25"
"Mai-07","259","7","23"
"Mai-08","229","5","24"
"Mai-09","253","8","24"
"Mai-10","230","5","28"
"Mai-11","237","3","24"
"Mai-12","232","2","21"
"Mai-13","236","3","27"
"Mai-14","229","4","30"
"Mai-15","226","4","34"
"Mai-16","243","4","31"
"Mai-17","233","7","21"
"Mai-18","241","7","16"
"Mai-19","229","5","13"
"Mai-20","260","6","17"
"Mai-21","225","8","21"
"Mai-22","247","4","35"
"Mai-23","257","4","23"
"Mai-24","248","9","21"
"Mai-25","237","3","30"
"Mai-26","253","5","21"
"Mai-27","261","3","23"
"Mai-28","214","6","25"
"Mai-29","277","6","21"
"Mai-30","230","7","23"
"Mai-31","245","7","13"
"Jun-01","241","6","19"
"Jun-02","221","4","15"
"Jun-03","235","5","17"
"Jun-04","213","5","14"
"Jun-05","239","9","19"
"Jun-06","234","3","19"
"Jun-07","217","6","21"
"Jun-08","243","6","24"
"Jun-09","233","5","21"
"Jun-10","233","4","16"
"Jun-11","251","5","22"
"Jun-12","239","5","31"
"Jun-13","241","4","34"
"Jun-14","235","10","30"
"Jun-15","230","2","17"
"Jun-16","214","3","33"
"Jun-17","237","5","32"
"Jun-18","283","11","85"
"Jun-19","326","5","35"
"Jun-20","301","4","30"
"Jun-21","301","3","18"
"Jun-22","286","7","26"
"Jun-23","250","8","29"
"Jun-24","223","3","21"
"Jun-25","242","2","25"
"Jun-26","257","4","19"
"Jun-27","239","4","18"
"Jun-28","237","3","18"
"Jun-29","231","6","20"
