"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","417","2","45"
"Jan-02","377","3","48"
"Jan-03","401","2","58"
"Jan-04","424","1","59"
"Jan-05","455","6","60"
"Jan-06","491","0","69"
"Jan-07","487","4","57"
"Jan-08","499","6","61"
"Jan-09","493","2","56"
"Jan-10","547","1","59"
"Jan-11","578","7","81"
"Jan-12","597","7","58"
"Jan-13","556","7","52"
"Jan-14","589","3","77"
"Jan-15","617","5","67"
"Jan-16","585","9","68"
"Jan-17","571","7","75"
"Jan-18","611","2","57"
"Jan-19","641","1","62"
"Jan-20","672","5","71"
"Jan-21","623","3","72"
"Jan-22","672","5","67"
"Jan-23","683","2","52"
"Jan-24","685","3","56"
"Jan-25","646","5","63"
"Jan-26","658","5","57"
"Jan-27","654","4","61"
"Jan-28","637","5","42"
"Jan-29","593","2","39"
"Jan-30","633","4","43"
"Jan-31","583","5","59"
"Fev-01","557","6","59"
"Fev-02","553","3","45"
"Fev-03","562","1","42"
"Fev-04","546","2","33"
"Fev-05","509","2","44"
"Fev-06","474","2","31"
"Fev-07","475","4","39"
"Fev-08","469","5","49"
"Fev-09","481","0","38"
"Fev-10","463","4","39"
"Fev-11","450","2","49"
"Fev-12","458","2","31"
"Fev-13","427","3","26"
"Fev-14","368","2","33"
"Fev-15","385","4","38"
"Fev-16","433","0","38"
"Fev-17","405","3","37"
"Fev-18","334","6","36"
"Fev-19","333","5","27"
"Fev-20","359","1","30"
"Fev-21","348","2","38"
"Fev-22","319","1","36"
"Fev-23","334","1","42"
"Fev-24","324","1","30"
"Fev-25","359","1","26"
"Fev-26","338","3","34"
"Fev-27","310","3","24"
"Fev-28","315","4","26"
"Mar-01","304","2","33"
"Mar-02","302","1","34"
"Mar-03","303","2","38"
"Mar-04","325","6","23"
"Mar-05","321","6","22"
"Mar-06","288","4","40"
"Mar-07","277","6","27"
"Mar-08","288","2","38"
"Mar-09","291","4","23"
"Mar-10","275","2","36"
"Mar-11","235","0","30"
"Mar-12","284","3","31"
"Mar-13","292","0","17"
"Mar-14","258","3","24"
"Mar-15","243","3","43"
"Mar-16","285","3","40"
"Mar-17","289","4","30"
"Mar-18","281","6","32"
"Mar-19","277","3","27"
"Mar-20","255","3","22"
"Mar-21","251","2","26"
"Mar-22","272","2","28"
"Mar-23","266","3","30"
"Mar-24","277","1","25"
"Mar-25","231","4","24"
"Mar-26","285","3","38"
"Mar-27","238","6","29"
"Mar-28","269","1","24"
"Mar-29","280","3","32"
"Mar-30","272","5","33"
"Mar-31","297","1","22"
"Abr-01","292","2","25"
"Abr-02","270","3","26"
"Abr-03","264","1","29"
"Abr-04","252","2","23"
"Abr-05","249","6","30"
"Abr-06","267","2","35"
"Abr-07","237","3","34"
"Abr-08","266","3","29"
"Abr-09","266","3","20"
"Abr-10","255","1","16"
"Abr-11","256","0","22"
"Abr-12","246","3","29"
"Abr-13","245","7","28"
"Abr-14","241","3","26"
"Abr-15","252","4","31"
"Abr-16","283","4","28"
"Abr-17","236","2","23"
"Abr-18","238","4","33"
"Abr-19","245","4","22"
"Abr-20","243","4","22"
"Abr-21","241","6","26"
"Abr-22","256","0","21"
"Abr-23","257","5","33"
"Abr-24","236","2","25"
"Abr-25","240","3","25"
"Abr-26","258","3","30"
"Abr-27","265","1","28"
"Abr-28","217","0","27"
"Abr-29","229","2","28"
"Abr-30","237","1","30"
"Mai-01","244","4","27"
"Mai-02","221","4","30"
"Mai-03","249","4","38"
"Mai-04","256","7","28"
"Mai-05","281","0","32"
"Mai-06","224","1","35"
"Mai-07","267","1","19"
"Mai-08","283","2","27"
"Mai-09","257","4","35"
"Mai-10","219","4","25"
"Mai-11","214","2","22"
"Mai-12","232","2","26"
"Mai-13","250","6","29"
"Mai-14","258","6","25"
"Mai-15","263","0","24"
"Mai-16","267","4","35"
"Mai-17","236","8","23"
"Mai-18","218","7","15"
"Mai-19","243","3","30"
"Mai-20","264","4","30"
