"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Mai-21","248","1","26"
"Mai-22","209","5","23"
"Mai-23","210","2","32"
"Mai-24","233","2","33"
"Mai-25","260","4","30"
"Mai-26","258","0","23"
"Mai-27","255","4","26"
"Mai-28","263","2","26"
"Mai-29","289","2","26"
"Mai-30","226","0","35"
"Mai-31","262","4","29"
"Jun-01","251","5","27"
"Jun-02","236","4","34"
"Jun-03","224","5","25"
"Jun-04","221","3","27"
"Jun-05","226","5","19"
"Jun-06","250","1","25"
"Jun-07","221","2","34"
"Jun-08","257","5","21"
"Jun-09","256","3","29"
"Jun-10","260","5","30"
"Jun-11","236","1","31"
"Jun-12","244","2","25"
"Jun-13","250","8","24"
"Jun-14","247","7","32"
"Jun-15","278","9","25"
"Jun-16","275","2","34"
"Jun-17","271","3","31"
"Jun-18","220","3","25"
"Jun-19","237","4","28"
"Jun-20","223","4","33"
"Jun-21","230","7","44"
"Jun-22","214","1","30"
"Jun-23","184","3","32"
"Jun-24","238","4","30"
"Jun-25","253","7","33"
"Jun-26","246","4","20"
"Jun-27","248","1","20"
"Jun-28","247","3","21"
"Jun-29","252","1","26"
"Jun-30","239","1","49"
"Jul-01","252","2","30"
"Jul-02","242","6","32"
"Jul-03","234","3","41"
"Jul-04","244","2","25"
"Jul-05","239","5","31"
"Jul-06","225","3","30"
"Jul-07","241","6","27"
"Jul-08","225","3","33"
"Jul-09","240","6","32"
"Jul-10","264","5","25"
"Jul-11","273","3","37"
"Jul-12","246","4","33"
"Jul-13","224","7","26"
"Jul-14","245","3","33"
"Jul-15","255","3","26"
"Jul-16","267","5","29"
"Jul-17","300","8","34"
"Jul-18","287","4","25"
"Jul-19","221","3","29"
"Jul-20","254","0","43"
"Jul-21","253","1","25"
"Jul-22","253","5","39"
"Jul-23","247","5","29"
"Jul-24","229","1","31"
"Jul-25","262","2","32"
"Jul-26","236","3","41"
"Jul-27","253","4","34"
"Jul-28","247","5","32"
"Jul-29","282","5","37"
"Jul-30","248","3","29"
"Jul-31","234","6","22"
"Ago-01","222","1","30"
"Ago-02","252","5","35"
"Ago-03","245","5","40"
"Ago-04","272","1","23"
"Ago-05","293","4","28"
"Ago-06","256","2","29"
"Ago-07","269","4","26"
"Ago-08","249","3","33"
"Ago-09","249","2","29"
"Ago-10","257","4","39"
"Ago-11","263","5","32"
"Ago-12","263","4","34"
"Ago-13","276","5","38"
"Ago-14","257","2","30"
"Ago-15","256","2","45"
"Ago-16","259","7","45"
"Ago-17","274","3","34"
"Ago-18","274","4","37"
"Ago-19","285","4","32"
"Ago-20","251","6","28"
"Ago-21","249","3","32"
"Ago-22","268","10","29"
"Ago-23","259","5","44"
"Ago-24","286","3","27"
"Ago-25","276","2","28"
"Ago-26","268","6","28"
"Ago-27","258","3","25"
"Ago-28","262","1","22"
"Ago-29","258","3","29"
"Ago-30","269","5","37"
"Ago-31","243","6","20"
"Set-01","245","3","34"
"Set-02","263","0","32"
"Set-03","276","3","34"
"Set-04","281","5","23"
"Set-05","263","2","40"
"Set-06","254","5","34"
"Set-07","234","5","31"
"Set-08","280","4","29"
"Set-09","264","3","23"
"Set-10","237","2","40"
"Set-11","240","5","28"
"Set-12","243","3","28"
"Set-13","252","6","32"
"Set-14","239","4","31"
"Set-15","255","2","36"
"Set-16","229","2","34"
"Set-17","251","4","26"
"Set-18","235","6","25"
"Set-19","229","4","22"
"Set-20","245","3","29"
"Set-21","247","1","37"
"Set-22","257","4","33"
"Set-23","276","1","22"
"Set-24","261","4","27"
"Set-25","264","1","41"
"Set-26","249","4","31"
"Set-27","245","1","33"
"Set-28","267","3","31"
"Set-29","226","1","31"
"Set-30","260","0","25"
"Out-01","269","4","32"
"Out-02","280","5","27"
"Out-03","239","4","31"
"Out-04","224","3","33"
"Out-05","272","5","37"
"Out-06","260","3","40"
"Out-07","278","4","28"
"Out-08","304","1","37"
"Out-09","260","4","42"
"Out-10","270","1","29"
"Out-11","260","2","23"
"Out-12","291","3","32"
"Out-13","251","4","42"
"Out-14","264","3","30"
"Out-15","273","3","32"
"Out-16","272","2","35"
"Out-17","270","2","47"
"Out-18","275","6","25"
"Out-19","257","6","32"
"Out-20","251","5","41"
"Out-21","265","4","27"
"Out-22","257","2","34"
"Out-23","240","5","24"
"Out-24","257","4","35"
"Out-25","250","4","40"
"Out-26","262","4","33"
"Out-27","237","2","45"
"Out-28","289","4","29"
"Out-29","285","6","38"
"Out-30","271","3","35"
"Out-31","302","4","33"
"Nov-01","281","6","22"
"Nov-02","273","2","34"
"Nov-03","284","5","38"
"Nov-04","271","5","35"
"Nov-05","241","2","48"
"Nov-06","274","4","27"
"Nov-07","250","3","45"
"Nov-08","276","3","52"
"Nov-09","302","4","35"
"Nov-10","321","4","38"
"Nov-11","307","7","33"
"Nov-12","292","5","36"
"Nov-13","339","2","39"
"Nov-14","282","6","38"
"Nov-15","298","0","52"
"Nov-16","318","8","30"
"Nov-17","278","5","45"
"Nov-18","309","4","44"
"Nov-19","310","0","30"
"Nov-20","312","5","40"
"Nov-21","336","6","40"
"Nov-22","328","3","39"
"Nov-23","287","4","45"
"Nov-24","319","3","44"
"Nov-25","329","2","46"
"Nov-26","312","4","48"
"Nov-27","329","2","42"
"Nov-28","323","8","57"
"Nov-29","356","4","41"
"Nov-30","344","2","56"
"Dez-01","329","2","37"
"Dez-02","338","2","46"
"Dez-03","347","3","45"
"Dez-04","370","4","45"
"Dez-05","327","2","43"
"Dez-06","350","1","42"
"Dez-07","364","4","53"
"Dez-08","318","2","46"
"Dez-09","309","4","49"
"Dez-10","331","1","55"
"Dez-11","311","2","36"
"Dez-12","308","3","44"
"Dez-13","332","3","38"
"Dez-14","312","4","42"
"Dez-15","316","3","41"
"Dez-16","311","3","34"
"Dez-17","317","4","43"
"Dez-18","329","3","34"
"Dez-19","302","3","32"
"Dez-20","343","6","57"
"Dez-21","317","4","52"
"Dez-22","343","1","38"
"Dez-23","314","6","40"
"Dez-24","300","2","33"
"Dez-25","316","4","44"
"Dez-26","337","3","37"
"Dez-27","328","0","38"
"Dez-28","320","0","45"
"Dez-29","342","1","34"
"Dez-30","303","1","45"
"Dez-31","306","5","35"
