"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Jan-01","333","5","37"
"Jan-02","329","10","55"
"Jan-03","354","7","38"
"Jan-04","299","2","26"
"Jan-05","327","2","30"
"Jan-06","318","8","34"
"Jan-07","334","6","26"
"Jan-08","311","5","20"
"Jan-09","296","7","34"
"Jan-10","295","6","25"
"Jan-11","329","3","25"
"Jan-12","305","8","19"
"Jan-13","308","8","37"
"Jan-14","345","2","32"
"Jan-15","306","3","29"
"Jan-16","250","7","29"
"Jan-17","290","8","30"
"Jan-18","299","5","24"
"Jan-19","301","6","26"
"Jan-20","289","9","47"
"Jan-21","287","7","35"
"Jan-22","325","10","20"
"Jan-23","279","2","26"
"Jan-24","308","6","24"
"Jan-25","323","6","18"
"Jan-26","291","4","26"
"Jan-27","341","4","27"
"Jan-28","310","7","22"
"Jan-29","298","5","26"
"Jan-30","304","9","22"
"Jan-31","331","3","30"
"Fev-01","300","5","27"
"Fev-02","307","6","33"
"Fev-03","298","6","32"
"Fev-04","302","5","27"
"Fev-05","308","7","20"
"Fev-06","318","8","40"
"Fev-07","304","4","28"
"Fev-08","294","7","25"
"Fev-09","287","2","27"
"Fev-10","339","7","35"
"Fev-11","316","2","30"
"Fev-12","301","5","27"
"Fev-13","327","12","30"
"Fev-14","336","8","32"
"Fev-15","318","4","24"
"Fev-16","279","4","25"
"Fev-17","296","6","34"
"Fev-18","277","3","35"
"Fev-19","291","8","31"
"Fev-20","311","1","28"
"Fev-21","292","4","35"
"Fev-22","307","3","25"
"Fev-23","277","5","32"
"Fev-24","318","10","25"
"Fev-25","317","5","21"
"Fev-26","295","4","33"
"Fev-27","339","8","27"
"Fev-28","280","7","22"
"Mar-01","303","2","28"
"Mar-02","289","7","38"
"Mar-03","270","11","37"
"Mar-04","259","4","19"
"Mar-05","266","6","22"
"Mar-06","299","9","23"
"Mar-07","280","8","27"
"Mar-08","298","6","30"
"Mar-09","282","7","21"
"Mar-10","257","10","32"
"Mar-11","287","5","26"
"Mar-12","283","6","27"
"Mar-13","290","4","33"
"Mar-14","286","3","28"
"Mar-15","260","4","27"
"Mar-16","276","5","15"
"Mar-17","270","7","27"
"Mar-18","273","7","22"
"Mar-19","263","6","19"
"Mar-20","306","8","23"
"Mar-21","251","1","29"
"Mar-22","257","7","23"
"Mar-23","228","5","24"
"Mar-24","253","5","29"
"Mar-25","287","6","19"
"Mar-26","234","3","24"
"Mar-27","255","6","25"
"Mar-28","258","4","26"
"Mar-29","261","5","22"
"Mar-30","259","4","28"
"Mar-31","267","3","20"
"Abr-01","302","5","23"
"Abr-02","304","6","30"
"Abr-03","294","6","31"
"Abr-04","239","1","19"
"Abr-05","269","2","23"
"Abr-06","291","3","21"
"Abr-07","269","6","28"
"Abr-08","283","8","28"
"Abr-09","271","5","18"
"Abr-10","267","9","17"
"Abr-11","262","10","19"
"Abr-12","267","4","16"
"Abr-13","243","7","25"
"Abr-14","277","9","20"
"Abr-15","273","9","21"
"Abr-16","281","6","30"
"Abr-17","282","9","24"
"Abr-18","245","3","19"
"Abr-19","266","2","21"
"Abr-20","223","9","18"
"Abr-21","248","7","25"
"Abr-22","248","7","18"
"Abr-23","242","5","21"
"Abr-24","256","7","24"
"Abr-25","203","7","23"
"Abr-26","253","4","13"
"Abr-27","268","15","28"
