"Data (mm-dd)","Morte natural","Causa externa","Sujeito a investigação"
"Abr-28","254","9","26"
"Abr-29","236","10","29"
"Abr-30","249","10","27"
"Mai-01","265","4","20"
"Mai-02","233","4","20"
"Mai-03","264","6","17"
"Mai-04","265","11","22"
"Mai-05","253","7","15"
"Mai-06","253","3","16"
"Mai-07","235","8","16"
"Mai-08","251","9","14"
"Mai-09","223","5","16"
"Mai-10","232","8","19"
"Mai-11","232","6","11"
"Mai-12","234","3","14"
"Mai-13","224","9","19"
"Mai-14","212","4","19"
"Mai-15","217","9","20"
"Mai-16","267","6","23"
"Mai-17","224","8","31"
"Mai-18","216","5","15"
"Mai-19","237","8","20"
"Mai-20","238","6","21"
"Mai-21","205","3","22"
"Mai-22","218","2","23"
"Mai-23","214","5","26"
"Mai-24","216","7","15"
"Mai-25","198","8","14"
"Mai-26","217","4","22"
"Mai-27","227","9","28"
"Mai-28","242","10","25"
"Mai-29","249","2","10"
"Mai-30","253","12","18"
"Mai-31","250","9","16"
"Jun-01","230","4","19"
"Jun-02","225","8","14"
"Jun-03","254","8","20"
"Jun-04","217","3","14"
"Jun-05","260","3","17"
"Jun-06","242","4","17"
"Jun-07","236","7","21"
"Jun-08","237","3","23"
"Jun-09","216","12","22"
"Jun-10","232","5","21"
"Jun-11","212","7","24"
"Jun-12","215","3","22"
"Jun-13","265","6","20"
"Jun-14","238","5","17"
"Jun-15","264","7","33"
"Jun-16","280","5","24"
"Jun-17","238","6","19"
"Jun-18","243","6","21"
"Jun-19","246","7","19"
"Jun-20","228","5","19"
"Jun-21","239","9","19"
"Jun-22","232","3","19"
"Jun-23","201","14","22"
"Jun-24","221","5","12"
"Jun-25","210","7","22"
"Jun-26","210","5","21"
"Jun-27","227","6","15"
"Jun-28","217","2","22"
"Jun-29","209","7","22"
"Jun-30","222","9","21"
"Jul-01","233","7","15"
"Jul-02","231","9","20"
"Jul-03","236","7","16"
"Jul-04","239","6","25"
"Jul-05","229","2","14"
"Jul-06","230","5","16"
"Jul-07","216","10","22"
"Jul-08","209","6","18"
"Jul-09","236","7","16"
"Jul-10","265","4","19"
"Jul-11","205","7","25"
"Jul-12","218","10","29"
"Jul-13","232","8","18"
"Jul-14","234","7","18"
"Jul-15","248","6","18"
"Jul-16","249","6","16"
"Jul-17","248","6","21"
"Jul-18","229","7","18"
"Jul-19","211","5","21"
"Jul-20","175","6","12"
"Jul-21","214","4","16"
"Jul-22","213","8","19"
"Jul-23","242","5","19"
"Jul-24","221","9","20"
"Jul-25","204","9","17"
"Jul-26","235","8","16"
"Jul-27","240","7","26"
"Jul-28","230","7","20"
"Jul-29","204","9","23"
"Jul-30","220","7","18"
"Jul-31","238","7","27"
"Ago-01","215","6","25"
"Ago-02","229","5","23"
"Ago-03","232","5","12"
"Ago-04","232","15","24"
"Ago-05","226","10","17"
"Ago-06","218","9","21"
"Ago-07","270","5","14"
"Ago-08","233","5","17"
"Ago-09","227","5","23"
"Ago-10","237","11","27"
"Ago-11","207","9","29"
"Ago-12","219","4","18"
"Ago-13","237","5","22"
"Ago-14","223","6","22"
"Ago-15","199","10","18"
"Ago-16","258","5","26"
"Ago-17","216","8","24"
"Ago-18","231","9","25"
"Ago-19","227","7","16"
"Ago-20","251","6","20"
"Ago-21","240","7","29"
"Ago-22","246","10","21"
"Ago-23","218","8","21"
"Ago-24","230","1","28"
"Ago-25","202","6","19"
"Ago-26","237","8","12"
"Ago-27","236","12","14"
"Ago-28","220","7","21"
"Ago-29","238","5","17"
"Ago-30","229","6","27"
"Ago-31","225","7","28"
"Set-01","253","6","21"
"Set-02","245","3","27"
"Set-03","246","8","19"
"Set-04","207","1","19"
"Set-05","236","2","26"
"Set-06","249","5","15"
"Set-07","260","8","29"
"Set-08","216","5","17"
"Set-09","238","6","16"
"Set-10","225","5","24"
"Set-11","237","2","25"
"Set-12","229","4","23"
"Set-13","215","10","17"
"Set-14","207","7","20"
"Set-15","228","6","28"
"Set-16","231","5","23"
"Set-17","222","6","17"
"Set-18","232","6","15"
"Set-19","216","6","23"
"Set-20","226","8","16"
"Set-21","185","5","21"
"Set-22","239","4","25"
"Set-23","253","9","22"
"Set-24","219","6","24"
"Set-25","231","4","24"
"Set-26","209","5","22"
"Set-27","249","4","22"
"Set-28","220","5","26"
"Set-29","225","7","18"
"Set-30","238","10","18"
"Out-01","247","5","21"
"Out-02","246","12","26"
"Out-03","231","6","18"
"Out-04","246","9","18"
"Out-05","233","4","18"
"Out-06","243","5","22"
"Out-07","245","7","31"
"Out-08","211","5","23"
"Out-09","238","3","27"
"Out-10","244","5","23"
"Out-11","215","5","14"
"Out-12","214","7","27"
"Out-13","236","4","22"
"Out-14","233","7","27"
"Out-15","246","3","24"
"Out-16","259","6","19"
"Out-17","272","9","18"
"Out-18","244","8","18"
"Out-19","250","4","12"
"Out-20","261","8","36"
"Out-21","249","9","30"
"Out-22","240","6","17"
"Out-23","238","7","18"
"Out-24","253","5","24"
"Out-25","256","11","27"
"Out-26","294","6","23"
"Out-27","236","10","30"
"Out-28","266","9","18"
"Out-29","255","8","17"
"Out-30","242","9","20"
"Out-31","241","6","19"
"Nov-01","248","4","18"
"Nov-02","238","6","18"
"Nov-03","261","7","12"
"Nov-04","237","3","22"
"Nov-05","229","5","22"
"Nov-06","240","5","21"
"Nov-07","262","4","17"
"Nov-08","241","2","30"
"Nov-09","258","5","20"
"Nov-10","243","4","27"
"Nov-11","288","7","25"
"Nov-12","253","9","18"
"Nov-13","267","6","17"
"Nov-14","275","4","26"
"Nov-15","246","7","21"
"Nov-16","216","2","23"
"Nov-17","268","4","23"
"Nov-18","288","3","21"
"Nov-19","250","4","22"
"Nov-20","249","6","24"
"Nov-21","250","4","16"
"Nov-22","291","6","30"
"Nov-23","273","5","12"
"Nov-24","258","4","19"
"Nov-25","255","6","22"
"Nov-26","279","4","21"
"Nov-27","252","5","25"
"Nov-28","306","4","17"
"Nov-29","284","5","23"
"Nov-30","261","4","21"
"Dez-01","307","7","18"
"Dez-02","306","8","20"
"Dez-03","259","9","25"
"Dez-04","277","5","24"
"Dez-05","276","6","25"
"Dez-06","273","7","27"
"Dez-07","290","6","29"
"Dez-08","297","9","26"
"Dez-09","320","13","39"
"Dez-10","298","7","24"
"Dez-11","302","10","29"
"Dez-12","294","8","27"
"Dez-13","302","2","27"
"Dez-14","301","3","30"
"Dez-15","271","7","35"
"Dez-16","312","8","32"
"Dez-17","287","3","26"
"Dez-18","280","6","25"
"Dez-19","315","9","31"
"Dez-20","287","6","29"
"Dez-21","301","6","22"
"Dez-22","330","2","30"
"Dez-23","329","8","24"
"Dez-24","346","4","34"
"Dez-25","344","4","27"
"Dez-26","348","4","41"
"Dez-27","293","9","29"
"Dez-28","331","5","22"
"Dez-29","331","6","37"
"Dez-30","319","8","31"
"Dez-31","327","7","48"
