"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Fev-17","5","0","2","1","2","2","11","23","52","97","182","0"
"Fev-18","2","0","0","0","0","3","9","19","47","100","173","0"
"Fev-19","1","0","1","1","3","0","14","30","51","108","184","0"
"Fev-20","0","0","0","1","0","2","7","28","66","98","173","0"
"Fev-21","0","1","2","1","1","2","13","31","55","104","170","0"
"Fev-22","0","0","0","0","2","11","15","34","48","91","176","0"
"Fev-23","0","0","0","1","2","8","16","36","50","105","157","0"
"Fev-24","1","1","0","0","2","4","9","28","61","119","146","0"
"Fev-25","1","0","1","3","2","5","15","27","45","86","138","0"
"Fev-26","0","0","0","0","0","5","7","26","41","100","159","0"
"Fev-27","1","1","0","2","3","2","15","21","65","101","152","1"
"Fev-28","1","0","0","0","1","6","10","32","53","96","151","0"
"Mar-01","0","0","0","1","1","6","11","24","62","88","178","0"
"Mar-02","2","0","0","2","2","2","20","29","55","97","157","0"
"Mar-03","1","1","0","2","3","4","16","24","54","104","191","0"
"Mar-04","0","0","0","4","2","1","14","22","56","85","157","0"
"Mar-05","2","1","0","2","0","4","13","25","37","95","201","0"
"Mar-06","0","0","0","0","0","1","8","36","54","108","146","0"
"Mar-07","2","0","1","1","1","4","14","28","51","98","184","0"
"Mar-08","0","0","0","0","0","3","15","31","64","112","164","0"
"Mar-09","0","0","0","1","0","3","13","31","55","94","156","0"
"Mar-10","2","0","0","0","1","3","12","31","53","98","168","0"
"Mar-11","1","0","0","0","1","4","9","29","40","99","194","0"
"Mar-12","1","0","0","1","1","2","5","23","45","95","160","0"
"Mar-13","1","0","0","2","2","3","12","23","51","88","178","1"
"Mar-14","0","0","1","0","1","1","14","22","40","80","149","0"
"Mar-15","0","0","0","1","2","3","10","21","51","96","142","0"
"Mar-16","1","0","0","0","2","10","11","31","48","103","141","0"
"Mar-17","0","0","0","0","1","3","9","34","51","94","158","0"
"Mar-18","1","0","1","2","2","7","11","28","51","86","143","0"
"Mar-19","1","1","0","0","0","4","10","24","62","72","145","0"
"Mar-20","1","0","0","3","1","3","10","19","53","87","149","0"
"Mar-21","0","0","0","0","0","2","7","31","56","76","147","0"
"Mar-22","0","0","0","1","2","1","11","22","56","81","139","0"
"Mar-23","1","1","0","0","1","0","9","21","48","80","163","0"
"Mar-24","0","0","0","0","2","1","10","25","40","93","122","0"
"Mar-25","0","0","0","0","0","2","6","13","35","82","151","0"
"Mar-26","0","0","0","0","1","4","8","11","42","70","130","0"
"Mar-27","0","0","0","0","0","2","3","10","12","33","64","0"
