"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Jan-01","1","0","0","0","4","4","21","24","58","128","181","0"
"Jan-02","0","0","0","1","1","4","10","24","52","108","172","1"
"Jan-03","1","0","0","1","2","3","15","29","52","117","176","0"
"Jan-04","0","0","0","2","3","2","14","27","51","88","181","0"
"Jan-05","0","1","0","1","0","2","12","30","51","122","182","0"
"Jan-06","1","1","0","1","1","3","18","31","71","96","166","0"
"Jan-07","1","1","0","1","2","3","11","40","45","117","217","1"
"Jan-08","2","0","0","0","0","4","15","21","64","104","188","0"
"Jan-09","0","0","1","0","2","3","13","33","39","106","180","0"
"Jan-10","0","0","1","1","1","5","17","27","57","105","184","0"
"Jan-11","0","0","1","0","4","3","7","31","45","112","186","0"
"Jan-12","1","0","0","1","2","3","14","22","56","102","168","0"
"Jan-13","0","0","0","0","1","3","16","33","44","111","161","1"
"Jan-14","0","0","1","0","2","5","11","29","47","94","168","0"
"Jan-15","0","0","0","0","1","3","11","23","56","98","154","0"
"Jan-16","0","0","0","2","2","2","19","33","53","90","160","1"
"Jan-17","1","0","0","1","3","5","10","24","64","96","197","1"
"Jan-18","0","1","0","1","1","5","14","29","73","108","151","0"
"Jan-19","1","0","0","0","1","7","15","34","61","105","190","0"
"Jan-20","0","1","0","0","2","3","12","25","73","115","172","0"
"Jan-21","0","1","0","2","4","6","16","24","47","97","185","0"
"Jan-22","1","0","0","0","2","5","13","27","53","96","166","0"
"Jan-23","1","0","0","2","1","3","11","21","59","98","173","0"
"Jan-24","0","0","1","0","1","4","7","27","56","107","171","0"
"Jan-25","0","0","0","3","2","4","14","24","46","72","160","0"
"Jan-26","0","1","0","1","1","4","16","26","59","93","183","0"
"Jan-27","2","0","0","2","7","4","8","26","56","111","174","0"
"Jan-28","0","0","0","2","3","7","7","28","60","103","169","0"
"Jan-29","0","0","0","0","2","5","16","29","49","103","209","0"
"Jan-30","1","0","1","3","2","4","14","28","43","114","185","0"
"Jan-31","0","0","3","1","2","4","13","36","53","110","188","0"
"Fev-01","1","1","0","1","1","5","15","32","62","112","203","0"
"Fev-02","0","0","0","0","1","7","12","29","59","99","187","0"
"Fev-03","0","0","0","1","0","4","13","27","61","105","182","0"
"Fev-04","0","0","1","1","2","3","15","25","47","89","207","1"
"Fev-05","0","0","0","2","1","6","8","25","61","125","190","0"
"Fev-06","0","1","0","0","1","1","7","31","62","93","194","0"
"Fev-07","0","0","0","0","2","4","11","27","63","88","207","0"
"Fev-08","1","0","0","1","3","4","6","29","63","91","185","1"
"Fev-09","1","0","0","0","0","2","13","33","49","113","197","0"
"Fev-10","1","0","1","1","0","4","9","26","47","120","210","0"
"Fev-11","1","0","0","1","3","3","14","28","67","115","205","0"
"Fev-12","0","0","1","0","2","6","10","31","57","112","203","0"
"Fev-13","1","1","0","1","2","2","10","24","58","108","202","0"
"Fev-14","0","0","0","0","2","3","13","29","54","106","189","0"
"Fev-15","0","1","0","0","0","4","12","37","59","95","181","0"
"Fev-16","2","0","0","2","0","3","11","19","52","112","196","0"
