Timestamp," Edificio: Corrente A","Edificio: Corrente B","Edificio: Corrente C","Edificio: Potencia","Edificio: Tensao A","Edificio: Tensao B","Edificio: Tensao C","Edificio: ENERGY_COST","Edificio: Cost of Energy","Cost of Energy"
"31/05/2022 23:00:00",8.78,12.50,15.41,8.53,239.42,239.96,237.86,0.63,26174.91,373092.00
"31/05/2022 23:30:00",8.01,14.54,9.92,7.74,238.56,239.00,237.19,0.57,26175.21,373096.78
"01/06/2022 00:00:00",7.22,12.77,10.73,7.02,238.95,239.26,237.28,0.52,26175.50,373101.25
"01/06/2022 00:30:00",12.82,7.72,10.72,7.15,240.01,240.56,238.81,0.53,26175.78,373105.47
"01/06/2022 01:00:00",7.20,9.45,11.04,6.68,239.77,240.39,238.34,0.43,26176.07,373109.56
"01/06/2022 01:30:00",6.90,9.61,12.93,7.05,239.87,240.02,238.42,0.46,26176.32,373113.09
"01/06/2022 02:00:00",6.60,9.14,10.94,5.94,239.59,239.85,238.10,0.38,26176.55,373116.94
"01/06/2022 02:30:00",8.00,17.00,12.51,8.58,239.69,240.17,238.52,0.56,26176.79,373120.53
"01/06/2022 03:00:00",6.67,8.83,10.23,5.78,239.67,240.30,238.61,0.37,26177.04,373124.19
"01/06/2022 03:30:00",16.17,8.12,11.02,7.78,238.17,238.97,237.47,0.50,26177.28,373128.34
"01/06/2022 04:00:00",14.75,15.25,15.40,7.82,238.51,239.04,237.65,0.51,26177.54,373132.06
"01/06/2022 04:30:00",10.59,11.98,22.65,10.25,237.94,238.36,236.59,0.66,26177.82,373136.28
"01/06/2022 05:00:00",9.43,13.53,12.79,8.23,237.75,238.36,236.89,0.60,26178.13,373140.91
"01/06/2022 05:30:00",10.62,16.13,11.93,8.83,238.92,239.40,237.91,0.65,26178.46,373145.91
"01/06/2022 06:00:00",12.08,14.90,12.15,9.60,237.73,238.32,236.76,1.07,26178.82,373150.69
"01/06/2022 06:30:00",16.53,13.18,10.22,9.64,237.52,238.07,236.34,1.08,26179.36,373157.34
"01/06/2022 07:00:00",8.75,16.70,10.20,8.88,235.41,235.79,234.24,0.99,26179.81,373164.66
"01/06/2022 07:30:00",9.58,11.96,12.74,7.81,236.14,236.72,235.49,0.87,26180.32,373172.03
"01/06/2022 08:00:00",12.85,13.95,21.81,10.47,238.32,238.60,236.94,1.17,26180.91,373180.44
"01/06/2022 08:30:00",17.28,19.38,21.59,15.07,237.73,238.28,236.89,1.95,26181.72,373193.63
"01/06/2022 09:00:00",21.98,26.82,25.03,17.90,236.94,237.65,236.28,2.31,26182.86,373207.91
"01/06/2022 09:30:00",32.13,26.61,27.51,18.91,237.20,237.63,236.57,2.44,26184.09,373223.25
"01/06/2022 10:00:00",24.06,33.15,25.05,18.83,235.64,236.24,235.33,2.43,26185.28,373238.38
"01/06/2022 10:30:00",35.17,33.87,22.49,21.28,234.51,235.46,234.84,2.75,26186.61,373253.47
"01/06/2022 11:00:00",38.58,37.81,37.56,26.65,235.04,235.75,234.86,3.44,26188.14,373266.44
"01/06/2022 11:30:00",26.16,36.15,19.71,18.98,234.77,235.32,234.42,2.12,26189.44,373276.94
"01/06/2022 12:00:00",21.97,20.08,17.22,13.70,234.82,236.31,234.96,1.53,26190.33,373285.91
