Timestamp,"Corrente A","Corrente B","Corrente C","Potencia","Tensao A","Tensao B","Tensao C","energy cost 1","energy cost 2","energy cost 3"
"01/01/2019 00:00:00",7.53,20.12,16.42,9.88,236.79,237.79,236.99,,,
"01/01/2019 00:30:00",8.44,22.66,12.26,9.62,237.03,238.08,237.00,,,
"01/01/2019 01:00:00",6.81,18.94,10.58,8.05,237.42,238.34,237.22,,,
"01/01/2019 01:30:00",6.68,15.61,9.85,6.79,238.16,239.26,237.93,,,
"01/01/2019 02:00:00",18.05,14.33,10.24,6.56,238.80,239.76,238.57,,,
"01/01/2019 02:30:00",10.02,19.79,8.87,8.08,240.56,241.32,239.65,,,
"01/01/2019 03:00:00",10.03,13.97,9.41,7.35,239.04,239.85,238.24,,,
"01/01/2019 03:30:00",6.93,16.30,17.63,7.10,239.42,240.34,238.53,,,
"01/01/2019 04:00:00",7.03,15.82,10.53,7.15,239.76,240.57,238.99,,,
"01/01/2019 04:30:00",6.18,14.42,9.16,6.26,240.32,241.28,239.39,,,
"01/01/2019 05:00:00",8.10,15.08,9.99,7.11,239.93,240.79,239.10,,,
"01/01/2019 05:30:00",6.75,17.87,7.68,7.34,240.17,241.22,239.45,,,
"01/01/2019 06:00:00",17.01,13.54,10.08,9.26,240.10,241.20,239.67,,,
"01/01/2019 06:30:00",6.67,20.65,12.23,8.46,240.22,241.19,239.66,,,
"01/01/2019 07:00:00",6.83,14.80,9.23,6.59,240.21,241.24,239.98,,,
"01/01/2019 07:30:00",9.06,21.14,9.95,8.41,239.49,240.36,239.03,,,
"01/01/2019 08:00:00",7.87,15.30,13.87,8.16,240.65,241.89,240.49,,,
"01/01/2019 08:30:00",7.40,14.43,12.34,7.63,240.51,241.38,239.94,,,
"01/01/2019 09:00:00",14.37,18.53,6.19,9.05,239.66,240.65,239.27,,,
"01/01/2019 09:30:00",18.54,13.86,5.72,7.83,239.31,240.13,238.97,,,
"01/01/2019 10:00:00",14.19,20.98,7.56,8.63,238.18,239.42,238.15,,,
"01/01/2019 10:30:00",5.52,18.80,4.52,6.05,237.52,238.28,237.37,,,
"01/01/2019 11:00:00",9.08,19.50,5.47,7.16,236.79,237.55,236.53,,,
"01/01/2019 11:30:00",7.78,14.01,8.06,5.05,236.63,237.48,236.29,,,
"01/01/2019 12:00:00",14.28,17.69,4.79,8.07,235.90,236.76,235.70,,,
"01/01/2019 12:30:00",6.85,17.38,9.10,6.61,235.72,236.50,235.53,,,
"01/01/2019 13:00:00",20.17,7.22,5.28,7.27,235.70,236.85,235.82,,,
"01/01/2019 13:30:00",8.02,13.42,6.05,5.56,236.13,236.77,235.89,,,
"01/01/2019 14:00:00",13.85,13.07,5.30,6.80,236.50,237.40,236.38,,,
"01/01/2019 14:30:00",8.40,17.39,5.19,6.28,237.17,237.87,236.77,,,
