Timestamp,"Corrente A","Corrente B","Corrente C","Potencia","Tensao A","Tensao B","Tensao C","energy cost 1","energy cost 2","energy cost 3"
"31/08/2021 23:00:00",6.85,6.29,9.30,4.84,238.02,239.82,237.46,0.35,19754.25,276874.78
"31/08/2021 23:30:00",9.30,8.70,8.50,5.78,237.39,238.83,236.81,0.42,19754.48,276878.25
"01/09/2021 00:00:00",8.35,7.02,9.96,5.54,236.32,237.84,235.85,0.41,19754.70,276881.63
"01/09/2021 00:30:00",6.83,8.44,10.13,5.61,237.76,239.19,236.92,0.41,19754.92,276884.91
"01/09/2021 01:00:00",8.52,13.13,8.38,6.18,238.10,239.55,237.60,0.40,19755.16,276888.28
"01/09/2021 01:30:00",6.74,8.71,8.50,5.33,238.77,240.08,237.89,0.35,19755.35,276891.19
"01/09/2021 02:00:00",9.14,6.54,9.32,5.46,237.17,238.58,236.84,0.35,19755.56,276894.13
"01/09/2021 02:30:00",6.24,7.54,9.88,5.16,237.84,239.23,237.40,0.33,19755.75,276897.00
"01/09/2021 03:00:00",5.62,5.35,10.40,4.33,238.19,239.67,237.62,0.28,19755.93,276899.88
"01/09/2021 03:30:00",8.07,8.43,18.21,7.74,237.86,239.08,237.07,0.50,19756.14,276902.78
"01/09/2021 04:00:00",6.42,9.53,8.59,5.35,237.77,238.93,237.10,0.35,19756.37,276905.69
"01/09/2021 04:30:00",9.58,9.52,9.26,6.26,236.67,237.84,236.45,0.41,19756.56,276908.63
"01/09/2021 05:00:00",9.22,9.27,10.72,6.60,236.89,237.66,236.42,0.48,19756.80,276911.94
"01/09/2021 05:30:00",8.17,8.81,9.83,5.87,234.81,235.78,234.73,0.43,19757.07,276915.91
"01/09/2021 06:00:00",10.52,9.83,13.51,6.76,235.37,236.44,234.99,0.75,19757.38,276920.03
"01/09/2021 06:30:00",8.66,8.43,12.27,6.49,233.14,234.50,232.99,0.72,19757.86,276926.06
"01/09/2021 07:00:00",8.80,10.55,13.78,7.27,234.82,235.75,234.56,0.81,19758.26,276931.75
"01/09/2021 07:30:00",10.81,9.67,11.97,7.30,233.42,234.36,233.32,0.81,19758.71,276938.16
"01/09/2021 08:00:00",18.58,11.44,20.97,11.86,234.91,235.51,233.68,1.32,19759.19,276945.50
"01/09/2021 08:30:00",19.22,11.22,13.87,10.20,235.52,236.43,234.67,1.32,19759.80,276955.13
"01/09/2021 09:00:00",13.17,9.32,14.16,8.36,237.77,238.03,236.55,1.08,19760.43,276968.09
"01/09/2021 09:30:00",16.22,12.54,15.94,10.45,237.43,237.80,236.49,1.35,19761.08,276981.81
"01/09/2021 10:00:00",16.91,13.32,16.41,10.83,238.02,238.52,237.03,1.40,19761.85,276995.34
"01/09/2021 10:30:00",15.57,11.56,18.75,10.62,238.71,239.02,237.90,1.37,19762.60,277008.00
"01/09/2021 11:00:00",16.72,13.86,13.75,10.30,238.03,238.44,237.02,1.33,19763.36,277019.59
"01/09/2021 11:30:00",18.63,13.51,15.11,12.41,237.67,238.34,236.79,1.38,19764.12,277030.84
"01/09/2021 12:00:00",21.12,17.48,17.97,13.41,238.48,239.47,237.88,1.49,19764.92,277040.16
"01/09/2021 12:30:00",12.74,15.35,20.33,11.18,238.70,239.31,237.68,1.25,19765.58,277049.59
"01/09/2021 13:00:00",16.09,15.15,14.38,10.71,238.83,239.62,237.88,1.19,19766.25,277058.56
"01/09/2021 13:30:00",11.09,13.66,13.76,8.82,238.61,239.34,237.79,0.98,19766.83,277068.16
"01/09/2021 14:00:00",23.76,14.25,12.80,11.74,237.20,237.89,236.45,1.31,19767.45,277079.25
"01/09/2021 14:30:00",15.70,12.98,12.25,8.91,233.80,234.33,232.55,0.99,19768.00,277090.25
"01/09/2021 15:00:00",8.98,9.24,12.36,6.88,235.70,236.28,234.39,0.77,19768.54,277099.72
"01/09/2021 15:30:00",15.93,29.33,12.91,13.63,235.32,236.00,234.46,1.52,19769.06,277109.09
"01/09/2021 16:00:00",11.90,11.30,14.72,8.50,236.70,237.64,235.82,0.95,19769.63,277119.78
"01/09/2021 16:30:00",10.58,16.27,12.69,8.94,237.63,238.43,236.55,1.00,19770.18,277128.72
"01/09/2021 17:00:00",10.69,11.31,11.56,7.76,238.04,238.59,236.94,0.87,19770.69,277136.22
"01/09/2021 17:30:00",9.35,11.36,12.46,7.59,238.00,239.00,236.97,0.85,19771.18,277142.22
"01/09/2021 18:00:00",9.51,9.52,11.70,6.79,236.47,237.39,235.48,0.76,19771.65,277147.56
"01/09/2021 18:30:00",8.39,17.12,12.44,8.51,236.08,237.30,235.04,0.95,19772.04,277152.56
"01/09/2021 19:00:00",6.73,9.70,20.72,8.29,235.65,236.40,234.62,0.92,19772.46,277157.53
"01/09/2021 19:30:00",7.50,10.49,10.27,9.05,235.48,236.29,234.67,1.01,19772.85,277162.88
"01/09/2021 20:00:00",10.11,11.63,11.76,7.50,237.69,238.58,236.66,0.84,19773.27,277168.38
"01/09/2021 20:30:00",6.59,8.50,8.70,5.26,237.25,238.05,236.06,0.59,19773.64,277173.81
"01/09/2021 21:00:00",7.68,7.27,9.68,5.24,238.33,239.29,237.17,0.58,19773.98,277179.16
"01/09/2021 21:30:00",7.03,12.25,17.25,8.33,238.23,239.64,237.47,0.93,19774.35,277184.59
"01/09/2021 22:00:00",7.69,7.43,10.55,5.70,239.91,241.22,239.20,0.64,19774.75,277189.97
