Timestamp,"Corrente A","Corrente B","Corrente C","Potencia","Tensao A","Tensao B","Tensao C","energy cost 1","energy cost 2","energy cost 3"
"30/04/2019 23:00:00",7.60,13.68,11.27,7.03,236.94,238.38,236.03,,,
"30/04/2019 23:30:00",24.00,14.99,13.93,11.47,236.35,237.83,235.66,,,
"01/05/2019 00:00:00",7.91,14.92,15.70,9.95,238.12,239.53,236.99,,,
"01/05/2019 00:30:00",8.45,21.03,19.89,10.87,238.07,239.18,236.80,,,
"01/05/2019 01:00:00",16.66,16.84,10.61,9.40,238.49,239.85,237.47,,,
"01/05/2019 01:30:00",8.78,28.89,10.97,11.19,237.42,238.87,236.49,,,
"01/05/2019 02:00:00",7.31,13.13,19.41,8.96,238.56,240.02,237.62,,,
"01/05/2019 02:30:00",8.57,14.01,13.35,7.58,239.68,240.94,238.87,,,
"01/05/2019 03:00:00",12.45,21.89,19.08,11.53,238.63,240.20,237.78,,,
"01/05/2019 03:30:00",9.86,28.29,14.63,11.71,239.49,241.03,238.63,,,
"01/05/2019 04:00:00",9.16,15.06,12.06,7.60,238.75,240.13,238.13,,,
"01/05/2019 04:30:00",8.58,17.54,10.21,8.49,238.66,239.98,238.05,,,
"01/05/2019 05:00:00",7.86,12.58,16.91,8.30,238.75,240.12,238.11,,,
"01/05/2019 05:30:00",8.86,15.81,11.82,7.64,237.90,239.08,237.11,,,
"01/05/2019 06:00:00",9.41,16.38,14.90,8.74,238.25,239.68,237.70,,,
"01/05/2019 06:30:00",8.90,14.35,8.34,6.32,238.35,239.55,237.85,,,
"01/05/2019 07:00:00",11.53,18.46,16.78,9.89,237.55,238.33,236.71,,,
"01/05/2019 07:30:00",8.01,13.24,12.03,6.23,235.85,236.70,235.05,,,
"01/05/2019 08:00:00",11.20,12.34,20.60,8.86,234.32,235.66,233.46,,,
"01/05/2019 08:30:00",15.38,19.64,7.82,9.37,237.43,238.60,236.71,,,
"01/05/2019 09:00:00",15.79,18.52,8.47,6.91,236.62,237.33,235.27,,,
"01/05/2019 09:30:00",5.50,13.01,7.34,4.73,237.83,238.49,236.71,,,
"01/05/2019 10:00:00",9.63,13.23,11.70,7.01,237.31,238.45,236.25,,,
"01/05/2019 10:30:00",10.48,12.94,9.84,6.69,237.63,238.71,236.71,,,
"01/05/2019 11:00:00",11.03,11.37,11.10,7.28,238.05,239.18,237.27,,,
"01/05/2019 11:30:00",5.07,22.67,8.55,7.42,237.88,238.43,236.48,,,
"01/05/2019 12:00:00",10.37,12.80,12.18,7.31,237.89,238.76,236.17,,,
"01/05/2019 12:30:00",9.40,24.85,8.25,8.76,238.55,239.52,237.59,,,
"01/05/2019 13:00:00",6.18,16.43,7.66,7.67,239.37,240.37,238.07,,,
"01/05/2019 13:30:00",13.61,12.40,21.10,10.17,238.62,240.11,237.54,,,
"01/05/2019 14:00:00",5.03,15.13,12.72,7.16,238.59,240.06,237.33,,,
