Timestamp,"Corrente A","Corrente B","Corrente C","Potencia","Tensao A","Tensao B","Tensao C","energy cost 1","energy cost 2","energy cost 3"
"31/08/2019 23:00:00",6.04,7.34,7.81,4.43,240.77,241.98,239.97,0.33,2073.68,
"31/08/2019 23:30:00",7.80,9.54,9.13,5.90,239.93,241.17,238.94,0.43,2073.97,
"01/09/2019 00:00:00",8.02,9.15,9.61,6.07,238.50,239.78,237.43,0.45,2074.25,
"01/09/2019 00:30:00",12.16,19.24,14.92,9.90,238.52,239.84,237.36,0.73,2074.55,
"01/09/2019 01:00:00",6.64,9.51,8.62,5.38,239.13,240.41,237.57,0.35,2074.87,
"01/09/2019 01:30:00",6.27,15.06,6.66,6.48,240.69,241.60,238.90,0.42,2075.12,
"01/09/2019 02:00:00",7.27,7.12,4.72,4.10,241.10,242.11,239.56,0.27,2075.35,
"01/09/2019 02:30:00",6.95,8.71,8.80,5.45,238.93,239.78,237.32,0.35,2075.59,
"01/09/2019 03:00:00",6.35,9.39,7.59,5.13,237.33,238.23,235.53,0.33,2075.86,
"01/09/2019 03:30:00",13.88,15.44,16.15,9.77,236.05,237.19,234.39,0.63,2076.14,
"01/09/2019 04:00:00",6.49,10.21,8.19,5.50,238.09,239.27,236.51,0.36,2076.37,
"01/09/2019 04:30:00",9.65,14.95,8.60,7.49,237.48,238.94,236.16,0.48,2076.61,
"01/09/2019 05:00:00",12.07,13.29,12.85,8.11,237.12,238.71,235.87,0.60,2076.86,
"01/09/2019 05:30:00",7.87,14.52,7.67,6.85,236.92,238.52,235.48,0.50,2077.11,
"01/09/2019 06:00:00",18.19,28.53,22.11,13.70,239.48,240.73,238.09,1.01,2077.44,
"01/09/2019 06:30:00",7.35,8.20,10.34,5.44,238.98,240.06,237.52,0.40,2077.72,
"01/09/2019 07:00:00",9.44,7.83,14.82,7.08,238.21,238.91,236.81,0.52,2077.98,
"01/09/2019 07:30:00",12.74,14.14,16.14,8.44,237.00,238.05,235.81,0.62,2078.21,
"01/09/2019 08:00:00",6.69,5.94,11.58,4.42,234.78,235.83,233.76,0.32,2078.43,
"01/09/2019 08:30:00",9.43,6.96,5.68,4.40,236.85,237.40,235.36,0.32,2078.63,
"01/09/2019 09:00:00",21.01,13.63,13.42,9.88,237.07,237.99,235.77,0.73,2078.89,
"01/09/2019 09:30:00",8.68,7.87,6.36,4.30,236.34,237.15,234.92,0.32,2079.08,
"01/09/2019 10:00:00",4.95,15.06,4.81,5.11,235.66,236.08,234.33,0.37,2079.29,
"01/09/2019 10:30:00",14.52,12.86,12.29,8.96,235.10,235.71,233.65,0.66,2079.48,
"01/09/2019 11:00:00",6.68,5.42,4.84,2.89,235.41,235.85,233.86,0.21,2079.68,
"01/09/2019 11:30:00",9.42,11.62,12.93,6.01,234.57,235.20,233.11,0.44,2079.86,
"01/09/2019 12:00:00",5.00,5.80,5.30,3.02,237.58,238.05,236.17,0.22,2080.12,
"01/09/2019 12:30:00",4.84,6.65,3.90,2.67,238.64,239.70,237.22,0.20,2080.32,
"01/09/2019 13:00:00",16.38,6.97,7.41,6.54,240.24,240.90,238.84,0.48,2080.52,
"01/09/2019 13:30:00",11.17,14.42,15.46,7.80,239.05,239.89,237.56,0.57,2080.75,
"01/09/2019 14:00:00",4.98,5.97,6.34,3.01,239.45,240.22,238.12,0.22,2080.98,
"01/09/2019 14:30:00",17.79,20.18,22.45,11.28,240.29,241.41,239.30,0.83,2081.21,
"01/09/2019 15:00:00",9.28,7.64,7.48,4.98,241.05,241.92,240.13,0.37,2081.48,
"01/09/2019 15:30:00",9.72,9.58,7.80,5.43,237.40,238.24,236.19,0.40,2081.74,
"01/09/2019 16:00:00",7.25,9.87,7.34,5.20,238.94,239.75,237.71,0.38,2082.01,
"01/09/2019 16:30:00",13.74,22.36,15.60,10.75,237.71,238.56,236.58,0.79,2082.29,
"01/09/2019 17:00:00",9.97,13.36,7.72,6.86,239.32,240.08,237.90,0.50,2082.58,
"01/09/2019 17:30:00",19.08,25.89,22.91,13.39,238.49,239.09,236.93,0.98,2082.92,
"01/09/2019 18:00:00",15.77,9.02,16.33,9.24,235.98,236.92,234.82,0.68,2083.23,
"01/09/2019 18:30:00",12.53,15.51,17.41,9.25,235.76,237.58,234.86,0.68,2083.51,
"01/09/2019 19:00:00",14.16,14.97,21.26,10.90,234.84,236.36,234.00,0.80,2083.81,
"01/09/2019 19:30:00",11.67,15.86,8.62,8.32,239.11,239.90,237.28,0.61,2084.10,
"01/09/2019 20:00:00",12.96,18.49,21.25,11.70,236.06,236.81,234.20,0.86,2084.40,
"01/09/2019 20:30:00",8.13,9.91,9.85,5.87,240.82,241.91,239.05,0.43,2084.73,
"01/09/2019 21:00:00",8.29,16.68,6.42,7.08,239.12,240.26,237.65,0.52,2085.02,
"01/09/2019 21:30:00",6.43,9.48,8.69,5.42,239.91,241.18,238.54,0.40,2085.30,
"01/09/2019 22:00:00",6.72,14.97,8.91,6.74,235.80,236.82,234.09,0.49,2085.56,
"01/09/2019 22:30:00",8.03,8.32,7.49,5.27,237.99,239.25,236.91,0.39,2085.83,
"01/09/2019 23:00:00",11.54,16.99,11.49,8.69,237.53,238.59,236.23,0.64,2086.15,
"01/09/2019 23:30:00",13.85,16.03,17.95,9.75,236.54,237.85,235.12,0.72,2086.42,
"02/09/2019 00:00:00",9.56,8.89,6.99,5.50,237.64,238.86,236.21,0.40,2086.68,
"02/09/2019 00:30:00",16.49,9.38,8.49,7.75,238.26,239.53,237.17,0.57,2086.95,
"02/09/2019 01:00:00",16.23,16.35,15.08,9.88,239.65,240.53,238.23,0.64,2087.24,
"02/09/2019 01:30:00",10.96,13.41,14.29,7.79,239.07,240.32,238.01,0.50,2087.47,
"02/09/2019 02:00:00",15.47,13.33,14.52,9.07,238.89,239.76,237.66,0.59,2087.76,
"02/09/2019 02:30:00",7.09,9.18,9.64,5.70,239.37,240.35,237.99,0.37,2087.97,
"02/09/2019 03:00:00",10.89,9.71,8.13,6.07,239.76,240.51,238.11,0.39,2088.22,
"02/09/2019 03:30:00",12.41,22.17,16.85,11.03,239.86,240.61,238.50,0.71,2088.47,
"02/09/2019 04:00:00",21.75,16.52,14.72,11.51,237.77,238.55,236.58,0.74,2088.72,
