Timestamp," Edificio: Corrente A","Edificio: Corrente B","Edificio: Corrente C","Edificio: Potencia","Edificio: Tensao A","Edificio: Tensao B","Edificio: Tensao C","Edificio: ENERGY_COST","Edificio: Cost of Energy","Cost of Energy"
"01/02/2022 00:00:00",14.06,10.38,11.39,7.70,236.95,238.10,236.49,0.57,23274.83,330323.16
"01/02/2022 00:30:00",6.35,10.10,7.06,5.40,237.43,238.51,236.95,0.40,23275.08,330328.22
"01/02/2022 01:00:00",11.75,5.85,7.77,5.82,237.55,238.56,236.68,0.43,23275.34,330333.22
"01/02/2022 01:30:00",6.53,10.12,7.40,5.10,237.92,238.62,237.05,0.37,23275.54,330337.81
"01/02/2022 02:00:00",5.88,6.54,7.44,4.44,238.39,239.21,237.23,0.29,23275.73,330342.56
"01/02/2022 02:30:00",23.72,5.94,9.80,6.50,239.33,240.24,238.20,0.42,23275.96,330346.75
"01/02/2022 03:00:00",10.01,12.77,8.27,9.05,238.87,239.55,237.67,0.59,23276.14,330350.91
"01/02/2022 03:30:00",11.11,7.04,11.92,6.01,239.20,239.87,238.14,0.39,23276.33,330355.06
"01/02/2022 04:00:00",6.32,10.70,13.26,9.13,239.53,240.28,238.61,0.59,23276.55,330359.28
"01/02/2022 04:30:00",5.56,5.01,6.46,3.43,239.42,240.26,238.36,0.22,23276.72,330363.31
"01/02/2022 05:00:00",19.73,6.80,8.41,6.26,238.73,239.47,237.62,0.40,23276.92,330367.53
"01/02/2022 05:30:00",14.34,12.43,9.78,8.63,239.17,239.97,238.06,0.56,23277.20,330371.84
"01/02/2022 06:00:00",18.79,9.83,8.48,5.90,237.73,238.41,236.43,0.43,23277.43,330376.56
"01/02/2022 06:30:00",18.92,10.83,8.70,6.03,235.74,236.28,234.70,0.44,23277.74,330382.31
"01/02/2022 07:00:00",19.49,20.94,12.25,12.27,236.79,237.25,235.78,1.37,23278.11,330388.00
"01/02/2022 07:30:00",19.18,9.28,10.10,8.71,235.83,236.50,234.53,0.97,23278.68,330396.56
"01/02/2022 08:00:00",8.62,14.27,10.29,7.62,236.75,237.13,236.03,0.85,23279.12,330405.19
"01/02/2022 08:30:00",12.78,13.82,12.43,8.94,236.62,237.35,235.50,1.00,23279.55,330415.59
"01/02/2022 09:00:00",10.92,25.97,18.34,11.18,236.47,237.20,235.89,1.25,23280.23,330426.63
"01/02/2022 09:30:00",19.30,20.31,18.03,13.25,235.57,235.89,234.81,1.71,23280.98,330439.84
"01/02/2022 10:00:00",18.26,20.61,19.39,12.70,235.36,235.56,233.70,1.64,23282.08,330455.06
"01/02/2022 10:30:00",16.43,35.13,12.52,14.58,234.20,234.70,233.00,1.88,23283.09,330468.97
"01/02/2022 11:00:00",13.87,65.51,23.48,24.91,238.82,238.89,237.11,3.22,23284.32,330482.72
"01/02/2022 11:30:00",20.08,46.74,14.09,19.68,238.56,238.86,237.11,2.54,23285.67,330496.78
"01/02/2022 12:00:00",14.40,40.01,20.72,17.98,238.65,238.58,236.73,2.00,23286.89,330510.63
"01/02/2022 12:30:00",25.98,55.18,18.57,24.20,239.29,239.08,237.64,2.70,23288.00,330521.75
"01/02/2022 13:00:00",16.83,25.19,12.20,12.65,239.75,240.34,238.55,1.41,23289.09,330532.50
"01/02/2022 13:30:00",28.72,26.54,18.86,17.88,239.77,240.30,238.31,1.99,23289.89,330542.72
"01/02/2022 14:00:00",25.56,37.74,29.89,22.00,239.58,239.82,237.75,2.45,23290.94,330553.22
"01/02/2022 14:30:00",29.00,49.94,23.25,24.28,239.47,239.66,238.03,2.71,23292.10,330563.91
"01/02/2022 15:00:00",29.23,27.97,21.18,19.19,238.74,239.40,237.54,2.14,23293.46,330575.06
"01/02/2022 15:30:00",34.00,33.13,23.35,21.29,239.14,239.37,237.85,2.37,23294.63,330587.22
"01/02/2022 16:00:00",28.91,42.61,15.63,20.97,240.22,240.64,239.10,2.34,23295.80,330600.16
"01/02/2022 16:30:00",30.80,20.45,25.53,18.08,238.29,239.11,237.34,2.02,23296.91,330614.13
"01/02/2022 17:00:00",14.59,17.08,21.64,12.41,237.02,237.64,236.08,1.38,23297.76,330628.09
"01/02/2022 17:30:00",14.76,18.82,19.88,12.11,233.58,233.81,232.24,1.35,23298.51,330642.81
"01/02/2022 18:00:00",22.58,13.21,12.89,8.57,236.21,237.15,235.90,0.96,23299.04,330657.16
"01/02/2022 18:30:00",14.33,14.09,13.18,9.69,235.95,236.41,235.50,1.25,23299.63,330672.69
"01/02/2022 19:00:00",8.37,19.50,10.62,9.02,235.95,236.35,235.85,1.17,23300.19,330689.16
"01/02/2022 19:30:00",21.48,8.74,16.08,10.61,236.12,236.65,235.53,1.37,23300.73,330704.63
"01/02/2022 20:00:00",15.72,10.38,18.45,10.81,235.99,236.75,234.96,1.40,23301.27,330719.84
"01/02/2022 20:30:00",15.12,15.25,10.70,9.60,236.98,237.78,236.30,1.24,23301.86,330734.38
"01/02/2022 21:00:00",8.06,8.32,9.95,5.64,238.38,239.03,237.26,0.63,23302.39,330748.41
"01/02/2022 21:30:00",7.93,8.35,14.68,7.07,237.52,238.24,236.07,0.79,23302.79,330759.44
"01/02/2022 22:00:00",13.46,17.24,8.19,9.05,238.29,239.43,237.32,1.01,23303.23,330769.16
"01/02/2022 22:30:00",12.68,9.36,15.41,8.74,239.33,240.05,238.29,0.97,23303.60,330777.34
"01/02/2022 23:00:00",11.60,7.79,8.79,6.41,240.57,240.92,238.82,0.71,23303.96,330785.50
"01/02/2022 23:30:00",13.06,7.86,15.69,8.71,241.57,242.15,240.34,0.97,23304.44,330793.63
"02/02/2022 00:00:00",6.27,14.70,12.38,7.72,239.97,240.05,238.08,0.57,23304.81,330801.50
"02/02/2022 00:30:00",9.87,8.88,7.68,6.16,239.03,239.53,237.72,0.45,23305.02,330806.34
"02/02/2022 01:00:00",11.76,8.71,7.97,6.65,239.00,239.41,238.04,0.49,23305.28,330811.03
"02/02/2022 01:30:00",11.99,11.62,6.37,6.87,239.94,240.39,238.85,0.50,23305.49,330815.56
"02/02/2022 02:00:00",5.90,6.88,8.59,4.73,239.93,240.43,238.57,0.31,23305.70,330820.09
"02/02/2022 02:30:00",25.34,6.07,7.70,6.37,239.88,240.69,238.82,0.41,23305.96,330824.13
"02/02/2022 03:00:00",5.47,11.35,13.82,6.95,240.72,241.27,239.27,0.45,23306.14,330828.09
"02/02/2022 03:30:00",10.02,5.45,7.36,6.19,238.16,238.86,237.06,0.40,23306.31,330832.13
"02/02/2022 04:00:00",12.42,10.25,7.00,6.88,238.32,238.87,236.87,0.44,23306.53,330836.19
"02/02/2022 04:30:00",14.78,4.82,12.48,6.66,238.47,238.99,236.73,0.43,23306.71,330840.16
"02/02/2022 05:00:00",12.58,7.04,8.45,6.33,238.40,238.74,236.86,0.41,23306.90,330844.22
"02/02/2022 05:30:00",7.75,8.72,9.22,6.04,237.74,238.07,236.29,0.39,23307.15,330848.28
"02/02/2022 06:00:00",8.00,8.43,16.89,7.39,237.61,237.79,235.73,0.54,23307.38,330852.78
"02/02/2022 06:30:00",13.24,11.12,14.21,8.89,236.15,236.77,234.65,0.65,23307.67,330858.16
"02/02/2022 07:00:00",9.92,23.76,9.62,10.52,236.08,236.26,234.33,1.17,23308.01,330863.69
"02/02/2022 07:30:00",13.84,8.27,19.23,9.33,235.73,236.28,233.89,1.04,23308.46,330871.69
"02/02/2022 08:00:00",13.77,8.56,11.93,7.77,234.72,235.66,233.24,0.87,23308.95,330880.25
"02/02/2022 08:30:00",11.31,12.39,10.44,8.15,233.85,234.86,232.93,0.91,23309.45,330889.78
"02/02/2022 09:00:00",14.93,11.05,11.94,9.00,237.22,237.64,235.52,1.00,23309.94,330900.69
"02/02/2022 09:30:00",11.82,8.99,15.80,8.26,238.90,239.05,237.12,1.07,23310.51,330913.94
"02/02/2022 10:00:00",10.46,15.30,18.97,10.18,237.96,238.11,235.63,1.31,23311.11,330929.66
"02/02/2022 10:30:00",34.75,21.65,19.69,17.80,237.29,237.76,235.57,2.30,23312.01,330944.56
"02/02/2022 11:00:00",23.64,16.05,17.86,13.18,237.56,237.79,235.55,1.70,23312.97,330958.38
"02/02/2022 11:30:00",23.30,19.65,23.49,14.73,236.89,236.99,234.78,1.90,23313.92,330971.66
"02/02/2022 12:00:00",24.56,16.23,14.63,12.75,236.41,236.93,234.87,1.42,23315.00,330985.03
"02/02/2022 12:30:00",16.23,18.54,11.82,10.76,237.88,237.97,235.89,1.20,23315.96,330996.25
"02/02/2022 13:00:00",12.08,19.33,17.05,11.80,238.87,239.18,236.50,1.32,23316.59,331006.44
"02/02/2022 13:30:00",46.92,13.11,12.25,16.96,239.35,239.80,237.32,1.89,23317.22,331016.50
"02/02/2022 14:00:00",16.50,18.72,17.46,12.95,238.60,238.96,236.39,1.44,23317.92,331026.00
"02/02/2022 14:30:00",31.14,43.42,23.42,22.41,238.24,238.02,235.56,2.50,23318.95,331036.38
"02/02/2022 15:00:00",25.95,37.36,28.50,20.99,238.63,238.35,236.32,2.34,23320.09,331048.28
"02/02/2022 15:30:00",21.21,24.41,21.81,15.64,237.27,237.16,234.98,1.74,23321.20,331061.06
"02/02/2022 16:00:00",21.67,28.41,19.35,16.24,238.89,238.58,236.06,1.81,23322.20,331074.00
"02/02/2022 16:30:00",28.35,30.22,23.05,19.16,237.83,238.08,236.03,2.14,23323.22,331086.53
"02/02/2022 17:00:00",23.06,22.18,22.27,15.73,239.28,239.49,237.20,1.75,23324.29,331099.81
"02/02/2022 17:30:00",16.85,20.23,18.58,14.41,239.30,239.74,237.38,1.61,23325.16,331114.09
"02/02/2022 18:00:00",19.44,14.63,12.22,10.94,237.10,237.38,235.58,1.22,23325.90,331127.19
"02/02/2022 18:30:00",11.73,17.02,10.95,8.95,236.60,237.14,235.03,1.16,23326.50,331141.91
"02/02/2022 19:00:00",16.67,14.92,15.34,10.92,235.94,236.35,234.34,1.41,23327.11,331158.44
"02/02/2022 19:30:00",17.65,14.26,10.74,10.36,235.54,236.28,234.42,1.34,23327.79,331174.22
"02/02/2022 20:00:00",12.45,13.46,11.36,8.70,237.32,237.90,235.67,1.12,23328.41,331189.56
"02/02/2022 20:30:00",11.59,9.42,13.65,7.56,238.42,238.85,237.01,0.98,23329.06,331204.38
"02/02/2022 21:00:00",11.46,9.33,11.66,7.57,239.83,240.26,238.01,0.84,23329.62,331218.47
"02/02/2022 21:30:00",18.28,15.59,10.47,10.50,240.10,240.38,238.21,1.17,23330.14,331229.47
"02/02/2022 22:00:00",11.24,9.88,15.12,8.46,238.71,238.86,236.74,0.94,23330.66,331239.88
"02/02/2022 22:30:00",15.87,5.31,6.60,6.34,239.68,240.32,237.68,0.71,23331.08,331249.09
"02/02/2022 23:00:00",9.43,12.62,9.30,7.20,237.88,238.55,236.12,0.80,23331.56,331257.88
"02/02/2022 23:30:00",9.73,11.33,15.31,8.57,239.64,240.04,237.84,0.96,23331.95,331266.31
"03/02/2022 00:00:00",16.03,14.37,12.73,10.18,237.86,238.49,236.23,0.75,23332.39,331274.16
"03/02/2022 00:30:00",8.67,4.90,7.26,4.63,237.06,237.69,235.15,0.34,23332.66,331278.53
"03/02/2022 01:00:00",8.16,9.42,6.69,5.42,238.21,238.43,236.10,0.40,23332.90,331283.16
"03/02/2022 01:30:00",21.40,5.44,6.39,7.56,238.34,238.67,236.66,0.55,23333.18,331288.00
"03/02/2022 02:00:00",13.66,6.91,16.19,8.52,237.80,238.40,235.80,0.55,23333.46,331292.75
"03/02/2022 02:30:00",8.33,9.48,6.96,5.70,238.45,238.51,236.30,0.37,23333.69,331296.53
"03/02/2022 03:00:00",14.86,14.50,7.06,9.03,238.78,239.01,236.59,0.58,23333.94,331300.72
"03/02/2022 03:30:00",14.47,8.26,8.02,6.99,238.64,238.95,236.54,0.45,23334.18,331304.72
"03/02/2022 04:00:00",8.41,10.02,12.61,7.82,238.73,239.25,237.05,0.51,23334.40,331308.81
"03/02/2022 04:30:00",14.49,13.38,7.60,8.13,238.57,238.98,236.54,0.53,23334.61,331312.88
"03/02/2022 05:00:00",25.66,10.49,7.66,8.04,241.26,241.64,239.56,0.52,23334.88,331317.06
"03/02/2022 05:30:00",10.25,7.92,7.96,6.54,238.65,239.32,237.41,0.42,23335.16,331321.38
"03/02/2022 06:00:00",10.50,13.01,17.04,9.36,237.53,238.11,236.24,0.69,23335.43,331326.13
"03/02/2022 06:30:00",17.45,12.32,9.51,9.05,235.10,235.67,233.75,0.66,23335.75,331331.88
"03/02/2022 07:00:00",16.69,13.39,12.72,9.86,235.60,236.21,234.34,1.10,23336.19,331337.88
"03/02/2022 07:30:00",16.76,12.74,9.87,8.95,234.88,235.65,233.60,1.00,23336.68,331346.38
"03/02/2022 08:00:00",10.65,8.85,9.60,6.70,234.49,234.63,232.80,0.75,23337.16,331355.31
"03/02/2022 08:30:00",10.19,11.37,9.14,7.05,237.65,238.41,235.84,0.79,23337.70,331365.38
"03/02/2022 09:00:00",17.75,33.89,16.59,15.92,237.91,237.87,235.61,1.77,23338.43,331375.38
"03/02/2022 09:30:00",22.37,39.04,14.52,17.77,237.80,237.79,235.03,2.30,23339.36,331389.47
"03/02/2022 10:00:00",18.90,29.47,16.90,15.23,237.32,237.72,234.97,1.97,23340.41,331407.84
"03/02/2022 10:30:00",22.69,28.61,12.11,14.83,240.59,240.74,238.28,1.92,23341.49,331424.59
"03/02/2022 11:00:00",22.82,33.97,17.57,17.49,237.85,237.91,235.37,2.26,23342.58,331443.28
"03/02/2022 11:30:00",38.15,35.61,22.83,22.39,239.67,239.81,237.65,2.89,23343.81,331461.78
"03/02/2022 12:00:00",35.95,33.27,18.12,20.82,241.19,241.06,238.90,2.32,23345.02,331477.31
"03/02/2022 12:30:00",25.61,27.68,18.79,19.45,236.75,237.03,234.80,2.17,23346.02,331489.34
"03/02/2022 13:00:00",20.68,49.61,10.00,18.78,237.19,236.85,234.95,2.09,23347.00,331499.88
"03/02/2022 13:30:00",27.38,26.70,14.66,17.71,237.64,237.84,236.05,1.97,23347.92,331511.00
"03/02/2022 14:00:00",19.82,29.65,14.03,14.83,236.85,236.70,234.38,1.65,23348.79,331522.25
"03/02/2022 14:30:00",26.72,24.97,20.00,15.75,235.15,235.36,232.89,1.76,23349.72,331532.81
"03/02/2022 15:00:00",30.12,33.26,16.26,18.68,236.93,236.90,234.52,2.08,23350.71,331544.66
"03/02/2022 15:30:00",22.96,17.73,19.93,14.79,236.23,235.54,233.49,1.65,23351.65,331556.56
"03/02/2022 16:00:00",23.10,15.63,17.65,12.92,237.30,237.45,234.80,1.44,23352.48,331568.22
"03/02/2022 16:30:00",31.32,18.99,17.38,16.37,238.23,238.34,236.38,1.83,23353.32,331580.84
"03/02/2022 17:00:00",19.26,19.51,19.88,13.89,239.71,239.78,237.60,1.55,23354.19,331594.09
"03/02/2022 17:30:00",16.73,14.73,21.60,13.27,236.37,236.76,234.83,1.48,23355.02,331607.16
"03/02/2022 18:00:00",15.51,25.82,17.51,13.11,234.54,234.63,233.04,1.46,23355.72,331620.53
"03/02/2022 18:30:00",11.41,16.72,21.52,11.48,237.22,237.47,235.75,1.48,23356.44,331634.09
"03/02/2022 19:00:00",15.56,17.67,11.79,10.24,235.81,236.12,234.47,1.32,23357.24,331649.72
"03/02/2022 19:30:00",20.90,23.22,12.52,13.29,239.70,239.49,237.49,1.72,23358.06,331665.00
"03/02/2022 20:00:00",12.98,20.19,15.07,11.36,239.31,239.20,236.94,1.47,23358.83,331680.00
"03/02/2022 20:30:00",19.70,17.05,20.25,13.45,240.01,240.56,238.27,1.74,23359.66,331694.78
"03/02/2022 21:00:00",12.63,25.97,16.06,12.95,238.74,238.97,236.75,1.44,23360.40,331708.47
"03/02/2022 21:30:00",18.24,11.43,14.82,10.51,239.81,240.08,237.55,1.17,23360.95,331719.63
"03/02/2022 22:00:00",11.31,11.96,13.95,7.73,239.51,239.69,237.17,0.86,23361.49,331729.91
"03/02/2022 22:30:00",24.32,8.12,11.94,10.16,237.79,238.17,235.70,1.13,23362.02,331738.88
"03/02/2022 23:00:00",12.96,13.28,12.16,8.95,238.63,239.14,236.54,1.00,23362.57,331747.63
"03/02/2022 23:30:00",11.54,18.37,11.83,9.81,240.51,240.68,238.61,1.09,23363.10,331756.34
"04/02/2022 00:00:00",25.77,8.87,19.47,9.83,237.49,237.43,235.29,0.72,23363.63,331765.03
"04/02/2022 00:30:00",9.12,6.61,12.36,6.22,237.01,237.49,234.91,0.46,23363.91,331770.34
"04/02/2022 01:00:00",15.70,5.58,22.94,10.28,237.91,238.43,236.01,0.75,23364.19,331775.47
"04/02/2022 01:30:00",15.20,6.91,9.96,7.27,239.13,239.88,237.30,0.53,23364.45,331780.28
"04/02/2022 02:00:00",16.24,9.84,14.19,8.59,238.00,238.88,236.22,0.56,23364.73,331785.09
"04/02/2022 02:30:00",9.01,6.00,10.02,5.56,238.47,239.09,236.44,0.36,23364.98,331789.34
"04/02/2022 03:00:00",15.75,5.96,10.57,7.51,238.67,238.97,236.55,0.49,23365.21,331793.63
