Timestamp," Edificio: Corrente A","Edificio: Corrente B","Edificio: Corrente C","Edificio: Potencia","Edificio: Tensao A","Edificio: Tensao B","Edificio: Tensao C","Edificio: ENERGY_COST","Edificio: Cost of Energy","Cost of Energy"
"01/11/2022 00:00:00",9.06,6.96,12.31,8.81,238.72,239.22,237.19,0.65,29844.88,424100.75
"01/11/2022 00:30:00",6.35,11.89,8.76,6.29,239.09,239.77,237.88,0.46,29845.11,424104.69
"01/11/2022 01:00:00",6.08,7.23,9.33,4.99,238.44,239.28,237.22,0.37,29845.33,424108.75
"01/11/2022 01:30:00",6.95,13.29,9.46,9.00,238.84,239.78,238.08,0.66,29845.54,424112.56
"01/11/2022 02:00:00",15.37,6.45,8.44,6.88,237.63,238.89,236.71,0.45,29845.76,424116.44
"01/11/2022 02:30:00",12.69,5.11,8.72,5.98,239.57,240.26,238.53,0.39,29845.95,424119.84
"01/11/2022 03:00:00",7.71,6.83,10.16,5.70,238.80,239.71,237.89,0.37,29846.12,424123.28
"01/11/2022 03:30:00",9.36,8.05,8.77,6.14,239.63,240.33,238.57,0.40,29846.33,424126.66
"01/11/2022 04:00:00",6.58,16.46,9.33,7.32,236.61,237.20,235.64,0.47,29846.54,424130.06
"01/11/2022 04:30:00",7.12,13.03,9.24,6.64,237.25,237.78,236.00,0.43,29846.73,424133.34
"01/11/2022 05:00:00",5.94,5.66,8.29,4.54,236.94,237.65,236.10,0.29,29846.91,424136.72
"01/11/2022 05:30:00",18.92,12.91,8.90,9.50,235.94,236.52,235.05,0.61,29847.10,424140.13
"01/11/2022 06:00:00",7.30,5.90,17.53,7.30,235.95,236.89,235.18,0.54,29847.29,424143.53
"01/11/2022 06:30:00",17.73,7.49,9.51,5.36,236.91,237.59,235.78,0.39,29847.52,424147.41
"01/11/2022 07:00:00",6.31,9.39,6.90,6.96,236.50,237.10,235.51,0.78,29847.72,424151.19
"01/11/2022 07:30:00",10.28,11.05,6.37,6.69,235.93,236.61,235.00,0.75,29848.02,424156.41
"01/11/2022 08:00:00",5.01,5.95,6.93,4.10,235.23,235.52,234.10,0.46,29848.28,424161.16
"01/11/2022 08:30:00",10.57,2.53,6.06,4.00,234.53,234.97,233.47,0.45,29848.51,424165.72
"01/11/2022 09:00:00",5.01,9.41,6.21,5.66,237.31,237.64,235.76,0.63,29848.73,424170.69
"01/11/2022 09:30:00",3.88,9.79,4.86,4.09,236.39,236.44,234.95,0.53,29849.02,424175.13
"01/11/2022 10:00:00",5.29,8.15,6.87,4.09,235.46,236.02,234.58,0.53,29849.32,424180.09
"01/11/2022 10:30:00",4.97,2.83,4.24,2.45,236.63,237.58,235.91,0.32,29849.54,424184.88
"01/11/2022 11:00:00",5.49,6.39,7.06,3.84,236.50,237.22,235.41,0.50,29849.78,424189.97
"01/11/2022 11:30:00",11.11,2.75,5.21,4.67,238.79,239.44,237.69,0.60,29850.12,424194.91
"01/11/2022 12:00:00",4.24,4.78,8.15,3.91,238.09,238.71,236.56,0.44,29850.41,424199.97
"01/11/2022 12:30:00",6.57,10.24,6.29,5.38,238.14,238.33,236.17,0.60,29850.67,424204.59
"01/11/2022 13:00:00",8.24,4.91,7.52,4.80,238.55,239.06,236.53,0.53,29850.95,424208.72
"01/11/2022 13:30:00",12.75,4.80,8.92,6.03,238.47,238.57,237.28,0.67,29851.18,424213.53
"01/11/2022 14:00:00",10.20,6.08,9.20,5.65,238.46,239.00,237.14,0.63,29851.44,424217.97
"01/11/2022 14:30:00",11.73,3.16,5.68,4.45,238.18,238.55,236.68,0.50,29851.75,424222.78
"01/11/2022 15:00:00",6.39,15.79,8.31,6.90,239.17,239.17,237.72,0.77,29852.04,424227.72
"01/11/2022 15:30:00",6.73,9.62,9.86,9.53,239.57,240.09,238.69,1.06,29852.38,424232.25
"01/11/2022 16:00:00",7.67,6.62,9.69,5.62,239.66,239.80,238.56,0.63,29852.75,424238.00
"01/11/2022 16:30:00",9.54,7.60,7.42,5.65,240.07,240.36,239.05,0.63,29853.11,424243.53
"01/11/2022 17:00:00",8.33,8.65,9.90,5.29,240.12,240.19,239.30,0.59,29853.46,424249.81
"01/11/2022 17:30:00",12.67,4.09,8.44,6.37,238.02,238.49,237.37,0.71,29853.79,424255.88
"01/11/2022 18:00:00",7.37,9.66,11.49,6.25,236.21,236.60,235.32,0.70,29854.12,424262.59
"01/11/2022 18:30:00",7.32,8.58,10.37,5.61,236.76,237.37,236.31,0.72,29854.51,424269.66
"01/11/2022 19:00:00",7.73,7.69,12.65,5.75,236.55,236.72,235.61,0.74,29854.94,424277.97
"01/11/2022 19:30:00",8.34,7.59,10.88,5.85,235.86,236.33,235.31,0.76,29855.34,424285.88
"01/11/2022 20:00:00",8.34,12.74,10.03,7.06,236.11,237.08,235.54,0.91,29855.73,424294.03
"01/11/2022 20:30:00",12.77,8.04,8.22,7.06,238.10,239.19,238.02,0.91,29856.18,424302.03
"01/11/2022 21:00:00",8.31,8.85,15.82,6.93,238.98,239.56,238.04,0.77,29856.59,424309.88
"01/11/2022 21:30:00",7.09,6.57,10.66,5.61,239.86,240.03,239.04,0.63,29856.97,424316.47
"01/11/2022 22:00:00",8.62,8.71,10.44,6.09,240.27,240.95,239.58,0.68,29857.35,424323.09
"01/11/2022 22:30:00",13.75,8.41,10.00,7.49,241.44,241.77,240.04,0.84,29857.74,424329.59
"01/11/2022 23:00:00",9.08,14.05,9.19,8.37,238.60,239.35,237.45,0.93,29858.12,424336.16
"01/11/2022 23:30:00",12.80,11.95,9.24,7.97,238.63,239.35,237.85,0.89,29858.47,424342.34
"02/11/2022 00:00:00",14.52,10.02,9.63,6.97,239.25,239.74,238.13,0.51,29858.79,424348.47
"02/11/2022 00:30:00",7.41,7.14,9.61,5.44,238.51,239.24,237.61,0.40,29859.02,424352.44
"02/11/2022 01:00:00",6.61,5.97,10.03,5.14,238.25,239.02,237.46,0.38,29859.24,424356.38
"02/11/2022 01:30:00",9.49,8.72,9.24,6.30,237.83,238.33,237.01,0.46,29859.46,424360.19
"02/11/2022 02:00:00",11.47,10.70,9.09,7.27,238.17,239.09,237.49,0.47,29859.70,424364.00
"02/11/2022 02:30:00",11.93,4.47,8.48,5.75,238.36,239.26,237.61,0.37,29859.90,424367.34
"02/11/2022 03:00:00",18.96,5.79,9.65,5.37,238.71,239.42,237.58,0.35,29860.08,424370.59
"02/11/2022 03:30:00",6.53,12.38,9.93,7.07,238.79,239.36,237.76,0.46,29860.28,424373.91
"02/11/2022 04:00:00",15.40,8.57,10.00,7.51,239.28,239.69,238.39,0.49,29860.50,424377.19
"02/11/2022 04:30:00",6.07,7.43,15.30,6.85,238.87,239.56,238.05,0.44,29860.68,424380.50
"02/11/2022 05:00:00",6.61,5.79,8.40,4.82,238.68,239.31,237.66,0.31,29860.87,424383.84
"02/11/2022 05:30:00",15.96,8.69,11.78,8.96,237.59,238.13,236.87,0.58,29861.09,424387.44
"02/11/2022 06:00:00",21.24,12.34,12.04,7.86,237.59,238.30,236.78,0.58,29861.34,424391.66
"02/11/2022 06:30:00",10.97,22.79,11.59,10.53,236.42,237.17,235.87,0.77,29861.64,424396.41
"02/11/2022 07:00:00",9.78,9.79,10.41,6.94,237.17,238.12,236.73,0.77,29861.93,424401.16
"02/11/2022 07:30:00",9.73,13.54,8.61,7.44,236.47,237.23,236.38,0.83,29862.38,424408.13
"02/11/2022 08:00:00",9.57,8.93,9.77,6.52,237.51,238.53,237.30,0.73,29862.75,424416.22
"02/11/2022 08:30:00",22.60,6.22,7.57,8.29,236.48,237.19,235.76,0.92,29863.15,424424.22
"02/11/2022 09:00:00",16.68,15.57,13.85,10.25,234.11,235.10,233.88,1.14,29863.62,424432.78
"02/11/2022 09:30:00",25.66,16.61,15.16,13.53,236.90,237.78,236.70,1.75,29864.32,424441.97
"02/11/2022 10:00:00",21.06,15.48,15.77,13.40,235.97,236.98,235.33,1.73,29865.33,424453.16
"02/11/2022 10:30:00",25.44,22.51,12.45,14.07,235.35,235.96,234.65,1.82,29866.22,424465.19
"02/11/2022 11:00:00",21.72,22.50,15.84,14.02,238.51,239.28,238.42,1.81,29867.20,424479.09
"02/11/2022 11:30:00",37.34,23.64,19.87,16.44,239.87,240.56,239.11,2.12,29868.26,424492.84
"02/11/2022 12:00:00",21.08,34.11,18.51,17.20,239.77,240.86,239.43,1.92,29869.24,424506.84
"02/11/2022 12:30:00",25.71,35.06,19.42,18.95,239.66,240.69,238.53,2.11,29870.22,424516.88
"02/11/2022 13:00:00",18.37,20.98,15.91,12.61,239.49,240.81,238.71,1.41,29871.10,424526.84
"02/11/2022 13:30:00",20.01,20.11,12.76,12.42,239.52,240.81,238.36,1.39,29871.81,424536.63
"02/11/2022 14:00:00",21.78,29.38,15.14,15.48,240.99,241.53,239.90,1.73,29872.61,424547.13
"02/11/2022 14:30:00",34.00,25.90,13.51,16.97,237.41,237.96,235.93,1.89,29873.53,424557.19
"02/11/2022 15:00:00",23.35,22.30,15.08,16.85,237.80,237.68,236.17,1.88,29874.33,424568.13
"02/11/2022 15:30:00",28.10,29.56,23.04,18.31,238.59,238.98,236.77,2.04,29875.26,424579.97
"02/11/2022 16:00:00",29.34,30.48,14.72,16.75,234.40,234.72,233.08,1.87,29876.23,424591.94
"02/11/2022 16:30:00",27.63,27.12,16.14,16.77,238.59,239.28,237.50,1.87,29877.26,424604.66
"02/11/2022 17:00:00",24.79,40.22,15.99,21.80,238.97,238.97,237.43,2.43,29878.34,424617.34
"02/11/2022 17:30:00",28.74,17.87,13.62,14.26,239.42,239.91,237.91,1.59,29879.26,424630.13
"02/11/2022 18:00:00",15.28,22.43,17.24,13.00,238.11,238.22,236.98,1.45,29879.94,424642.72
"02/11/2022 18:30:00",14.24,14.70,18.56,14.21,237.01,237.49,236.13,1.84,29880.64,424654.81
