Timestamp,"Corrente A","Corrente B","Corrente C","Potencia","Tensao A","Tensao B","Tensao C","energy cost 1","energy cost 2","energy cost 3"
"30/04/2020 23:00:00",5.91,6.58,12.75,5.47,236.66,237.94,235.87,0.40,8009.76,
"30/04/2020 23:30:00",5.78,12.09,7.14,5.44,238.35,239.49,237.39,0.40,8009.96,
"01/05/2020 00:00:00",6.63,13.48,5.08,5.66,238.89,239.95,237.71,0.42,8010.18,
"01/05/2020 00:30:00",12.68,6.09,5.88,5.46,236.33,237.61,235.26,0.40,8010.40,
"01/05/2020 01:00:00",7.45,7.69,7.52,5.12,237.18,238.45,235.98,0.33,8010.60,
"01/05/2020 01:30:00",10.51,11.36,12.04,7.71,237.74,238.87,236.46,0.50,8010.79,
"01/05/2020 02:00:00",5.72,12.08,6.03,5.47,238.81,239.58,237.06,0.35,8010.96,
"01/05/2020 02:30:00",5.83,6.49,7.16,3.77,237.54,238.31,236.09,0.24,8011.12,
"01/05/2020 03:00:00",13.32,7.52,8.66,6.44,238.64,239.89,237.44,0.42,8011.32,
"01/05/2020 03:30:00",19.86,11.52,7.07,9.00,238.36,239.72,237.41,0.58,8011.50,
"01/05/2020 04:00:00",7.25,8.83,7.74,5.37,239.07,240.36,237.68,0.35,8011.67,
"01/05/2020 04:30:00",5.93,7.23,5.88,4.91,239.64,240.94,238.81,0.32,8011.85,
"01/05/2020 05:00:00",6.43,9.54,6.18,4.76,238.87,240.07,237.66,0.35,8012.04,
"01/05/2020 05:30:00",6.05,8.37,7.61,5.88,240.77,242.01,239.38,0.43,8012.24,
"01/05/2020 06:00:00",5.43,5.40,6.81,3.55,241.79,243.12,240.67,0.40,8012.45,
"01/05/2020 06:30:00",11.35,5.30,5.01,4.54,236.52,237.88,235.68,0.51,8012.72,
"01/05/2020 07:00:00",5.17,6.87,8.65,4.43,236.04,237.28,235.21,0.49,8012.97,
"01/05/2020 07:30:00",4.13,13.03,5.55,5.00,237.97,239.18,237.21,0.56,8013.26,
"01/05/2020 08:00:00",4.69,3.90,5.38,2.51,237.02,238.19,236.03,0.28,8013.46,
"01/05/2020 08:30:00",3.44,4.20,7.50,2.83,235.94,237.25,234.83,0.37,8013.66,
"01/05/2020 09:00:00",3.21,8.12,3.65,2.79,234.20,235.45,233.10,0.36,8013.88,
"01/05/2020 09:30:00",9.35,11.78,3.05,5.28,235.25,236.25,233.90,0.68,8014.07,
"01/05/2020 10:00:00",3.01,5.68,5.55,2.67,238.28,239.42,236.86,0.34,8014.24,
"01/05/2020 10:30:00",13.08,8.71,4.77,6.12,240.41,241.77,239.14,0.79,8014.45,
