Timestamp,"Corrente A","Corrente B","Corrente C","Potencia","Tensao A","Tensao B","Tensao C","energy cost 1","energy cost 2","energy cost 3"
"01/01/2020 00:00:00",5.09,5.20,6.43,3.66,237.11,238.36,235.49,0.27,5399.98,
"01/01/2020 00:30:00",4.93,6.91,9.13,4.45,236.66,238.00,235.32,0.33,5400.18,
"01/01/2020 01:00:00",7.77,5.47,9.09,4.98,237.82,238.93,236.28,0.37,5400.36,
"01/01/2020 01:30:00",7.10,9.28,8.92,4.84,239.20,240.36,237.68,0.36,5400.56,
"01/01/2020 02:00:00",5.07,5.11,8.76,4.07,239.44,240.48,237.93,0.26,5400.75,
"01/01/2020 02:30:00",5.28,10.75,15.65,7.35,239.94,241.08,238.38,0.48,5400.92,
"01/01/2020 03:00:00",19.16,4.09,8.90,7.17,238.38,239.56,237.24,0.46,5401.10,
"01/01/2020 03:30:00",7.95,9.38,7.49,5.72,238.95,240.03,237.72,0.37,5401.29,
"01/01/2020 04:00:00",6.30,5.42,8.93,4.98,238.52,239.39,237.01,0.32,5401.45,
"01/01/2020 04:30:00",4.87,4.15,9.26,3.57,238.13,238.95,236.60,0.23,5401.63,
"01/01/2020 05:00:00",5.04,4.93,10.46,4.31,237.80,238.86,236.41,0.28,5401.82,
"01/01/2020 05:30:00",5.30,5.01,8.50,4.09,238.05,239.06,236.70,0.26,5402.03,
"01/01/2020 06:00:00",5.21,4.90,8.51,3.84,238.08,239.07,236.87,0.28,5402.20,
"01/01/2020 06:30:00",9.32,5.31,8.37,5.36,237.25,238.38,236.31,0.39,5402.39,
"01/01/2020 07:00:00",5.06,5.70,17.43,6.32,237.60,238.66,236.18,0.70,5402.58,
"01/01/2020 07:30:00",4.87,4.51,6.44,3.06,239.42,240.56,238.37,0.34,5402.88,
"01/01/2020 08:00:00",5.00,10.26,5.27,4.64,236.47,237.92,234.82,0.52,5403.18,
"01/01/2020 08:30:00",11.94,6.54,6.75,5.82,236.28,237.78,234.64,0.65,5403.43,
"01/01/2020 09:00:00",16.31,8.86,3.76,5.99,235.77,237.59,234.46,0.67,5403.83,
"01/01/2020 09:30:00",21.71,2.29,3.85,4.38,236.47,237.93,235.28,0.57,5404.12,
"01/01/2020 10:00:00",26.92,8.13,5.14,6.37,235.87,237.24,234.50,0.82,5404.41,
"01/01/2020 10:30:00",9.18,2.73,3.53,2.76,235.59,237.13,234.34,0.36,5404.73,
"01/01/2020 11:00:00",9.83,12.03,5.45,5.87,234.62,235.81,233.48,0.76,5405.06,
"01/01/2020 11:30:00",10.31,2.28,5.62,3.52,234.25,235.62,233.04,0.46,5405.41,
"01/01/2020 12:00:00",9.61,6.68,2.80,4.24,234.75,235.75,233.24,0.47,5405.66,
"01/01/2020 12:30:00",32.59,2.72,4.24,5.72,234.16,235.30,232.69,0.64,5405.90,
"01/01/2020 13:00:00",21.05,10.53,10.98,10.06,237.95,239.31,236.74,1.12,5406.19,
"01/01/2020 13:30:00",10.16,2.45,3.78,3.38,238.64,240.07,237.35,0.38,5406.47,
"01/01/2020 14:00:00",10.72,9.12,4.66,6.14,240.42,241.72,239.56,0.68,5406.77,
"01/01/2020 14:30:00",13.39,4.70,3.69,4.76,237.33,238.86,236.62,0.53,5407.08,
"01/01/2020 15:00:00",18.92,8.65,3.94,7.14,235.40,236.70,234.25,0.80,5407.39,
"01/01/2020 15:30:00",11.03,3.83,15.10,6.68,237.76,239.37,236.63,0.75,5407.70,
"01/01/2020 16:00:00",13.48,10.22,6.93,6.75,236.71,238.39,235.63,0.75,5408.04,
"01/01/2020 16:30:00",11.83,12.77,7.06,7.27,239.07,240.70,237.62,0.81,5408.46,
"01/01/2020 17:00:00",14.59,10.71,6.92,7.82,238.43,240.19,237.00,0.87,5408.84,
"01/01/2020 17:30:00",22.32,10.67,7.54,9.32,238.54,239.66,236.61,1.04,5409.27,
"01/01/2020 18:00:00",12.58,6.13,9.09,6.27,236.65,237.65,234.82,0.70,5409.69,
"01/01/2020 18:30:00",15.93,5.58,8.08,6.73,235.43,236.43,233.10,0.87,5410.08,
"01/01/2020 19:00:00",15.75,5.39,9.17,6.87,236.86,237.71,234.43,0.89,5410.56,
"01/01/2020 19:30:00",12.36,9.52,8.44,6.78,235.27,236.29,233.27,0.88,5411.03,
"01/01/2020 20:00:00",14.06,5.82,16.50,8.28,234.37,235.19,231.93,1.07,5411.50,
"01/01/2020 20:30:00",14.05,11.30,7.65,7.58,236.85,238.05,234.90,0.98,5412.00,
"01/01/2020 21:00:00",12.49,6.91,9.29,6.15,238.69,239.84,236.74,0.69,5412.46,
"01/01/2020 21:30:00",12.40,4.93,21.90,9.14,239.01,240.24,237.11,1.02,5412.89,
"01/01/2020 22:00:00",16.38,7.33,9.09,7.54,239.20,240.17,236.92,0.84,5413.35,
"01/01/2020 22:30:00",19.37,4.71,10.88,7.56,238.86,240.66,236.68,0.84,5413.78,
"01/01/2020 23:00:00",13.90,6.39,9.42,6.86,239.89,241.79,238.14,0.76,5414.21,
"01/01/2020 23:30:00",10.75,11.38,9.42,7.49,237.93,239.69,235.99,0.84,5414.68,
"02/01/2020 00:00:00",5.18,4.79,7.51,3.67,237.16,238.63,234.90,0.27,5415.06,
"02/01/2020 00:30:00",4.89,4.25,8.23,3.60,238.67,240.56,236.83,0.26,5415.25,
"02/01/2020 01:00:00",10.28,10.74,10.18,6.67,239.04,240.64,237.00,0.49,5415.44,
"02/01/2020 01:30:00",4.87,4.40,8.15,3.32,239.98,241.54,237.95,0.24,5415.63,
"02/01/2020 02:00:00",5.15,11.27,7.97,5.62,235.29,236.62,233.25,0.36,5415.81,
"02/01/2020 02:30:00",5.42,5.55,9.08,4.42,237.11,238.77,235.10,0.29,5416.00,
"02/01/2020 03:00:00",4.92,4.30,7.94,3.44,237.64,239.38,235.52,0.22,5416.15,
"02/01/2020 03:30:00",8.30,5.34,14.88,6.88,237.88,239.50,236.10,0.44,5416.31,
"02/01/2020 04:00:00",4.91,5.50,8.62,4.24,238.24,239.84,236.10,0.27,5416.51,
"02/01/2020 04:30:00",4.77,11.15,7.29,5.04,237.93,239.26,236.01,0.33,5416.67,
"02/01/2020 05:00:00",5.18,7.04,17.72,9.47,237.50,239.07,235.60,0.61,5416.86,
"02/01/2020 05:30:00",6.42,5.74,8.09,4.42,236.16,237.62,234.53,0.29,5417.05,
"02/01/2020 06:00:00",17.35,7.56,9.48,7.27,238.99,240.48,238.32,0.53,5417.27,
"02/01/2020 06:30:00",7.46,7.32,10.56,5.53,235.04,236.00,234.44,0.41,5417.52,
"02/01/2020 07:00:00",10.62,8.06,18.92,8.50,234.47,235.79,233.65,0.95,5417.78,
"02/01/2020 07:30:00",7.07,6.54,9.96,5.27,235.34,236.55,234.94,0.59,5418.18,
"02/01/2020 08:00:00",13.78,8.54,9.00,7.08,233.73,234.90,233.56,0.79,5418.57,
"02/01/2020 08:30:00",21.99,8.21,7.38,9.33,238.18,239.60,237.78,1.04,5419.00,
