Timestamp,"Corrente A","Corrente B","Corrente C","Potencia","Tensao A","Tensao B","Tensao C","energy cost 1","energy cost 2","energy cost 3"
"01/01/2023 00:00:00",5.61,7.66,12.63,5.84,236.88,238.42,237.16,0.43,31146.93,445217.69
"01/01/2023 00:30:00",,,,,,,,,31147.00,
"01/01/2023 01:00:00",4.17,10.24,5.71,4.57,237.26,238.90,237.26,0.34,31147.07,445218.06
"01/01/2023 01:30:00",,,,,,,,,31147.17,
"01/01/2023 02:00:00",5.42,4.17,6.59,3.71,236.97,238.62,236.93,0.24,31147.25,445218.56
"01/01/2023 02:30:00",,,,,,,,,31147.33,
"01/01/2023 03:00:00",,,,,,,,,31147.41,
"01/01/2023 03:30:00",5.25,6.22,6.07,4.08,237.41,238.99,237.96,0.26,31147.47,445219.50
"01/01/2023 04:00:00",,,,,,,,,31147.53,
"01/01/2023 04:30:00",,,,,,,,,31147.61,
"01/01/2023 05:00:00",4.87,13.06,5.73,5.53,236.45,237.96,236.89,0.36,31147.67,445220.03
"01/01/2023 05:30:00",,,,,,,,,31147.76,
"01/01/2023 06:00:00",4.70,3.66,8.94,4.11,234.31,235.96,234.75,0.30,31147.80,445220.44
"01/01/2023 06:30:00",,,,,,,,,31147.92,
"01/01/2023 07:00:00",4.32,10.54,6.22,4.65,237.29,238.73,237.51,0.34,31148.01,445221.16
"01/01/2023 07:30:00",,,,,,,,,31148.11,
"01/01/2023 08:00:00",,,,,,,,,31148.18,
"01/01/2023 08:30:00",,,,,,,,,31148.28,
"01/01/2023 09:00:00",5.07,4.00,8.50,3.25,234.29,235.49,234.24,0.24,31148.33,445222.00
"01/01/2023 09:30:00",,,,,,,,,31148.42,
"01/01/2023 10:00:00",,,,,,,,,31148.48,
"01/01/2023 10:30:00",,,,,,,,,31148.57,
"01/01/2023 11:00:00",4.33,3.24,4.26,2.89,240.02,241.86,241.18,0.21,31148.62,445222.75
"01/01/2023 11:30:00",3.45,10.18,12.38,6.59,240.49,242.24,241.37,0.48,31148.69,445222.91
"01/01/2023 12:00:00",12.48,0.00,3.92,2.24,237.78,239.94,239.57,0.16,31148.73,445222.97
"01/01/2023 12:30:00",,,,,,,,,31148.77,
"01/01/2023 13:00:00",,,,,,,,,31148.80,
"01/01/2023 13:30:00",,,,,,,,,31148.82,
"01/01/2023 14:00:00",9.73,3.25,7.02,4.19,238.80,239.98,239.20,0.31,31148.87,445223.50
"01/01/2023 14:30:00",,,,,,,,,31148.91,
"01/01/2023 15:00:00",4.17,6.61,11.10,5.11,239.21,240.48,239.46,0.38,31148.94,445223.59
"01/01/2023 15:30:00",,,,,,,,,31148.96,
"01/01/2023 16:00:00",,,,,,,,,31148.98,
"01/01/2023 16:30:00",,,,,,,,,31149.00,
"01/01/2023 17:00:00",,,,,,,,,31149.03,
"01/01/2023 17:30:00",,,,,,,,,31149.05,
"01/01/2023 18:00:00",,,,,,,,,31149.07,
"01/01/2023 18:30:00",,,,,,,,,31149.09,
"01/01/2023 19:00:00",,,,,,,,,31149.10,
"01/01/2023 19:30:00",,,,,,,,,31149.10,
"01/01/2023 20:00:00",4.67,10.24,6.00,7.65,237.12,238.46,236.63,0.56,31149.10,445223.88
"01/01/2023 20:30:00",,,,,,,,,31149.12,
"01/01/2023 21:00:00",,,,,,,,,31149.14,
"01/01/2023 21:30:00",,,,,,,,,31149.17,
"01/01/2023 22:00:00",,,,,,,,,31149.19,
"01/01/2023 22:30:00",,,,,,,,,31149.21,
"01/01/2023 23:00:00",,,,,,,,,31149.25,
"01/01/2023 23:30:00",,,,,,,,,31149.29,
"02/01/2023 00:00:00",4.80,4.50,6.92,3.79,238.98,240.04,238.40,0.28,31149.32,445224.13
"02/01/2023 00:30:00",,,,,,,,,31149.37,
"02/01/2023 01:00:00",,,,,,,,,31149.41,
"02/01/2023 01:30:00",,,,,,,,,31149.44,
"02/01/2023 02:00:00",5.68,4.15,16.61,5.63,239.33,240.56,239.19,0.36,31149.50,445224.44
"02/01/2023 02:30:00",,,,,,,,,31149.56,
"02/01/2023 03:00:00",5.51,9.68,10.47,6.00,235.03,236.61,235.44,0.39,31149.63,445224.72
"02/01/2023 03:30:00",,,,,,,,,31149.71,
"02/01/2023 04:00:00",,,,,,,,,31149.79,
"02/01/2023 04:30:00",,,,,,,,,31149.84,
"02/01/2023 05:00:00",6.12,12.52,9.93,6.69,238.45,239.69,238.81,0.43,31149.91,445225.50
"02/01/2023 05:30:00",,,,,,,,,31149.99,
"02/01/2023 06:00:00",,,,,,,,,31150.09,
"02/01/2023 06:30:00",,,,,,,,,31150.18,
"02/01/2023 07:00:00",,,,,,,,,31150.25,
"02/01/2023 07:30:00",,,,,,,,,31150.45,
"02/01/2023 08:00:00",5.83,6.84,7.09,4.53,235.47,236.12,235.58,0.50,31150.62,445227.59
"02/01/2023 08:30:00",,,,,,,,,31150.75,
"02/01/2023 09:00:00",,,,,,,,,31150.93,
"02/01/2023 09:30:00",,,,,,,,,31151.07,
"02/01/2023 10:00:00",6.83,17.20,11.26,8.24,236.82,237.33,236.49,1.07,31151.38,445230.63
"02/01/2023 10:30:00",,,,,,,,,31151.64,
"02/01/2023 11:00:00",,,,,,,,,31152.00,
"02/01/2023 11:30:00",11.81,36.25,16.34,15.34,237.19,237.87,237.03,1.98,31152.43,445233.41
"02/01/2023 12:00:00",19.08,14.94,11.67,8.60,237.20,237.99,237.16,0.96,31152.80,445234.16
"02/01/2023 12:30:00",,,,,,,,,31152.96,
"02/01/2023 13:00:00",,,,,,,,,31153.16,
"02/01/2023 13:30:00",,,,,,,,,31153.39,
"02/01/2023 14:00:00",17.63,14.05,11.14,7.38,235.91,236.44,236.17,0.82,31153.59,445236.38
"02/01/2023 14:30:00",,,,,,,,,31153.93,
"02/01/2023 15:00:00",6.38,21.44,24.03,11.09,235.67,236.19,235.38,1.24,31154.24,445238.59
"02/01/2023 15:30:00",,,,,,,,,31154.58,
"02/01/2023 16:00:00",,,,,,,,,31155.00,
"02/01/2023 16:30:00",14.94,20.42,23.47,14.79,235.83,236.92,235.52,1.65,31155.45,445241.66
"02/01/2023 17:00:00",10.11,18.45,23.70,12.13,234.89,235.60,234.18,1.35,31155.92,445243.03
"02/01/2023 17:30:00",10.00,9.29,25.56,10.59,236.22,236.75,235.28,1.18,31156.32,445244.22
"02/01/2023 18:00:00",,,,,,,,,31156.52,
"02/01/2023 18:30:00",6.72,7.12,8.59,5.16,236.03,236.59,235.26,0.67,31156.72,445245.44
"02/01/2023 19:00:00",6.82,13.27,14.46,8.13,236.92,237.54,235.97,1.05,31156.88,445246.06
"02/01/2023 19:30:00",,,,,,,,,31157.12,
"02/01/2023 20:00:00",,,,,,,,,31157.34,
"02/01/2023 20:30:00",6.32,13.68,8.97,6.74,236.86,237.58,236.33,0.87,31157.52,445248.69
"02/01/2023 21:00:00",6.55,7.76,9.53,6.22,238.93,239.87,238.03,0.69,31157.68,445249.03
"02/01/2023 21:30:00",18.66,12.56,8.92,6.78,240.12,240.34,239.06,0.76,31157.77,445249.38
"02/01/2023 22:00:00",,,,,,,,,31157.83,
"02/01/2023 22:30:00",4.76,9.28,6.58,4.66,239.17,239.97,238.03,0.52,31157.95,445249.66
"02/01/2023 23:00:00",,,,,,,,,31158.03,
"02/01/2023 23:30:00",,,,,,,,,31158.10,
"03/01/2023 00:00:00",,,,,,,,,31158.20,
"03/01/2023 00:30:00",,,,,,,,,31158.29,
"03/01/2023 01:00:00",,,,,,,,,31158.37,
"03/01/2023 01:30:00",9.38,6.07,10.20,5.90,239.03,240.47,239.44,0.43,31158.47,445251.91
"03/01/2023 02:00:00",,,,,,,,,31158.56,
"03/01/2023 02:30:00",4.79,10.29,7.92,5.29,238.04,239.09,238.36,0.34,31158.67,445252.75
"03/01/2023 03:00:00",,,,,,,,,31158.74,
"03/01/2023 03:30:00",,,,,,,,,31158.81,
"03/01/2023 04:00:00",4.47,4.54,15.73,5.31,240.08,241.09,240.55,0.34,31158.90,445254.06
