Timestamp," Edificio: Corrente A","Edificio: Corrente B","Edificio: Corrente C","Edificio: Potencia","Edificio: Tensao A","Edificio: Tensao B","Edificio: Tensao C","Edificio: ENERGY_COST","Edificio: Cost of Energy","Cost of Energy"
"31/03/2022 23:00:00",6.47,17.46,16.87,9.55,238.10,239.41,237.72,0.70,24801.85,353990.78
"31/03/2022 23:30:00",6.47,8.40,12.25,5.61,239.02,240.48,239.01,0.41,24802.09,353995.41
"01/04/2022 00:00:00",8.01,5.94,11.20,5.51,239.49,241.07,239.11,0.40,24802.37,354000.03
"01/04/2022 00:30:00",6.47,7.07,12.01,7.59,239.79,240.79,239.29,0.56,24802.61,354004.44
"01/04/2022 01:00:00",6.62,8.42,10.35,7.28,240.92,241.85,239.97,0.47,24802.88,354009.03
"01/04/2022 01:30:00",5.98,12.92,12.21,6.07,240.31,241.19,239.38,0.39,24803.10,354012.81
"01/04/2022 02:00:00",6.19,5.82,11.19,5.01,239.36,240.55,238.90,0.32,24803.34,354016.59
"01/04/2022 02:30:00",6.10,15.95,13.19,9.89,240.03,241.40,239.23,0.64,24803.57,354020.31
"01/04/2022 03:00:00",6.18,13.05,10.74,6.36,240.16,241.36,239.53,0.41,24803.81,354024.13
"01/04/2022 03:30:00",6.83,8.57,19.38,8.37,240.19,241.53,239.30,0.54,24804.02,354027.81
"01/04/2022 04:00:00",5.73,5.28,10.76,5.68,239.78,241.15,239.32,0.37,24804.28,354031.59
"01/04/2022 04:30:00",7.93,9.97,12.39,6.90,237.81,239.09,237.60,0.45,24804.52,354035.59
"01/04/2022 05:00:00",8.39,11.24,19.12,8.62,237.76,238.92,237.49,0.63,24804.78,354040.13
"01/04/2022 05:30:00",8.04,12.61,11.46,7.45,236.68,237.68,235.98,0.55,24805.10,354045.44
"01/04/2022 06:00:00",8.17,18.72,14.10,9.50,235.67,236.84,235.29,1.06,24805.44,354050.84
"01/04/2022 06:30:00",7.45,15.63,16.99,8.49,235.47,236.55,235.04,0.95,24805.92,354058.50
"01/04/2022 07:00:00",6.90,8.44,9.01,4.94,235.02,235.87,234.60,0.55,24806.34,354066.50
"01/04/2022 07:30:00",12.89,18.02,10.02,8.53,236.24,236.74,235.13,0.95,24806.77,354075.22
"01/04/2022 08:00:00",27.80,34.23,26.77,20.17,235.31,236.01,234.26,2.25,24807.46,354084.78
"01/04/2022 08:30:00",30.30,19.86,12.70,16.19,234.10,235.07,233.52,2.09,24808.60,354097.78
"01/04/2022 09:00:00",30.18,22.22,16.66,16.68,235.81,237.47,235.50,2.16,24809.60,354111.41
"01/04/2022 09:30:00",34.94,19.78,14.01,16.75,234.84,235.94,234.24,2.16,24810.76,354125.97
"01/04/2022 10:00:00",30.32,25.12,16.16,16.76,237.11,237.79,236.92,2.17,24811.72,354140.66
"01/04/2022 10:30:00",30.17,12.30,20.56,14.85,237.22,237.94,237.33,1.92,24812.88,354157.81
"01/04/2022 11:00:00",25.05,22.01,15.36,15.71,237.65,238.33,237.16,2.03,24813.91,354171.34
"01/04/2022 11:30:00",24.65,14.85,18.72,14.13,236.01,237.12,235.55,1.58,24814.79,354184.31
"01/04/2022 12:00:00",20.57,14.39,27.60,13.95,236.29,237.89,235.74,1.56,24815.58,354196.25
"01/04/2022 12:30:00",20.82,25.49,18.76,13.92,237.86,239.13,237.60,1.55,24816.18,354207.72
"01/04/2022 13:00:00",21.26,23.60,20.63,15.43,238.36,239.79,238.10,1.72,24816.95,354219.13
"01/04/2022 13:30:00",28.12,20.94,32.40,18.91,234.30,235.61,234.01,2.11,24817.89,354229.47
"01/04/2022 14:00:00",29.15,17.23,23.50,16.15,233.83,235.48,233.50,1.80,24818.90,354239.25
"01/04/2022 14:30:00",21.07,14.41,25.36,14.14,236.84,238.32,236.26,1.58,24819.83,354249.22
"01/04/2022 15:00:00",33.63,21.37,26.25,19.37,236.54,238.02,235.93,2.16,24820.62,354259.25
"01/04/2022 15:30:00",21.12,12.56,23.62,16.22,237.21,238.31,236.68,1.81,24821.43,354269.34
"01/04/2022 16:00:00",20.50,8.82,19.39,11.57,236.81,238.14,236.09,1.29,24822.32,354279.88
"01/04/2022 16:30:00",22.68,13.08,22.28,13.68,237.40,238.38,236.17,1.52,24823.09,354289.63
"01/04/2022 17:00:00",20.33,17.94,18.16,13.51,238.25,239.37,237.44,1.51,24823.84,354299.44
"01/04/2022 17:30:00",29.62,11.48,18.06,13.71,237.66,238.44,236.91,1.53,24824.47,354308.81
"01/04/2022 18:00:00",18.40,10.06,15.89,10.94,238.01,239.34,237.34,1.22,24825.09,354317.91
"01/04/2022 18:30:00",16.02,8.69,16.52,9.74,233.42,234.60,233.18,1.09,24825.67,354326.84
"01/04/2022 19:00:00",14.95,7.83,17.47,9.24,237.12,237.73,236.22,1.03,24826.29,354335.66
"01/04/2022 19:30:00",15.99,15.97,19.45,11.16,240.02,241.01,238.91,1.24,24826.91,354346.38
"01/04/2022 20:00:00",14.70,13.93,19.99,11.37,237.84,238.98,236.76,1.27,24827.56,354356.16
"01/04/2022 20:30:00",15.16,9.51,18.98,10.65,239.26,240.36,238.51,1.19,24828.19,354365.53
"01/04/2022 21:00:00",8.08,14.39,17.80,9.36,237.76,239.09,237.12,1.04,24828.71,354374.69
"01/04/2022 21:30:00",13.49,11.06,18.13,9.91,238.95,240.35,238.18,1.10,24829.23,354383.09
"01/04/2022 22:00:00",5.79,9.63,15.24,6.30,237.79,239.09,236.90,0.70,24829.71,354391.09
"01/04/2022 22:30:00",6.22,7.00,17.34,6.98,237.55,238.91,237.03,0.78,24830.16,354398.41
"01/04/2022 23:00:00",7.93,5.31,11.58,8.15,237.36,238.83,236.71,0.60,24830.60,354405.53
"01/04/2022 23:30:00",5.80,11.84,12.80,9.93,238.15,239.40,237.61,0.73,24830.82,354410.00
"02/04/2022 00:00:00",12.03,7.25,17.01,7.22,238.13,239.45,237.89,0.53,24831.07,354414.47
"02/04/2022 00:30:00",5.56,12.26,17.09,8.68,239.81,240.96,239.22,0.64,24831.31,354418.75
"02/04/2022 01:00:00",5.63,4.69,11.47,4.33,235.69,237.06,235.46,0.28,24831.53,354423.16
"02/04/2022 01:30:00",5.78,6.24,12.57,6.32,234.28,235.42,233.68,0.41,24831.73,354426.75
"02/04/2022 02:00:00",6.24,7.05,15.25,6.21,235.76,236.85,235.33,0.40,24831.94,354430.44
"02/04/2022 02:30:00",6.14,6.62,20.04,7.77,235.65,236.91,235.21,0.50,24832.15,354434.09
"02/04/2022 03:00:00",8.00,18.74,10.35,8.44,236.23,237.30,235.74,0.55,24832.35,354437.78
"02/04/2022 03:30:00",5.57,5.55,10.53,4.94,237.21,238.76,237.08,0.32,24832.57,354441.44
"02/04/2022 04:00:00",5.30,9.51,9.46,5.22,237.25,238.54,237.04,0.34,24832.77,354445.31
"02/04/2022 04:30:00",5.89,5.86,18.11,6.67,236.21,237.75,235.85,0.43,24832.99,354449.22
"02/04/2022 05:00:00",5.56,6.03,10.05,4.89,236.73,238.04,236.66,0.36,24833.20,354453.16
"02/04/2022 05:30:00",14.86,11.51,11.87,7.11,236.42,237.52,235.77,0.52,24833.46,354457.75
"02/04/2022 06:00:00",11.42,5.71,10.04,6.24,235.34,236.51,235.15,0.46,24833.68,354462.53
"02/04/2022 06:30:00",5.79,5.40,8.25,4.64,234.80,235.93,234.42,0.34,24833.89,354466.72
"02/04/2022 07:00:00",4.90,3.74,8.72,3.26,234.73,235.81,234.52,0.24,24834.07,354470.59
"02/04/2022 07:30:00",4.34,5.05,6.20,3.33,235.67,236.54,235.04,0.24,24834.25,354474.38
"02/04/2022 08:00:00",3.05,9.04,7.86,4.04,234.24,235.55,233.72,0.45,24834.45,354478.09
"02/04/2022 08:30:00",7.15,3.39,7.15,3.69,237.88,239.10,237.31,0.41,24834.64,354483.22
"02/04/2022 09:00:00",2.81,6.55,7.76,3.23,241.00,242.31,240.57,0.36,24834.88,354487.97
"02/04/2022 09:30:00",2.81,8.32,4.28,2.97,235.91,236.72,235.49,0.33,24835.08,354492.41
"02/04/2022 10:00:00",4.35,9.06,13.64,4.93,230.74,232.57,230.47,0.55,24835.29,354497.22
"02/04/2022 10:30:00",5.22,2.82,5.38,2.90,238.10,239.83,237.96,0.32,24835.47,354502.75
"02/04/2022 11:00:00",3.84,16.60,6.76,6.52,238.14,239.87,238.05,0.73,24835.68,354509.06
"02/04/2022 11:30:00",8.15,1.92,8.44,3.77,238.42,240.50,238.67,0.42,24835.89,354515.06
"02/04/2022 12:00:00",2.61,9.38,18.50,5.11,238.35,240.47,238.31,0.57,24836.05,354521.06
"02/04/2022 12:30:00",12.43,2.15,5.80,4.42,239.07,241.08,239.38,0.49,24836.24,354527.03
"02/04/2022 13:00:00",2.88,1.80,3.81,0.84,239.90,241.55,239.88,0.06,24836.48,354532.59
"02/04/2022 13:30:00",4.52,2.90,5.68,2.61,239.36,241.32,239.35,0.19,24836.61,354536.09
"02/04/2022 14:00:00",3.66,8.05,12.88,5.37,239.87,241.49,239.29,0.39,24836.75,354539.63
"02/04/2022 14:30:00",4.89,9.78,5.98,4.73,240.12,241.78,239.51,0.35,24836.87,354543.38
"02/04/2022 15:00:00",3.50,6.82,5.13,3.28,240.14,241.39,239.37,0.24,24837.00,354546.84
"02/04/2022 15:30:00",4.38,4.74,7.56,3.38,240.16,241.51,239.41,0.25,24837.17,354549.91
