Timestamp," Edificio: Corrente A","Edificio: Corrente B","Edificio: Corrente C","Edificio: Potencia","Edificio: Tensao A","Edificio: Tensao B","Edificio: Tensao C","Edificio: ENERGY_COST","Edificio: Cost of Energy","Cost of Energy"
"30/04/2022 23:00:00",9.16,12.82,12.19,7.97,241.12,242.13,240.50,0.59,25397.20,362566.22
"30/04/2022 23:30:00",9.03,6.07,13.15,6.34,237.45,238.28,236.87,0.47,25397.47,362570.56
"01/05/2022 00:00:00",8.69,10.52,17.16,8.43,239.31,240.33,238.96,0.62,25397.73,362574.69
"01/05/2022 00:30:00",8.24,8.30,11.33,6.32,239.29,240.17,239.01,0.46,25398.00,362578.91
"01/05/2022 01:00:00",24.79,18.32,19.78,11.86,239.84,240.88,239.02,0.77,25398.29,362583.03
"01/05/2022 01:30:00",8.78,11.89,12.03,7.95,238.72,240.11,238.50,0.51,25398.56,362586.66
"01/05/2022 02:00:00",8.52,13.62,11.26,7.74,238.79,239.75,238.25,0.50,25398.80,362590.16
"01/05/2022 02:30:00",8.69,6.42,11.23,6.00,238.44,239.41,237.84,0.39,25399.03,362593.66
"01/05/2022 03:00:00",10.88,12.05,11.96,8.20,238.60,239.92,238.40,0.53,25399.28,362597.22
"01/05/2022 03:30:00",8.86,7.33,11.83,6.71,238.60,239.82,238.20,0.43,25399.51,362600.78
"01/05/2022 04:00:00",8.92,4.94,9.66,5.02,239.89,241.19,239.56,0.32,25399.75,362604.44
"01/05/2022 04:30:00",9.36,8.47,13.38,7.39,238.86,240.15,238.57,0.48,25400.00,362608.09
"01/05/2022 05:00:00",9.54,8.85,13.37,6.93,239.17,240.38,238.65,0.51,25400.25,362611.72
"01/05/2022 05:30:00",10.66,13.38,12.59,9.66,239.82,240.91,239.04,0.71,25400.52,362615.88
"01/05/2022 06:00:00",8.74,6.71,8.35,5.37,240.65,241.76,239.61,0.39,25400.76,362619.41
"01/05/2022 06:30:00",8.44,7.06,9.05,5.46,239.70,240.71,238.65,0.40,25401.02,362622.44
"01/05/2022 07:00:00",13.14,8.91,7.19,6.89,237.86,238.99,237.24,0.51,25401.25,362625.28
"01/05/2022 07:30:00",8.32,4.70,8.75,4.77,234.82,236.24,233.82,0.35,25401.46,362627.84
"01/05/2022 08:00:00",7.79,4.35,7.72,4.27,234.35,235.58,233.71,0.31,25401.64,362630.25
"01/05/2022 08:30:00",12.36,9.91,14.88,8.63,236.75,237.93,235.88,0.63,25401.85,362632.66
"01/05/2022 09:00:00",6.74,5.48,5.64,3.76,236.23,237.38,235.61,0.28,25402.04,362635.28
"01/05/2022 09:30:00",6.37,11.18,8.82,5.33,236.96,238.32,236.17,0.39,25402.21,362638.25
"01/05/2022 10:00:00",12.19,2.87,4.63,3.68,237.46,239.31,237.19,0.27,25402.40,362641.63
"01/05/2022 10:30:00",9.15,6.75,6.36,4.63,239.83,241.40,239.36,0.34,25402.59,362645.50
"01/05/2022 11:00:00",9.07,8.44,12.53,6.17,238.13,239.54,237.67,0.45,25402.76,362649.75
"01/05/2022 11:30:00",6.34,13.96,6.62,5.90,239.48,240.66,238.79,0.43,25402.93,362654.09
"01/05/2022 12:00:00",7.24,10.09,15.74,7.49,238.46,239.85,238.03,0.55,25403.09,362658.56
"01/05/2022 12:30:00",6.80,10.60,13.45,7.39,238.78,240.10,238.29,0.54,25403.25,362663.06
"01/05/2022 13:00:00",12.15,2.99,5.01,4.05,238.12,239.63,237.94,0.30,25403.41,362667.41
"01/05/2022 13:30:00",6.95,11.28,8.66,5.79,238.70,240.05,238.47,0.43,25403.58,362671.81
"01/05/2022 14:00:00",7.33,12.67,6.97,6.03,239.19,240.45,238.59,0.44,25403.76,362675.91
"01/05/2022 14:30:00",7.21,6.89,8.35,4.63,239.07,240.46,238.63,0.34,25403.95,362680.13
"01/05/2022 15:00:00",8.33,13.14,6.64,6.30,239.90,241.33,239.67,0.46,25404.19,362683.81
"01/05/2022 15:30:00",6.74,6.51,9.38,5.31,238.30,239.39,237.83,0.39,25404.40,362687.53
